time,ice_torque_pred,car_speed_pred,soc_pred,ice_torque_true,car_speed_true,soc_true
0.0,-2.0917304,-9.061514,0.6973158,0.0,0.0,0.7
0.5,-5.4526014,0.4020991,0.6968111,0.0,0.0,0.7
1.0,0.4613319,1.4091775,0.70012784,0.0,0.0,0.7
1.5,0.23840706,0.47358438,0.6992412,0.0,0.0,0.7
2.0,-0.29371953,0.0034215841,0.6984078,0.0,0.0,0.7
2.5,-0.2078832,-0.15486874,0.69820946,0.0,0.0,0.7
3.0,-0.044397634,-0.18521379,0.6982604,0.0,0.0,0.7
3.5,0.0041560745,-0.16336009,0.69837815,0.0,0.0,0.7
4.0,0.058914375,-0.125615,0.69849,0.0,0.0,0.7
4.5,0.037510358,-0.08948088,0.69857633,0.0,0.0,0.7
5.0,0.027744547,-0.062007856,0.6986367,0.0,0.0,0.7
5.5,0.010819589,-0.04441542,0.6986763,0.0,0.0,0.7
6.0,0.007900859,-0.035168827,0.69869757,0.0,0.0,0.7
6.5,0.0028527423,-0.031711314,0.69870377,0.0,0.0,0.7
7.0,-0.00030462522,-0.03135101,0.69869626,0.0,0.0,0.7
7.5,-0.0059218025,-0.031905323,0.698678,0.0,0.0,0.7
8.0,-0.0111902,-0.03212705,0.69865274,0.0,0.0,0.7
8.5,-0.016642166,-0.03159699,0.6986233,0.0,0.0,0.7
9.0,-0.02148836,-0.03049876,0.6985925,0.0,0.0,0.7
9.5,-0.025581924,-0.029306991,0.69856197,0.0,0.0,0.7
10.0,-0.028867789,-0.028364666,0.6985322,0.0,0.0,0.7
10.5,-0.03136431,-0.02793161,0.69850355,0.0,0.0,0.7
11.0,-0.033291776,-0.027973184,0.69847584,0.0,0.0,0.7
11.5,-0.034943886,-0.025970737,0.6984352,0.0,0.0038231,0.7
12.0,-0.036082007,-0.024532992,0.6982202,0.0,0.28411,0.7
12.5,-0.036999848,-0.04715233,0.6980673,0.0,0.88804,0.7
13.0,-0.037734117,-0.106990166,0.6979658,0.0,1.85,0.69998
13.5,-0.038596887,-0.10894411,0.69794786,0.0,3.2641,0.69995
14.0,-0.03909252,0.23171443,0.6978127,0.0,5.0431,0.69989
14.5,-0.039643224,1.4714301,0.6974141,0.0,7.0873,0.69978
15.0,-0.040047072,3.504444,0.69714385,0.0,9.1319,0.69963
15.5,-0.04030407,6.2549195,0.69694865,0.0,10.929,0.69948
16.0,-0.040726274,9.45093,0.6967164,0.0,12.667,0.69931
16.5,-0.040818058,12.409916,0.69648135,0.0,14.503,0.69911
17.0,-0.041001625,14.799763,0.6963001,0.0,16.459,0.69884
17.5,-0.04116684,16.717379,0.69616365,0.0,18.392,0.69854
18.0,-0.04122191,18.369038,0.69602704,0.0,20.25,0.69824
18.5,-0.041185193,19.932915,0.69583213,0.0,22.03,0.69794
19.0,-0.04116684,21.464077,0.6955558,0.0,23.73,0.69765
19.5,-0.041130126,22.825144,0.6952189,0.0,25.36,0.69735
20.0,-0.040891487,23.826015,0.6948493,0.0,26.727,0.69712
20.5,-0.0407997,24.870125,0.6944659,0.0,27.471,0.69701
21.0,-0.04065285,25.954079,0.69414884,0.0,27.88,0.69695
21.5,-0.040432565,26.99697,0.6939595,0.0,28.114,0.69691
22.0,-0.040138856,27.92547,0.69391644,0.0,28.299,0.69688
22.5,-0.040047072,28.635529,0.6939841,0.0,28.503,0.69684
23.0,-0.03977172,29.052246,0.69409657,0.0,28.711,0.6968
23.5,-0.039569795,29.26098,0.69413507,0.0,28.915,0.69676
24.0,-0.039184306,29.582762,0.6939497,0.0,29.247,0.69671
24.5,-0.03887224,30.118963,0.69363004,0.0,29.844,0.69662
25.0,-0.03868867,30.675365,0.6933539,0.0,30.54,0.69652
25.5,-0.038303178,31.211205,0.693125,0.0,31.172,0.69642
26.0,-0.03800947,31.864809,0.6928964,0.0,31.877,0.69631
26.5,-0.037734117,32.646236,0.69265884,0.0,32.792,0.69616
27.0,-0.037440408,33.50558,0.6924114,0.0,33.861,0.69597
27.5,-0.037054915,34.398697,0.6921569,0.0,35.03,0.69573
28.0,-0.03674285,35.3036,0.69189847,0.0,36.25,0.69546
28.5,-0.036375716,36.227715,0.6916355,0.0,37.478,0.69516
29.0,-0.036137078,37.169304,0.6913698,0.0,38.678,0.69487
29.5,-0.035696514,38.137474,0.6911059,0.0,39.839,0.69458
30.0,-0.035402805,39.029224,0.6908722,0.0,40.862,0.69433
30.5,-0.03503567,39.89135,0.69066346,0.0,41.631,0.69417
31.0,-0.034852102,40.72019,0.69048744,0.0,42.245,0.69404
31.5,-0.034429897,41.488747,0.6903498,0.0,42.734,0.69393
32.0,-0.034026045,42.161568,0.6902515,0.0,43.143,0.69384
32.5,-0.03373234,42.713978,0.6901815,0.0,43.491,0.69376
33.0,-0.033456985,43.142967,0.690119,0.0,43.796,0.69368
33.5,-0.03308985,43.45912,0.6900465,0.0,44.066,0.69361
34.0,-0.0328145,43.65431,0.6899647,0.0,44.276,0.69355
34.5,-0.032484077,43.760395,0.68988025,0.0,44.402,0.6935
35.0,-0.032116942,43.75888,0.6898198,0.0,44.44,0.69346
35.5,-0.031841587,43.649548,0.68979985,0.0,44.35,0.69344
36.0,-0.031529523,43.330154,0.68983924,0.0,44.081,0.69345
36.5,-0.031107318,42.770546,0.68992764,0.0,43.514,0.69348
37.0,-0.030776896,41.942596,0.6900377,0.0,42.671,0.69353
37.5,-0.030428115,40.895744,0.6901335,0.0,41.53,0.69361
38.0,-0.030207835,39.723244,0.6901725,0.0,40.209,0.69369
38.5,-0.029840698,38.48003,0.69012433,0.0,38.817,0.69378
39.0,-0.02960206,37.21707,0.6901606,0.0,37.44,0.69386
39.5,-0.029363422,35.969204,0.690361,0.0,36.148,0.69393
40.0,-0.029069714,34.721375,0.69056404,0.0,34.945,0.694
40.5,-0.028739292,33.44814,0.6907103,0.0,33.763,0.69406
41.0,-0.028390512,32.05324,0.6908042,0.0,32.486,0.69412
41.5,-0.028170232,30.506659,0.6908775,0.0,30.991,0.6942
42.0,-0.02783981,28.813196,0.6909464,0.0,29.324,0.69427
42.5,-0.027582813,27.039118,0.69102156,0.0,27.522,0.69435
43.0,-0.027344175,25.314598,0.6911121,0.0,25.731,0.69441
43.5,-0.027068824,23.757738,0.6912114,0.0,24.103,0.69447
44.0,-0.026793472,22.510813,0.69132173,0.0,22.756,0.69451
44.5,-0.026554834,21.59903,0.6914251,0.0,21.767,0.69454
45.0,-0.026261125,20.961843,0.6915147,0.0,21.109,0.69455
45.5,-0.025930703,20.467772,0.6915762,0.0,20.688,0.69456
46.0,-0.025728779,19.909117,0.69158876,0.0,20.394,0.69456
46.5,-0.025563568,19.253769,0.691557,0.0,20.023,0.69457
47.0,-0.025379999,18.5487,0.6914902,0.0,19.578,0.69458
47.5,-0.025067933,17.864838,0.6914098,0.0,19.085,0.69459
48.0,-0.024774225,17.285538,0.6913395,0.0,18.603,0.6946
48.5,-0.024590658,16.859474,0.69128805,0.0,18.206,0.6946
49.0,-0.024388732,16.616772,0.6912532,0.0,17.949,0.6946
49.5,-0.024150094,16.5184,0.6912248,0.0,17.852,0.6946
50.0,-0.023929812,16.452484,0.6911867,0.0,17.776,0.69459
50.5,-0.023709532,16.348091,0.69113487,0.0,17.611,0.69459
51.0,-0.023452537,16.068417,0.69105506,0.0,17.273,0.69459
51.5,-0.023177184,15.570857,0.6909567,0.0,16.627,0.69461
52.0,-0.0230854,14.830922,0.690854,0.0,15.742,0.69463
52.5,-0.022699907,13.914606,0.6907823,0.0,14.658,0.69465
53.0,-0.022644838,13.048121,0.69078636,0.0,13.588,0.69466
53.5,-0.022461269,12.448863,0.69085526,0.0,12.768,0.69467
54.0,-0.022240989,12.203896,0.69094723,0.0,12.281,0.69468
54.5,-0.02205742,12.18535,0.6910205,0.0,12.109,0.69468
55.0,-0.021873852,12.247856,0.6910685,0.0,12.041,0.69467
55.5,-0.021782069,12.311411,0.691092,0.0,12.014,0.69466
56.0,-0.021525074,12.353951,0.69109243,0.0,12.005,0.69465
56.5,-0.021323148,12.39267,0.6910742,0.0,12.008,0.69464
57.0,-0.021176295,12.46454,0.69104475,0.0,12.045,0.69463
57.5,-0.02102944,12.582403,0.69100696,0.0,12.138,0.69461
58.0,-0.020845871,12.736224,0.6909588,0.0,12.266,0.6946
58.5,-0.020625591,12.956483,0.6909064,0.0,12.438,0.69458
59.0,-0.020588877,13.403919,0.69086593,0.0,12.806,0.69455
59.5,-0.020258455,14.098643,0.6908165,0.0,13.518,0.69449
60.0,-0.02016667,14.763473,0.6907285,0.0,14.289,0.69443
60.5,-0.019983103,15.303371,0.6906294,0.0,14.797,0.69439
61.0,-0.019872963,15.76118,0.6905483,0.0,15.17,0.69435
61.5,-0.019671038,16.174124,0.69049054,0.0,15.49,0.69432
62.0,-0.019524183,16.54523,0.69045186,0.0,15.76,0.6943
62.5,-0.019358972,16.899197,0.69042814,0.0,15.984,0.69427
63.0,-0.019285545,17.299475,0.69041526,0.0,16.235,0.69424
63.5,-0.019101977,17.759525,0.69041216,0.0,16.574,0.69421
64.0,-0.019046906,18.22929,0.69041514,0.0,16.959,0.69417
64.5,-0.018955123,18.673843,0.6904174,0.0,17.331,0.69413
65.0,-0.018808268,19.0353,0.69041586,0.0,17.648,0.6941
65.5,-0.018698126,19.318815,0.6904081,0.0,17.868,0.69407
66.0,-0.018606342,19.559011,0.6903936,0.0,18.043,0.69405
66.5,-0.018349348,19.83099,0.6903728,0.0,18.235,0.69402
67.0,-0.018239208,20.285553,0.6903439,0.0,18.594,0.69399
67.5,-0.01816578,20.982578,0.69030577,0.0,19.263,0.69392
68.0,-0.018037282,21.89798,0.6902559,0.0,20.23,0.69382
68.5,-0.017982213,22.947388,0.6901933,0.0,21.455,0.69367
69.0,-0.017927142,24.0596,0.6901219,0.0,22.868,0.69348
69.5,-0.017743574,25.190922,0.690043,0.0,24.414,0.69323
70.0,-0.017670147,26.343891,0.68994176,0.0,26.003,0.69294
70.5,-0.017504936,27.560215,0.68979025,0.0,27.546,0.69264
71.0,-0.017339725,28.800936,0.6895794,0.0,29.039,0.69235
71.5,-0.017339725,29.979107,0.6893363,0.0,30.485,0.69205
72.0,-0.017229583,31.024765,0.68908775,0.0,31.873,0.69176
72.5,-0.017174514,32.023556,0.6888272,0.0,33.051,0.69154
73.0,-0.01702766,33.043705,0.68857765,0.0,33.968,0.69137
73.5,-0.016972588,34.07354,0.68837166,0.0,34.688,0.69125
74.0,-0.016899161,35.05651,0.6882251,0.0,35.277,0.69115
74.5,-0.01673395,35.937912,0.6881277,0.0,35.787,0.69106
75.0,-0.016697237,36.707405,0.6880496,0.0,36.269,0.69097
75.5,-0.016605454,37.37153,0.687967,0.0,36.761,0.69088
76.0,-0.016587095,37.962494,0.68786585,0.0,37.27,0.69078
76.5,-0.016385172,38.49412,0.6877461,0.0,37.795,0.69069
77.0,-0.016275031,38.957897,0.6876164,0.0,38.299,0.69059
77.5,-0.016146533,39.34975,0.6874841,0.0,38.74,0.6905
78.0,-0.016073106,39.65053,0.6873601,0.0,39.083,0.69043
78.5,-0.01605475,39.852554,0.68725413,0.0,39.293,0.69037
79.0,-0.015962966,39.915955,0.68718266,0.0,39.353,0.69034
79.5,-0.015889538,39.85155,0.68715405,0.0,39.249,0.69033
80.0,-0.015871182,39.698895,0.6871707,0.0,39.044,0.69033
80.5,-0.015687613,39.483337,0.6872228,0.0,38.798,0.69033
81.0,-0.015614186,39.14083,0.68729913,0.0,38.478,0.69034
81.5,-0.01559583,38.70757,0.6873757,0.0,38.007,0.69036
82.0,-0.015485689,38.313606,0.68743443,0.0,37.53,0.69038
82.5,-0.015504045,38.031105,0.6874597,0.0,37.219,0.69038
83.0,-0.015357192,37.80758,0.68744457,0.0,37.057,0.69038
83.5,-0.015320478,37.603683,0.687391,0.0,36.894,0.69037
84.0,-0.015191981,37.36066,0.687313,0.0,36.68,0.69038
84.5,-0.01513691,37.062725,0.6872298,0.0,36.366,0.69038
85.0,-0.015100196,36.745274,0.6871634,0.0,36.009,0.69039
85.5,-0.015008412,36.43296,0.6871184,0.0,35.673,0.6904
86.0,-0.014934985,36.105797,0.68708533,0.0,35.365,0.69041
86.5,-0.014824845,35.76217,0.68706125,0.0,35.043,0.69042
87.0,-0.014843201,35.43079,0.68704766,0.0,34.729,0.69042
87.5,-0.014806488,35.072098,0.6870295,0.0,34.43,0.69043
88.0,-0.014696347,34.529964,0.68698996,0.0,33.968,0.69045
88.5,-0.01462292,33.699665,0.6869394,0.0,33.126,0.69049
89.0,-0.01462292,32.439293,0.6868947,0.0,31.813,0.69055
89.5,-0.014549493,30.727869,0.68692225,0.0,29.948,0.69064
90.0,-0.014457709,28.557673,0.68705547,0.0,27.739,0.69073
90.5,-0.014347568,26.08788,0.6872722,0.0,25.258,0.69081
91.0,-0.014384282,23.634144,0.68749124,0.0,22.695,0.69089
91.5,-0.014292498,21.383202,0.6876536,0.0,20.2,0.69095
92.0,-0.014274141,19.458504,0.6877903,0.0,17.932,0.69101
92.5,-0.014164,17.921553,0.68792987,0.0,16.08,0.69104
93.0,-0.014182357,16.686514,0.6880648,0.0,14.64,0.69107
93.5,-0.014164,15.585543,0.6881675,0.0,13.409,0.69109
94.0,-0.014035502,14.398155,0.68821985,0.0,12.202,0.69111
94.5,-0.013925362,13.0458975,0.6882336,0.0,10.869,0.69113
95.0,-0.013962075,11.507044,0.6882218,0.0,9.4186,0.69114
95.5,-0.013943719,9.848827,0.68820906,0.0,7.8545,0.69116
96.0,-0.013870291,8.275902,0.68823373,0.0,6.3275,0.69117
96.5,-0.013851935,6.9345803,0.6882892,0.0,5.0192,0.69117
97.0,-0.01370508,5.866576,0.6883512,0.0,3.972,0.69118
97.5,-0.013686724,5.011147,0.688392,0.0,3.0963,0.69118
98.0,-0.01365001,4.160384,0.6883951,0.0,2.2677,0.69118
98.5,-0.013594939,3.2930958,0.68838173,0.0,1.3384,0.69118
99.0,-0.013576583,2.7388406,0.68840194,0.0,0.49871,0.69118
99.5,-0.013521513,2.418965,0.68917584,0.0,0.032909,0.69118
100.0,-0.013539869,2.8669035,0.6896073,0.0,0.0007683,0.69118
100.5,-0.013484799,1.1555562,0.6895498,0.0,0.00052413,0.69118
101.0,-0.013356302,-0.037864164,0.6896118,0.0,0.00035677,0.69118
101.5,-0.013337945,-0.32050714,0.68966067,0.0,0.00024284,0.69118
102.0,-0.013264517,-0.3439302,0.6896346,0.0,0.00016529,0.69118
102.5,-0.013319588,-0.29970664,0.6895969,0.0,0.0001125,0.69118
103.0,-0.01319109,-0.23623806,0.6895615,0.0,7.66e-05,0.69118
103.5,-0.013172734,-0.17577665,0.6895371,0.0,5.21e-05,0.69118
104.0,-0.013099306,-0.12717053,0.6895203,0.0,3.55e-05,0.69118
104.5,-0.01313602,-0.09150065,0.68950725,0.0,2.41e-05,0.69118
105.0,-0.013099306,-0.067315385,0.6894983,0.0,1.64e-05,0.69118
105.5,-0.013044236,-0.052303955,0.6894935,0.0,1.12e-05,0.69118
106.0,-0.012989165,-0.04379875,0.6894915,0.0,7.61e-06,0.69118
106.5,-0.0129524525,-0.03907325,0.6894901,0.0,5.18e-06,0.69118
107.0,-0.012860668,-0.035906754,0.68948877,0.0,3.53e-06,0.69118
107.5,-0.012879025,-0.032792218,0.6894869,0.0,2.4e-06,0.69118
108.0,-0.0127872415,-0.029161485,0.6894849,0.0,1.63e-06,0.69118
108.5,-0.012823954,-0.025069982,0.689483,0.0,1.11e-06,0.69118
109.0,-0.0127321705,-0.020867614,0.68948233,0.0,7.57e-07,0.69118
109.5,-0.012658743,-0.017022084,0.68948287,0.0,5.15e-07,0.69118
110.0,-0.012640387,-0.013737794,0.6894839,0.0,3.51e-07,0.69118
110.5,-0.012658743,-0.011163714,0.6894856,0.0,2.39e-07,0.69118
