time,ice_torque_pred,ice_torque_true,car_speed_pred,car_speed_true,soc_pred,soc_true
0.0,-13.241338,0.0,-2.1602073,0.0,0.70269513,0.7
0.5,2.681764,0.0,-9.980642,0.0,0.70126796,0.7
1.0,-5.8534822,0.0,-3.7799509,0.0,0.6952672,0.7
1.5,-9.046647,0.0,-4.7827435,0.0,0.69597316,0.7
2.0,-10.08947,0.0,-2.6688683,0.0,0.6954601,0.7
2.5,-7.296714,0.0,-1.2592697,0.0,0.6952785,0.7
3.0,-6.5655894,0.0,-0.5274275,0.0,0.6952436,0.7
3.5,-5.3719573,0.0,-0.2579117,0.0,0.69524556,0.7
4.0,-4.007716,0.0,-0.099668615,0.0,0.6951786,0.7
4.5,-3.2214954,0.0,-0.005371718,0.0,0.69510764,0.7
5.0,-4.0606203,0.0,-0.0026908054,0.0,0.6951054,0.7
5.5,-5.893266,0.0,-0.066936255,0.0,0.69517267,0.7
6.0,-7.736789,0.0,-0.13525254,0.0,0.6952663,0.7
6.5,-8.918474,0.0,-0.16597421,0.0,0.6953456,0.7
7.0,-9.456472,0.0,-0.1603527,0.0,0.69539696,0.7
7.5,-9.562059,0.0,-0.14469261,0.0,0.6954318,0.7
8.0,-9.470085,0.0,-0.14166299,0.0,0.69546753,0.7
8.5,-9.286424,0.0,-0.15630908,0.0,0.6955126,0.7
9.0,-9.040784,0.0,-0.17997234,0.0,0.69556534,0.7
9.5,-8.735544,0.0,-0.20141964,0.0,0.6956183,0.7
10.0,-8.39397,0.0,-0.21501216,0.0,0.6956658,0.7
10.5,-8.037305,0.0,-0.22201617,0.0,0.6957064,0.7
11.0,-7.680707,0.0,-0.22709358,0.0,0.6957429,0.7
11.5,-7.330346,0.0,-0.312492,0.0038231,0.69581693,0.7
12.0,-6.9896727,0.0,-0.67955697,0.28411,0.69626695,0.7
12.5,-6.659247,0.0,0.1560766,0.88804,0.69626707,0.7
13.0,-6.341346,0.0,1.3254021,1.85,0.6961074,0.69998
13.5,-6.0386214,0.0,2.86664,3.2641,0.6959543,0.69995
14.0,-5.7548113,0.0,4.781519,5.0431,0.69575965,0.69989
14.5,-5.4930096,0.0,6.711806,7.0873,0.69560003,0.69978
15.0,-5.2557144,0.0,8.51907,9.1319,0.69544476,0.69963
15.5,-5.0437746,0.0,10.381646,10.929,0.6953271,0.69948
