Time_s,Car_Speed_kmph
0.0,0.19134876
0.5,1.189844606
1.0,2.99977231
1.5,4.8093586
2.0,6.61844516
2.5,8.42684533
3.0,10.2343718
3.5,12.0408382
4.0,13.84605755
4.5,15.6498448
5.0,17.4487053
5.5,19.2046112
6.0,20.8960845
6.5,22.5143687
7.0,24.0645844
7.5,25.5555315
8.0,26.9940539
8.5,28.3857268
9.0,29.7351647
9.5,31.0444781
10.0,32.3125288
10.5,33.5420188
11.0,34.7359966
11.5,35.8971267
12.0,37.0277305
12.5,38.1298541
13.0,39.2052782
13.5,40.255536
14.0,41.2810596
14.5,42.2821099
15.0,43.2599912
15.5,44.2159407
16.0,45.1510823
16.5,46.0664088
17.0,46.9627896
17.5,47.8410793
18.0,48.7020742
18.5,49.5465067
19.0,50.3749933
19.5,51.1808916
20.0,51.9501439
20.5,52.6811353
21.0,53.3739529
21.5,54.0286825
22.0,54.645418
22.5,55.2242551
23.0,55.765294
23.5,56.2686382
24.0,56.7352115
24.5,57.1827241
25.0,57.6280997
25.5,58.0720086
26.0,58.5144393
26.5,58.9553895
27.0,59.394851
27.5,59.8328192
28.0,60.269287
28.5,60.7042491
29.0,61.1377002
29.5,61.5696354
30.0,62.0000475
30.5,62.4289322
31.0,62.8562846
31.5,63.2820989
32.0,63.7063723
32.5,64.1290994
33.0,64.550273
33.5,64.9698905
34.0,65.3879496
34.5,65.8044432
35.0,66.219369
35.5,66.6327225
36.0,67.044498
36.5,67.454694
37.0,67.8633086
37.5,68.270335
38.0,68.6757745
38.5,69.0796164
39.0,69.4818635
39.5,69.8825094
40.0,70.281557
40.5,70.6789975
41.0,71.0748315
41.5,71.4690546
42.0,71.8616654
42.5,72.2526635
43.0,72.6420443
43.5,73.0298059
44.0,73.4159475
44.5,73.800468
45.0,74.183364
45.5,74.5646355
46.0,74.9442806
46.5,75.3222995
47.0,75.6986845
47.5,76.073444
48.0,76.4465689
48.5,76.818064
49.0,77.1879265
49.5,77.5561565
50.0,77.9227521
50.5,78.2877118
51.0,78.6510394
51.5,79.0127316
52.0,79.3727887
52.5,79.7312099
53.0,80.087996
53.5,80.4431477
54.0,80.7966685
54.5,81.1485506
55.0,81.4987903
55.5,81.8464083
56.0,82.1898335
56.5,82.5289804
57.0,82.8639091
57.5,83.1946536
58.0,83.5212756
58.5,83.8438396
59.0,84.1624106
59.5,84.4770697
60.0,84.7878835
60.5,85.094905
61.0,85.3981938
61.5,85.6978031
62.0,85.993782
62.5,86.2861875
63.0,86.5750684
63.5,86.8604761
64.0,87.142459
64.5,87.4210626
65.0,87.6963386
65.5,87.9683284
66.0,88.2370819
66.5,88.5026376
67.0,88.7650406
67.5,89.024339
68.0,89.2805689
68.5,89.533775
69.0,89.783994
69.5,90.0312659
70.0,90.2756331
70.5,90.5171304
71.0,90.7557957
71.5,90.9916479
72.0,91.224717
72.5,91.4550405
73.0,91.6826486
73.5,91.907582
74.0,92.1298695
74.5,92.3495525
75.0,92.5666595
75.5,92.7812281
76.0,92.9932835
76.5,93.2028617
77.0,93.4099941
77.5,93.6147123
78.0,93.8170425
78.5,94.0170175
79.0,94.2146649
79.5,94.4100175
80.0,94.6030991
80.5,94.7939394
81.0,94.9825687
81.5,95.169009
82.0,95.3532909
82.5,95.5354405
83.0,95.7154804
83.5,95.8934402
84.0,96.0693432
84.5,96.2432151
85.0,96.4150787
85.5,96.5849585
86.0,96.7528826
86.5,96.9188659
87.0,97.0829395
87.5,97.245122
88.0,97.4054384
88.5,97.5639056
89.0,97.7205519
89.5,97.8753946
90.0,98.0284574
90.5,98.1797596
91.0,98.3293221
91.5,98.477167
92.0,98.6233086
92.5,98.767775
93.0,98.9105811
93.5,99.0517469
94.0,99.1912898
94.5,99.3292314
95.0,99.4655891
95.5,99.600379
96.0,99.7336239
96.5,99.8653379
97.0,99.9955392
97.5,100.124247
98.0,100.2514739
98.5,100.3772412
99.0,100.5015665
99.5,100.624461
100.0,100.7459455
100.5,100.8660315
101.0,100.9847279
101.5,101.1020535
102.0,101.218022
102.5,101.332647
103.0,101.4459468
103.5,101.557936
104.0,101.668632
104.5,101.778042
105.0,101.8861868
105.5,101.9930791
106.0,102.0987339
106.5,102.2031635
107.0,102.3063816
107.5,102.408404
108.0,102.5092424
108.5,102.6089119
109.0,102.7074227
109.5,102.8047897
110.0,102.9010258
110.5,102.9961431
111.0,103.090154
111.5,103.1830745
112.0,103.2749097
112.5,103.3656756
113.0,103.4553847
113.5,103.5440512
114.0,103.6316796
114.5,103.7182885
115.0,103.803885
115.5,103.8884824
116.0,103.972092
116.5,104.0547209
117.0,104.136384
117.5,104.217093
118.0,104.2968541
118.5,104.3756802
119.0,104.453581
119.5,104.5305695
120.0,104.6066511
120.5,104.681841
121.0,104.7561441
121.5,104.8295732
122.0,104.902136
122.5,104.9738409
123.0,105.0447048
123.5,105.1147296
124.0,105.1839257
124.5,105.2523043
125.0,105.3198699
125.5,105.3866394
126.0,105.4526131
126.5,105.5178039
127.0,105.582221
127.5,105.6458711
128.0,105.7087647
128.5,105.7709069
129.0,105.832306
129.5,105.8929645
130.0,105.9528893
130.5,106.012089
131.0,106.0705726
131.5,106.128343
132.0,106.1854116
132.5,106.2417872
133.0,106.2974761
133.5,106.3524881
134.0,106.4068248
134.5,106.4605025
135.0,106.5135169
135.5,106.5658865
136.0,106.6176134
136.5,106.6687009
137.0,106.7191631
137.5,106.7690067
138.0,106.8182308
138.5,106.8668471
139.0,106.914864
139.5,106.9622871
140.0,107.0091204
140.5,107.0553704
141.0,107.1010474
141.5,107.146155
142.0,107.1906999
142.5,107.2346866
143.0,107.2781251
143.5,107.3210168
144.0,107.36337
144.5,107.4051937
145.0,107.4464866
145.5,107.487259
146.0,107.5275165
146.5,107.5672671
147.0,107.606509
147.5,107.6452555
148.0,107.6835074
148.5,107.721268
149.0,107.75855
149.5,107.795354
150.0,107.8316844
150.5,107.8675485
151.0,107.9029489
151.5,107.9378878
152.0,107.9723716
152.5,108.006405
153.0,108.0399945
153.5,108.0731409
154.0,108.1058481
154.5,108.1381284
155.0,108.1699788
155.5,108.2014091
156.0,108.2324213
156.5,108.2630174
157.0,108.2932081
157.5,108.3229926
158.0,108.3523795
158.5,108.3813698
159.0,108.4099696
159.5,108.438183
160.0,108.4660115
160.5,108.493463
161.0,108.5205392
161.5,108.5472454
162.0,108.5735829
162.5,108.5995595
163.0,108.62518
163.5,108.650442
164.0,108.6753545
164.5,108.699922
165.0,108.724144
165.5,108.7480289
166.0,108.7715733
166.5,108.7947881
167.0,108.8176754
167.5,108.8402361
168.0,108.8624768
168.5,108.8843966
169.0,108.9060029
169.5,108.9272984
170.0,108.9482864
170.5,108.9689696
171.0,108.9893471
171.5,109.0094331
172.0,109.0292189
172.5,109.0487174
173.0,109.0679237
173.5,109.0868475
174.0,109.1054866
174.5,109.1238478
175.0,109.1419319
175.5,109.1597443
176.0,109.1772839
176.5,109.194558
177.0,109.2115665
177.5,109.228313
178.0,109.244801
178.5,109.2610329
179.0,109.277011
179.5,109.2927382
180.0,109.308219
180.5,109.323453
181.0,109.3384435
181.5,109.3531956
182.0,109.3677086
182.5,109.3819895
183.0,109.396036
183.5,109.4098539
184.0,109.4234424
184.5,109.4368099
185.0,109.4499486
185.5,109.4628708
186.0,109.4755748
186.5,109.488063
187.0,109.50034
187.5,109.5124057
188.0,109.52426
188.5,109.5359095
189.0,109.5473549
189.5,109.5585987
190.0,109.5696429
190.5,109.5804867
191.0,109.5911391
191.5,109.6015984
192.0,109.6118635
192.5,109.6219385
193.0,109.6318273
193.5,109.6415346
194.0,109.6510535
194.5,109.6603925
195.0,109.669552
195.5,109.6785367
196.0,109.6873445
196.5,109.6959786
197.0,109.7044401
197.5,109.7127321
198.0,109.7208584
198.5,109.7288135
199.0,109.736608
199.5,109.7442385
200.0,109.7517055
200.5,109.759016
201.0,109.7661722
201.5,109.773168
202.0,109.7800105
202.5,109.7867005
203.0,109.79324
203.5,109.799628
204.0,109.805872
204.5,109.8119676
205.0,109.8179195
205.5,109.8237281
206.0,109.8293936
206.5,109.8349236
207.0,109.8403106
207.5,109.8455618
208.0,109.8506784
208.5,109.8556595
209.0,109.8605096
209.5,109.8652278
210.0,109.8698185
210.5,109.8742772
211.0,109.8786099
211.5,109.8828174
212.0,109.8869002
212.5,109.8908621
213.0,109.8946986
213.5,109.8982295
214.0,109.8041226
214.5,109.3621552
215.0,108.5362389
215.5,107.3304259
216.0,105.7487669
216.5,103.7954985
217.0,101.5719591
217.5,99.3322357
218.0,97.1163185
218.5,94.9241594
219.0,92.7557484
219.5,90.6111025
220.0,88.4901545
220.5,86.3928757
221.0,84.3193646
221.5,82.2697549
222.0,80.2441899
222.5,78.2426622
223.0,76.2629335
223.5,74.2947308
224.0,72.3348952
224.5,70.3831735
225.0,68.4393085
225.5,66.503061
226.0,64.5741798
226.5,62.6524277
227.0,60.7375669
227.5,58.8293619
228.0,56.927584
228.5,55.0321924
229.0,53.2405792
229.5,51.8047544
230.0,50.7635486
230.5,50.1157359
231.0,49.8601537
231.5,49.9954846
232.0,50.4229844
232.5,50.8892712
233.0,51.3541975
233.5,51.8177578
234.0,52.2799428
234.5,52.7407438
235.0,53.2001537
235.5,53.6581646
236.0,54.1147688
236.5,54.5699576
237.0,55.0237261
237.5,55.4760626
238.0,55.9269643
238.5,56.3764229
239.0,56.8244299
239.5,57.2709807
240.0,57.7160667
240.5,58.1596826
241.0,58.6018213
241.5,59.0424782
242.0,59.4816441
242.5,59.9193161
243.0,60.355487
243.5,60.7901496
244.0,61.2233015
244.5,61.6549355
245.0,62.0850455
245.5,62.5136279
246.0,62.9406754
246.5,63.3661859
247.0,63.7901538
247.5,64.2125725
248.0,64.6334389
248.5,65.0527494
249.0,65.4704985
249.5,65.8866829
250.0,66.3012971
250.5,66.7143391
251.0,67.1258019
251.5,67.5356872
252.0,67.9439863
252.5,68.3506995
253.0,68.7558199
253.5,69.1593489
254.0,69.561279
254.5,69.9616086
255.0,70.3603384
255.5,70.75746
256.0,71.1529759
256.5,71.5468796
257.0,71.9391738
257.5,72.3298517
258.0,72.7189108
258.5,73.106354
259.0,73.492173
259.5,73.876375
260.0,74.258947
260.5,74.6398976
261.0,75.0192189
261.5,75.3969155
262.0,75.7729785
262.5,76.1471676
263.0,76.517553
263.5,76.8833085
264.0,77.2444952
264.5,77.6011576
265.0,77.9533587
265.5,78.3011746
266.0,78.644666
266.5,78.98391
267.0,79.3189675
267.5,79.6499052
268.0,79.9767926
268.5,80.2996825
269.0,80.6186381
269.5,80.9336923
270.0,81.244884
270.5,81.552265
271.0,81.855893
271.5,82.1558246
272.0,82.4521125
272.5,82.7448131
273.0,83.0339754
273.5,83.3196485
274.0,83.6018885
274.5,83.8807388
275.0,84.1562504
275.5,84.4284673
276.0,84.6974385
276.5,84.9632044
277.0,85.2258118
277.5,85.485308
278.0,85.741725
278.5,85.9951153
279.0,86.2455155
279.5,86.4929635
280.0,86.7375015
280.5,86.9791669
281.0,87.217996
281.5,87.4540276
282.0,87.6872991
282.5,87.9178448
283.0,88.1457016
283.5,88.3709044
284.0,88.5934835
284.5,88.8134785
285.0,89.030916
285.5,89.2458298
286.0,89.458255
286.5,89.6682214
287.0,89.8757596
287.5,90.0808961
288.0,90.2836681
288.5,90.4840221
289.0,90.6422901
289.5,90.6564528
290.0,90.5118025
290.5,90.2100465
291.0,89.7529122
291.5,89.1421718
292.0,88.409548
292.5,87.6338689
293.0,86.8279156
293.5,85.9920715
294.0,85.1267326
294.5,84.2323185
295.0,83.3189471
295.5,82.4119987
296.0,81.515447
296.5,80.6292568
297.0,79.7533224
297.5,78.8875456
298.0,78.031892
298.5,77.186329
299.0,76.3508335
299.5,75.525356
300.0,74.709457
300.5,73.8993416
301.0,73.0926836
301.5,72.2893972
302.0,71.489436
302.5,70.6927446
303.0,69.8992765
303.5,69.1089812
304.0,68.3218146
304.5,67.5377233
305.0,66.7566635
305.5,65.9785867
306.0,65.203447
306.5,64.431298
307.0,63.7116746
307.5,63.1726047
308.0,62.8337356
308.5,62.6943374
309.0,62.7536918
309.5,63.0109879
310.0,63.4159237
310.5,63.8397113
311.0,64.2619485
311.5,64.6826355
312.0,65.1017604
312.5,65.5193271
313.0,65.9353269
313.5,66.3497581
314.0,66.762614
314.5,67.1738941
315.0,67.5835919
315.5,67.9917069
316.0,68.3982339
316.5,68.803169
317.0,69.20651
317.5,69.6082519
318.0,70.0083955
318.5,70.4069355
319.0,70.8038691
319.5,71.1991975
320.0,71.5929134
320.5,71.985017
321.0,72.3755042
321.5,72.7643738
322.0,73.151626
322.5,73.5372578
323.0,73.9212621
323.5,74.3026845
324.0,74.6795433
324.5,75.0516542
325.0,75.4190761
325.5,75.7818635
326.0,76.1400902
326.5,76.4938326
327.0,76.8431629
327.5,77.1881572
328.0,77.5288776
328.5,77.8653976
329.0,78.1977815
329.5,78.5260918
330.0,78.8503965
330.5,79.1707515
331.0,79.4872175
331.5,79.799856
332.0,80.1087219
332.5,80.4138728
333.0,80.7153569
333.5,81.0131978
334.0,81.307436
334.5,81.5981257
335.0,81.8853186
335.5,82.1690608
336.0,82.449406
336.5,82.7263986
337.0,83.0000905
337.5,83.270523
338.0,83.5377445
338.5,83.801801
339.0,84.0627352
339.5,84.3205875
340.0,84.5754041
340.5,84.827216
341.0,85.076076
341.5,85.3220181
342.0,85.5650815
342.5,85.805302
343.0,86.0427195
343.5,86.2773726
344.0,86.509294
344.5,86.7385213
345.0,86.9650887
345.5,87.1890284
346.0,87.4103795
346.5,87.6291696
347.0,87.8454335
347.5,88.0592032
348.0,88.270508
348.5,88.479382
349.0,88.6858526
349.5,88.8899535
350.0,89.0917103
350.5,89.2911534
351.0,89.4883129
351.5,89.6832145
352.0,89.8758864
352.5,90.0663561
353.0,90.2546516
353.5,90.4407969
354.0,90.6248179
354.5,90.8067374
355.0,90.9865706
355.5,91.1643372
356.0,91.340062
356.5,91.5137721
357.0,91.6854909
357.5,91.8552422
358.0,92.0230476
358.5,92.188934
359.0,92.3529194
359.5,92.515029
360.0,92.6752889
360.5,92.8337115
361.0,92.990325
361.5,93.1451522
362.0,93.2982051
362.5,93.4495158
363.0,93.5990946
363.5,93.746968
364.0,93.8931538
364.5,94.0376716
365.0,94.1805387
365.5,94.321778
366.0,94.4614042
366.5,94.5994392
367.0,94.735899
367.5,94.870804
368.0,95.0041656
368.5,95.136011
369.0,95.2663483
369.5,95.395202
370.0,95.5225842
