Time_s,Car_Speed_kmph
0.0,-0.00865585
0.5,-0.0752402448
1.0,-0.0756847977
1.5,-0.0469127535
2.0,-0.01359081069
2.5,0.049521517
3.0,0.0808385479
3.5,0.0853987476
4.0,0.095050055
4.5,0.108304594
5.0,0.116898985
5.5,0.1227363398
6.0,0.126709215
6.5,0.129426575
7.0,0.137545182
7.5,0.164073854
8.0,0.205301172
8.5,0.266852762
9.0,0.338459395
9.5,0.417633881
10.0,0.519896763
10.5,0.652301937
11.0,0.833051836
11.5,1.068337202
12.0,1.35907644
12.5,1.70521034
13.0,2.09820655
13.5,2.51599855
14.0,2.95507592
14.5,3.42400639
15.0,3.91380845
15.5,4.41599193
16.0,4.86694586
16.5,5.07725271
17.0,5.01705897
17.5,4.68647515
18.0,4.08556986
18.5,3.21463931
19.0,2.20373733
19.5,1.38960882
20.0,0.82563246
20.5,0.511770605
21.0,0.448006849
21.5,0.634212484
22.0,1.007899908
22.5,1.40724199
23.0,1.80655076
23.5,2.20581819
24.0,2.60503504
24.5,3.00418282
25.0,3.39833348
25.5,3.77473497
26.0,4.12848467
26.5,4.4516436
27.0,4.74303785
27.5,5.00272072
28.0,5.23561628
28.5,5.45504
29.0,5.66896035
29.5,5.87221823
30.0,6.06335268
30.5,6.23911693
31.0,6.40548056
31.5,6.5889711
32.0,6.79256155
32.5,7.01616697
33.0,7.25977513
33.5,7.52336735
34.0,7.80334306
34.5,8.09039864
35.0,8.3830522
35.5,8.68129345
36.0,8.9837358
36.5,9.2865661
37.0,9.5892157
37.5,9.89169835
38.0,10.1940099
38.5,10.4961442
39.0,10.7980972
39.5,11.09986295
40.0,11.3961384
40.5,11.6509843
41.0,11.8455063
41.5,12.1263056
42.0,12.4277291
42.5,12.72840225
43.0,13.0260662
43.5,13.31354905
44.0,13.58971515
44.5,13.85456905
45.0,14.108115
45.5,14.35036475
46.0,14.5840964
46.5,14.8164946
47.0,15.04869515
47.5,15.28069515
48.0,15.5124923
48.5,15.74408325
49.0,15.9754653
49.5,16.2066358
50.0,16.4375911
50.5,16.668329
51.0,16.8988467
51.5,17.1291412
52.0,17.3592091
52.5,17.5890484
53.0,17.8186562
53.5,18.0480292
54.0,18.2771652
54.5,18.50606
55.0,18.7340743
55.5,18.9595594
56.0,19.1834735
56.5,19.4091773
57.0,19.6371647
57.5,19.8674137
58.0,20.1005551
58.5,20.3382312
59.0,20.5806947
59.5,20.8279358
60.0,21.0799463
60.5,21.3367119
61.0,21.6467541
61.5,21.9522599
62.0,22.1968683
62.5,22.4387918
63.0,22.6749026
63.5,22.9050951
64.0,23.1244059
64.5,23.3200003
65.0,23.4898721
65.5,23.6340565
66.0,23.7539354
66.5,23.8532712
67.0,23.9376099
67.5,24.0262077
68.0,24.1436613
68.5,24.2626152
69.0,24.3811866
69.5,24.4830647
70.0,24.5723656
70.5,24.6953991
71.0,24.8536743
71.5,25.0442495
72.0,25.2429557
72.5,25.4549819
73.0,25.7239643
73.5,25.9594088
74.0,26.1546338
74.5,26.3098583
75.0,26.4251447
75.5,26.5005709
76.0,26.5460868
76.5,26.5874964
77.0,26.6288573
77.5,26.6701558
78.0,26.7113908
78.5,26.7525546
79.0,26.7892655
79.5,26.8101992
80.0,26.8135843
80.5,26.7994467
81.0,26.7678148
81.5,26.7187067
82.0,26.6483593
82.5,26.5469984
83.0,26.4131175
83.5,26.2467642
84.0,26.0479862
84.5,25.8168464
85.0,25.5615601
85.5,25.302919
86.0,25.0441825
86.5,24.7865027
87.0,24.5293668
87.5,24.2725794
88.0,24.0161487
88.5,23.7600704
89.0,23.5043417
89.5,23.2489569
90.0,22.9939121
90.5,22.7392032
91.0,22.4848267
91.5,22.230778
92.0,21.9770523
92.5,21.7236465
93.0,21.4705564
93.5,21.2177851
94.0,20.9697123
94.5,20.7376608
95.0,20.5234048
95.5,20.3269203
96.0,20.1481852
96.5,19.987131
97.0,19.8201571
97.5,19.5859946
98.0,19.2749369
98.5,18.887064
99.0,18.4224515
99.5,17.8812017
100.0,17.2800421
100.5,16.6621261
101.0,16.0349918
101.5,15.40058555
102.0,14.7591814
102.5,14.11075725
103.0,13.45792505
103.5,12.8074706
104.0,12.16044675
104.5,11.51682775
105.0,10.87658625
105.5,10.2330697
106.0,9.5359233
106.5,8.7466196
107.0,7.85680344
107.5,6.88973639
108.0,5.838332
108.5,4.68493459
109.0,3.45590455
109.5,2.21673091
110.0,0.977715117
110.5,0.05089975466
111.0,-0.00419188161
111.5,-0.0041920332
112.0,-0.0041920366
112.5,-0.0041920366
113.0,-0.0041920366
113.5,-0.0041920366
114.0,-0.0041920366
114.5,-0.0041920366
115.0,-0.0041920366
115.5,-0.0041920366
116.0,-0.0041920366
116.5,-0.0041920366
117.0,-0.0041920366
117.5,-0.0041920366
118.0,-0.0041920366
118.5,-0.00404608475
119.0,-0.00387523504
119.5,-0.00388565637
120.0,-0.00410048078
120.5,-0.00419733816
121.0,-0.00419214753
121.5,-0.00419203869
122.0,-0.0041920366
122.5,-0.0041920366
123.0,-0.0041920366
123.5,-0.00419497427
124.0,-0.00441201169
124.5,-0.00475855699
125.0,-0.00510510234
125.5,-0.00545164804
126.0,-0.00579819346
126.5,-0.00614180109
127.0,-0.006271309
127.5,-0.006271309
128.0,-0.006271309
128.5,-0.006271309
129.0,-0.006271309
129.5,-0.006271309
130.0,-0.006271309
130.5,-0.006271309
131.0,-0.006271309
131.5,-0.006271309
132.0,-0.006271309
132.5,-0.00627560847
133.0,-0.00663532527
133.5,-0.00740791308
134.0,-0.00863736825
134.5,-0.0108987091
135.0,-0.0284202778
135.5,-0.122089937
136.0,-0.262577674
136.5,-0.378225723
137.0,-0.489099536
137.5,-0.591420698
138.0,-0.693131236
138.5,-0.821142181
139.0,-0.976818043
139.5,-1.13266563
140.0,-1.28845039
140.5,-1.44422266
141.0,-1.59998199
141.5,-1.75574452
142.0,-1.92057332
142.5,-2.11793871
143.0,-2.35155883
143.5,-2.62142574
144.0,-2.92753
144.5,-3.2698239
145.0,-3.62928008
145.5,-3.95665168
146.0,-4.24412772
146.5,-4.49171316
147.0,-4.6994145
147.5,-4.8672589
148.0,-5.00520529
148.5,-5.13902469
149.0,-5.27280481
149.5,-5.40654463
150.0,-5.54024292
150.5,-5.67389877
151.0,-5.80751102
151.5,-5.94107893
152.0,-6.0746014
152.5,-6.20807724
153.0,-6.34150569
153.5,-6.47487572
154.0,-6.60307121
154.5,-6.71284871
155.0,-6.80240909
155.5,-6.88223355
156.0,-6.93273709
156.5,-6.96034979
157.0,-6.97276544
157.5,-6.98307836
158.0,-6.99338731
158.5,-7.00369215
159.0,-7.01399291
159.5,-7.02428927
160.0,-7.03458182
160.5,-7.0448711
161.0,-7.05581139
161.5,-7.06920763
162.0,-7.08532599
162.5,-7.1041562
163.0,-7.12569712
163.5,-7.14994722
164.0,-7.17690592
164.5,-7.20657165
165.0,-7.23894344
165.5,-7.27402044
166.0,-7.31924725
166.5,-7.39351954
167.0,-7.47268277
167.5,-7.55592766
168.0,-7.63266862
168.5,-7.69158929
169.0,-7.76519318
169.5,-7.87969432
170.0,-8.03927412
170.5,-8.1917976
171.0,-8.266473
171.5,-8.3128434
172.0,-8.3546597
172.5,-8.3926313
173.0,-8.42691895
173.5,-8.45796515
174.0,-8.4860474
174.5,-8.5113723
175.0,-8.53405545
175.5,-8.5541133
176.0,-8.5716216
176.5,-8.5827625
177.0,-8.5660382
177.5,-8.51413415
178.0,-8.4358419
