Time_s,Car_Speed_kmph
0.0,0.01753968
0.5,0.1209810798
1.0,0.428857893
1.5,0.532843377
2.0,0.400462082
2.5,0.241312025
3.0,0.157698
3.5,0.190242805
4.0,0.284229129
4.5,0.356585482
5.0,0.414485884
5.5,0.471741913
6.0,0.528996247
6.5,0.586248854
7.0,0.643499532
7.5,0.70069444
8.0,0.722211104
8.5,0.609250942
9.0,0.381528077
9.5,0.1748429844
10.0,0.03246460099
10.5,-0.0621123881
11.0,-0.1255061691
11.5,-0.168654202
12.0,-0.198022173
12.5,-0.218010944
13.0,-0.231615915
13.5,-0.240875868
14.0,-0.24717847
14.5,-0.251468206
15.0,-0.254387931
15.5,-0.256212592
16.0,-0.1599413439
16.5,0.2402632074
17.0,0.846735417
17.5,1.47984978
18.0,2.0563588
18.5,2.59600482
19.0,3.19319524
19.5,3.82791862
20.0,4.5256937
20.5,5.26369194
21.0,5.92820134
21.5,6.54681935
22.0,7.06441187
22.5,7.19175278
23.0,6.95274465
23.5,6.63432736
24.0,6.34494245
24.5,6.11287586
25.0,5.91617902
25.5,5.74531039
26.0,5.59337044
26.5,5.44250055
27.0,5.2911092
27.5,5.13987123
28.0,5.06163321
28.5,5.25308405
29.0,5.67108475
29.5,6.11788175
30.0,6.56376165
30.5,7.00945575
31.0,7.45497054
31.5,7.90032327
32.0,8.36015425
32.5,8.8723883
33.0,9.4528908
33.5,10.12715975
34.0,10.87463565
34.5,11.6317578
35.0,12.4083153
35.5,13.2556397
36.0,14.1058298
36.5,14.75687775
37.0,15.2338795
37.5,15.6880636
38.0,16.1203721
38.5,16.3857198
39.0,16.4553787
39.5,16.4450366
40.0,16.3849169
40.5,16.3096014
41.0,16.2516039
41.5,16.2046923
42.0,16.1570792
42.5,16.1095518
43.0,16.0948063
43.5,16.1973657
44.0,16.3978675
44.5,16.6116057
45.0,16.8251392
45.5,17.0380907
46.0,17.1102753
46.5,16.9491921
47.0,16.776244
47.5,16.6882973
48.0,17.0560066
48.5,17.5218358
49.0,17.8402938
49.5,18.0654871
50.0,18.3298877
50.5,18.5859198
51.0,18.7697652
51.5,18.8381307
52.0,18.8197341
52.5,18.7907464
53.0,18.7629206
53.5,18.7352793
54.0,18.7076682
54.5,18.6800863
55.0,18.6525339
55.5,18.6250111
56.0,18.5975174
56.5,18.5700342
57.0,18.5311516
57.5,18.4501913
58.0,18.4154703
58.5,18.6887972
59.0,19.2261786
59.5,19.7945778
60.0,20.379432
60.5,21.0306768
61.0,21.663208
61.5,22.024537
62.0,22.1510898
62.5,22.2482531
63.0,22.3243365
63.5,22.3215276
64.0,22.2528487
64.5,22.1751543
65.0,22.0453486
65.5,21.7191112
66.0,21.2266826
66.5,20.7134511
67.0,20.1981255
67.5,19.6683817
68.0,19.1372012
68.5,18.6471288
69.0,18.192033
69.5,17.741273
70.0,17.321867
70.5,17.0169447
71.0,16.8563607
71.5,16.8077574
72.0,16.8010338
72.5,16.7856024
73.0,16.7710467
73.5,16.7565796
74.0,16.7667836
74.5,16.8653273
75.0,17.037629
75.5,17.2198783
76.0,17.4019469
76.5,17.5838338
77.0,17.7655379
77.5,17.9468628
78.0,18.1033321
78.5,18.2642645
79.0,18.4648646
79.5,18.6804391
