Time_s,Car_Speed_kmph
0.0,0.019608162
0.5,0.1039294094
1.0,0.462541464
1.5,0.886914878
2.0,1.30222964
2.5,1.71728002
3.0,2.13228514
3.5,2.54763753
4.0,2.97303073
4.5,3.20447157
5.0,3.15170169
5.5,3.02266882
6.0,2.89801894
6.5,2.77349086
7.0,2.64560364
7.5,2.51546852
8.0,2.38099262
8.5,2.21858261
9.0,2.0302764
9.5,1.838777
10.0,1.64741306
10.5,1.45606991
11.0,1.2647428
11.5,1.07342957
12.0,0.882128082
12.5,0.690875566
13.0,0.525553776
13.5,0.455548814
14.0,0.418232742
14.5,0.2341487956
15.0,0.00968433445
15.5,-0.0625745708
16.0,-0.0686931539
16.5,-0.1727591675
17.0,-0.305890968
17.5,-0.395567685
18.0,-0.503722565
18.5,-0.617044544
19.0,-0.774726018
19.5,-1.003370152
20.0,-1.21794774
20.5,-1.4053682
21.0,-1.59478841
21.5,-1.78409529
22.0,-1.86895422
22.5,-1.55503263
23.0,-0.898502195
23.5,-0.21568921131
24.0,0.305802757
24.5,0.710794751
25.0,1.104793875
25.5,1.48245458
26.0,1.84644762
26.5,2.20840502
27.0,2.48376959
27.5,2.43319931
28.0,2.10232419
28.5,1.73622939
29.0,1.41541768
29.5,1.16889949
30.0,0.937652728
30.5,0.692355231
31.0,0.481358637
31.5,0.38727011
32.0,0.388880848
32.5,0.403685252
33.0,0.500518678
33.5,0.905245552
34.0,1.56939807
34.5,2.26581663
35.0,2.96098386
35.5,3.65586734
36.0,4.25859085
36.5,4.51581134
37.0,4.48195488
37.5,4.41184223
38.0,4.33926422
38.5,4.25317516
39.0,4.15577386
39.5,4.05665629
40.0,3.92897299
40.5,3.78227836
41.0,3.66551002
41.5,3.56802258
42.0,3.46926054
42.5,3.37047968
43.0,3.27171713
43.5,3.17293543
44.0,3.06846008
44.5,2.95996004
45.0,2.82681046
45.5,2.69922247
46.0,2.72549827
46.5,3.12362011
47.0,3.80826403
47.5,4.52860096
48.0,5.24259179
48.5,5.93887332
49.0,6.60540306
49.5,7.2161434
50.0,7.76957721
50.5,8.2724895
51.0,8.73826485
51.5,9.198757
52.0,9.6590065
52.5,10.1190013
53.0,10.5787293
53.5,11.03863255
54.0,11.566818
54.5,12.140183
55.0,12.5959548
55.5,12.91388255
56.0,13.19788875
56.5,13.4897585
57.0,13.7415925
57.5,13.8480326
58.0,13.8328472
58.5,13.7819386
59.0,13.70209885
59.5,13.61464345
60.0,13.6185794
60.5,13.96370435
61.0,14.6127756
61.5,15.3023169
62.0,15.9558894
62.5,16.5661115
63.0,17.1522876
63.5,17.7340187
64.0,18.2298482
64.5,18.6682703
65.0,19.1954242
65.5,19.7798184
66.0,20.3798857
66.5,20.9188934
67.0,21.2146829
67.5,21.016284
