time_s,ice_speed_rpm,ice_torque_nm,ice_power_kw,fuel_mg,vtg_1,p_amb_bar,t_amb_k,no_eo_gps,no2_eo_gps,co_eo_gps,nh3_eo_gps,co2_eo_gps,propylene_eo_gps,diesel_vap_eo_gps,diesel_vap_ads_eo_gps,o2_eo_gps,n2_eo_gps,no_tp_gps,no2_tp_gps,co_tp_gps,nh3_tp_gps,co2_tp_gps,propylene_tp_gps,diesel_vap_tp_gps,diesel_vap_ads_tp_gps,t_wall_scr1_k,t_gas_eo_k,t_wall_doc_k,t_avg_doc_k,t_wall_dpf_k,t_sub_dpf_k,t_wall_scr2_k,t_avg_scr2_k,t_wall_scr3_k,t_avg_scr3_k,t_gas_tp_k,ice_bsfc_gpkwh,ice_imep_720_bar,ice_bmep_bar,cyl_pmax_bar,cyl_tmax_k,cyl_10_90_kw,mfb50_kw,cyl_lambda_1,combeff_1,turb_speed_rpm,turb_power_rpm,turb_torque_nm,turb_brake_power_kw,fuel_mf_c1_gps,fuel_mf_c2_gps,fuel_mf_c3_gps,fuel_mf_c4_gps,thc_tp_gps,thc_eo_gps,nox_eo_gps,nox_tp_gps,fuel_tot_gps,em1_speed_rpm,em1_torque_nm,em1_torque_ist_nm,em1_power_kw,em1_power_ist_kw,em1_elpower_kw,em1_elpower_ist_kw,em2_speed_rpm,em2_torque_nm,em2_torque_ist_nm,em2_power_kw,em2_power_ist_kw,em2_elpower_kw,em2_elpower_ist_kw,soc_1,brake_perc,car_speed_kmph,car_acc_mps2,grade_perc,sun_speed_rpm,carrier_speed_rpm,ring_speed_rpm
0.0,0.0,0.0,0.0,0.0,0.0,1.005,298,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.907785,297.18139,297.9952125,297.7630175,298.0,298.000195,298.00171,298.011195,298.0011775,298.004475,297.937105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.011646,12.03623486,12.03623486,1.004082816,1.004082816,1.309592728,1.309592728,-0.011750766,0.0,0.0,0.0,0.0,0.0,0.0,0.399995738,100.0,-0.000611812,-0.001567177,0,904.011646,376.1590602,-0.011750766
0.5,800.0,31.41781733,2.632052967,8.088641667,0.5706595,1.005,298,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,5e-10,0.0,0.0,0.0,0.0,298.3751733,306.1509133,297.95111,297.4356433,298.0,298.00025,298.00264,297.9952433,297.9999633,297.9867333,297.9409067,297.47073,2.632483567,2.005684367,57.20962467,1123.959767,20.27678633,0.519024033,4.577224667,399.6042567,17991.52867,0.020200653,0.010724473,0.01755401,0.054815218,0.05386887,0.053572854,0.053734346,0.0,0.0,0.0,0.0,0.215991288,2152.24058,-6.33405058,-6.33405058,-1.42061758,-1.42061758,-1.14295791,-1.14295791,0.025618616,0.0,0.0,0.0,0.0,0.0,0.0,0.399993838,100.0,0.001333851,-7.42e-06,0,2152.24058,895.578158,0.025618616
1.0,948.98795,11.2073861,0.96714562,11.1214225,0.54580661,1.005,298,0.001111633,8.97e-05,0.000366539,0,0,0.000273127,0.000603404,0.000603404,0.152359368,15.818754,0.0,0.0,0.0,2.7e-09,0.0,0.0,0.0,8.84e-08,300.1938175,309.8368675,297.9138875,297.4809275,298.0,298.00022,298.00165,297.9997975,297.998835,297.992125,297.9550875,-63748.49281,2.784864975,0.715469149,60.0500885,1159.15785,14.55108925,0.619285875,4.708499225,96.2844965,18627.41125,0.028595325,0.014510108,0.014436021,0.080043882,0.089070189,0.083070786,0.086007268,8.84e-08,0.001479936,0.001201302,0.0,0.338192125,2882.02474,-0.1021479,-0.1021479,-0.194498976,-0.194498976,0.089961896,0.089961896,0.025596876,0.0,0.0,0.0,0.0,0.0,0.0,0.39999479,100.0,0.001332719,2.37e-05,0,2882.02474,1199.24672,0.025596876
1.5,1456.32705,47.9266655,7.474720167,12.87929533,0.49520554,1.005,298,0.027200268,0.002194093,0.017002285,0,0,0.007118524,0.015726536,0.015726536,3.653088583,19.95265683,0.001285415,5.1e-06,0.010695993,4e-09,5.81e-07,0.005310245,0.011731699,0.002396205,303.9373817,331.9081717,297.8363,296.6099633,298.0,297.99946,298.0016267,298.001065,297.9985733,298.001175,297.9649883,461.2062967,4.961980933,3.059593977,63.90124167,1408.990217,18.97884123,5.541065633,2.886052083,99.70195,25981.43933,0.090157261,0.033201339,0.018477141,0.166144712,0.156032143,0.162971658,0.159564868,0.019438149,0.038571597,0.029394361,0.001290513,0.644713382,3749.2797,-15.1598114,-15.1598114,-5.94713492,-5.94713492,-5.46987716,-5.46987716,0.02634965,0.0,0.0,0.0,0.0,0.0,0.0,0.400018114,100.0,0.001371912,-1.77e-06,0,3749.2797,1560.11834,0.02634965
2.0,1631.864371,40.54486114,6.948318057,12.21377586,0.71889404,1.005,298,0.018002803,0.001452185,0.026338896,0,0,0.009253004,0.020442117,0.020442117,4.449616486,23.51400386,0.024801882,2.62e-06,0.023297613,4.8e-09,5.25e-07,0.009601166,0.021211212,0.005553172,310.2358343,336.10045,297.7397971,297.06065,298.0,297.9976914,298.0013143,297.9980586,298.0001829,298.0046071,297.9568986,346.3603557,3.906481671,2.588346343,55.94895386,1212.443757,25.945738,7.308537771,3.2877198,99.80470157,32078.20786,0.085327892,0.025429453,0.057633068,0.161090016,0.165828653,0.16270492,0.164288297,0.03636555,0.050137239,0.019454987,0.0248045,0.653911886,4084.7839,-16.7769554,-16.7769554,-7.19493496,-7.19493496,-6.67669016,-6.67669016,0.026469396,0.0,0.0,0.0,0.0,0.0,0.0,0.400062296,100.0,0.001378147,1.81e-05,0,4084.7839,1699.72422,0.026469396
2.5,1758.603938,54.93977275,10.11885725,13.45416213,0.636024613,1.005,298,0.019442938,0.001568353,0.021595206,0,0,0.005509713,0.012172284,0.012172284,4.585210763,26.39042488,0.02013076,8.56e-06,0.024979192,5.2e-09,4.23e-07,0.005759327,0.012723654,0.004572806,316.6461988,349.7711125,297.7119125,297.048405,298.0,297.9963438,298.0002963,297.9974813,298.0021,298.005685,297.9506463,279.8425263,4.79887405,3.507304238,57.55978213,1327.629875,26.00004238,7.998453588,2.768363188,99.91229513,35991.02813,0.143164238,0.037527692,0.082578148,0.19625529,0.197054305,0.196482463,0.196746906,0.023055786,0.02985428,0.021011291,0.020139318,0.786538964,4352.34636,-22.8329186,-22.8329186,-10.4135582,-10.4135582,-9.7935788,-9.7935788,0.026892806,0.0,0.0,0.0,0.0,0.0,0.0,0.400124424,100.0,0.001400192,1.02e-05,0,4352.34636,1811.05914,0.026892806
3.0,1850.245571,64.270144,12.46063586,15.58929571,0.387940571,1.005,298,0.020591471,0.001660998,0.021903004,0,0,0.005887167,0.01300617,0.01300617,5.0891878,29.66146614,0.020454553,1.52e-05,0.022666345,5.8e-09,5.47e-07,0.00652739,0.014420241,0.006017324,323.8345029,361.0047514,297.5651743,294.9523943,298.0,297.9920643,298.0003643,298.0002257,298.00447,298.0086214,297.9473814,274.9101386,5.3287158,4.102946486,61.34000671,1382.0342,25.83875343,7.654809129,2.720397,99.92378929,43541.57871,0.334539659,0.072760186,0.229618833,0.235460693,0.239969813,0.236955983,0.238458383,0.026964955,0.031899507,0.022252469,0.020469718,0.950844871,4521.54292,-29.649954,-29.649954,-14.046979,-14.046979,-13.2980075,-13.2980075,0.02738737,0.0,0.0,0.0,0.0,0.0,0.0,0.400207024,100.0,0.001425942,2.02e-05,0,4521.54292,1881.4634,0.02738737
3.5,1892.594038,83.42797188,16.5363195,17.83615138,0.23334055,1.005,298,0.023584755,0.00190245,0.015820703,0,0,0.004837851,0.010687979,0.010687979,4.97052875,32.52562225,0.021000554,2.03e-05,0.018703568,6.3e-09,5.18e-07,0.005130387,0.011334147,0.005828324,332.2322938,376.1498838,297.1529188,291.4851225,298.0,297.9790188,298.0001713,297.9967913,298.006735,298.010825,297.94027,245.9291325,6.415542488,5.325964575,69.3763855,1530.829013,23.05572825,7.325257763,2.315068638,99.812108,51702.82013,0.596289401,0.109871949,0.48279661,0.280738096,0.281294161,0.280949448,0.281148955,0.022292858,0.026213809,0.025487205,0.021020843,1.12413066,4551.27656,-36.0025508,-36.0025508,-17.1583512,-17.1583512,-16.2796418,-16.2796418,0.027813459,0.0,0.0,0.0,0.0,0.0,0.0,0.400313352,100.0,0.001448127,1.23e-05,0,4551.27656,1893.83606,0.027813459
4.0,1882.638088,87.34994688,17.22075438,17.75122513,0.23,1.005,298,0.030692351,0.002475779,0.011734387,0,0,0.005753051,0.012709877,0.012709877,4.889449663,33.60369463,0.023750643,1.62e-05,0.012258062,6.5e-09,5.61e-07,0.005525607,0.012207246,0.006653513,341.6142513,383.6009125,296.6096475,290.8960588,298.0,297.9567263,297.9984838,297.9856988,298.0085388,298.00998,297.9330988,233.8309888,6.598061125,5.576339725,71.65280063,1544.069175,22.317881,7.3543311,2.235700563,99.854765,57198.7495,0.678664945,0.113319059,0.62632457,0.280178705,0.278744043,0.279762385,0.279297808,0.024386366,0.031172806,0.03316813,0.023766801,1.11798294,4496.95994,-35.0958908,-35.0958908,-16.5291962,-16.5291962,-15.6743004,-15.6743004,0.027740391,0.0,0.0,0.0,0.0,0.0,0.0,0.400426436,100.0,0.001444322,-1.9e-05,0,4496.95994,1871.23438,0.027740391
4.5,1869.301775,78.89121113,15.4440845,16.15723088,0.23,1.005,298,0.027868746,0.002248015,0.012888839,0,0,0.005970279,0.013189785,0.013189785,5.110810013,32.93084225,0.028538779,8.85e-06,0.012080097,6.4e-09,5.74e-07,0.005927542,0.013095223,0.007178891,349.6911663,385.50423,296.21377,291.634915,298.0,297.93547,297.995075,297.9756563,298.0095988,298.0104913,297.9358263,235.8649763,6.048822488,5.036341763,69.52937688,1476.776625,24.08049975,7.446381363,2.440597838,99.92204988,59036.13538,0.683590286,0.110566278,0.664895424,0.253899205,0.251943526,0.253230983,0.252641515,0.026201655,0.032349848,0.030116761,0.028547632,1.011715229,4454.56952,-30.9301328,-30.9301328,-14.4296984,-14.4296984,-13.66329,-13.66329,0.027420164,0.0,0.0,0.0,0.0,0.0,0.0,0.400530284,100.0,0.001427649,-6.7e-06,0,4454.56952,1853.59522,0.027420164
