time_s,ice_torque_nm,em1_speed_rpm,em1_torque_nm,em1_torque_ist_nm,em1_power_kw,em1_power_ist_kw,em1_elpower_kw,em1_elpower_ist_kw,em2_speed_rpm,em2_torque_nm,em2_torque_ist_nm,em2_power_kw,em2_power_ist_kw,em2_elpower_kw,em2_elpower_ist_kw,soc_1,ice_speed_soll_rpm,brake_perc,car_speed_kmph,car_acc_mpsh2,grade_perc,sun_speed_rpm,carrier_speed_rpm,ring_speed_rpm,brake_trq_nm,brake_pwr_kw
0.0,61.571724,210.48767,-13.856575,-13.856575,-0.30543718,-0.30543718,-0.15571614,-0.15571614,-0.10588933,-294.2491,-294.2491,0.0032628414,0.0032628414,0.009867992,0.009867992,0.4687703,86.37707,18.389725,-0.005513199,0.0006111187,0.0,210.48767,87.52364,-0.10588933,165.28139,0.00073310256
0.5,61.571724,252.150453,-26.0768074,-26.0768074,-0.687756422,-0.687756422,-0.401582788,-0.401582788,-0.1038289617,-294.2491,-294.2491,0.00319935388,0.00319935388,0.00967601735,0.00967601735,0.468772054,86.37707,18.389725,-0.00540592483,3.8059023e-05,0.0,252.150453,104.8610382,-0.1038289617,161.071426,0.000700532288
1.0,61.571724,209.061422,-25.6792117,-25.6792117,-0.562201409,-0.562201409,-0.304681565,-0.304681565,-0.1038906311,-294.2491,-294.2491,0.00320125412,0.00320125412,0.00968176375,0.00968176375,0.468774683,86.37707,18.389725,-0.00540913564,-1.401228e-06,0.0,209.061422,86.9313393,-0.1038906311,161.197434,0.000701492633
1.5,61.571724,207.480838,-25.621582,-25.621582,-0.556688883,-0.556688883,-0.300872562,-0.300872562,-0.1039002154,-294.2491,-294.2491,0.00320154948,0.00320154948,0.00968265675,0.00968265675,0.468777022,86.37707,18.389725,-0.00540963464,-1.75078e-07,0.0,207.480838,86.2736432,-0.1039002154,161.217016,0.000701642585
2.0,61.571724,207.45098,-25.62047,-25.62047,-0.556584627,-0.556584627,-0.300800854,-0.300800854,-0.1039003626,-294.2491,-294.2491,0.00320155403,0.00320155403,0.00968267035,0.00968267035,0.468779353,86.37707,18.389725,-0.0054096425,-1.23065e-07,0.0,207.45098,86.261219,-0.1039003626,161.217321,0.000701644904
2.5,61.571724,207.450429,-25.6204501,-25.6204501,-0.55658272,-0.55658272,-0.30079954,-0.30079954,-0.1039003765,-294.2491,-294.2491,0.00320155444,0.00320155444,0.0096826717,0.0096826717,0.468781684,86.37707,18.389725,-0.00540964328,3.9032e-08,0.0,207.450429,86.2609922,-0.1039003765,161.21735,0.000701645134
3.0,60.7375123,205.467807,-25.3464318,-25.3464318,-0.54547305,-0.54547305,-0.293818647,-0.293818647,-0.1040356872,-294.2491,-294.2491,0.00320572385,0.00320572385,0.00969527945,0.00969527945,0.468784008,86.37707,18.389725,-0.00541668814,-1.6543726e-05,0.0,205.467807,85.4359301,-0.1040356872,161.493829,0.000703766412
3.5,55.1269333,197.590444,-22.9643963,-22.9643963,-0.475225327,-0.475225327,-0.251359999,-0.251359999,-0.1050428969,-294.2491,-294.2491,0.00323675968,0.00323675968,0.00978912605,0.00978912605,0.468786117,86.37707,18.389725,-0.00546912927,-3.3448664e-05,0.0,197.590444,82.1575096,-0.1050428969,163.551859,0.000719641852
4.0,48.7584442,196.86837,-20.28923,-20.28923,-0.418283951,-0.418283951,-0.219093974,-0.219093974,-0.1061833537,-294.2491,-294.2491,0.00327190134,0.00327190134,0.0098953879,0.0098953879,0.468787924,86.37707,18.389725,-0.00552850783,-3.3295766e-05,0.0,196.86837,81.856381,-0.1061833537,165.882159,0.000737819447
4.5,42.3899552,196.855775,-17.6388317,-17.6388317,-0.363619005,-0.363619005,-0.188555729,-0.188555729,-0.1073197064,-294.2491,-294.2491,0.00330691667,0.00330691667,0.010001267,0.010001267,0.468789475,86.37707,18.389725,-0.00558767278,-3.3101063e-05,0.0,196.855775,81.850478,-0.1073197064,168.204078,0.000756153278
5.0,36.0214665,196.856841,-14.9887135,-14.9887135,-0.308989326,-0.308989326,-0.156305712,-0.156305712,-0.1084559331,-294.2491,-294.2491,0.00334192798,0.00334192798,0.01010713395,0.01010713395,0.46879078,86.37707,18.389725,-0.00564683127,-3.3227779e-05,0.0,196.856841,81.850258,-0.1084559331,170.525732,0.000774706067
5.5,29.6529773,196.858158,-12.33896545,-12.33896545,-0.25436703,-0.25436703,-0.1249895524,-0.1249895524,-0.1095921772,-294.2491,-294.2491,0.00337693984,0.00337693984,0.010213002,0.010213002,0.468791821,86.37707,18.389725,-0.00570599053,-3.2699976e-05,0.0,196.858158,81.8501444,-0.1095921772,172.84742,0.00079348013
6.0,23.2873209,196.860285,-9.68885385,-9.68885385,-0.199737231,-0.199737231,-0.0932187631,-0.0932187631,-0.1107282205,-294.2491,-294.2491,0.00341194548,0.00341194548,0.01031885075,0.01031885075,0.468792628,86.37707,18.389725,-0.00576513943,-3.110298e-05,0.0,196.860285,81.8503619,-0.1107282205,175.168698,0.000812471793
6.5,20.446995,203.928776,-8.415408,-8.415408,-0.179731613,-0.179731613,-0.08014891,-0.08014891,-0.1112529418,-294.2491,-294.2491,0.00342811417,0.00342811417,0.01036774105,0.01036774105,0.468793203,86.37707,18.389725,-0.00579245945,3.13717e-07,0.0,203.928776,84.7913078,-0.1112529418,176.240866,0.00082130931
7.0,20.446995,207.37058,-8.5048268,-8.5048268,-0.184689115,-0.184689115,-0.0829732282,-0.0829732282,-0.1112382162,-294.2491,-294.2491,0.00342766033,0.00342766033,0.01036636855,0.01036636855,0.46879378,86.37707,18.389725,-0.00579169267,2.53085e-07,0.0,207.37058,86.2234774,-0.1112382162,176.210772,0.000821060334
7.5,20.446995,207.451096,-8.5082947,-8.5082947,-0.184836133,-0.184836133,-0.0830590903,-0.0830590903,-0.104608873,-291.684839,-291.684839,0.00319945975,0.00319945975,0.00967629271,0.00967629271,0.468794376,86.37707,20.0445184,-0.00544653149,0.00070002467,0.0,207.451096,86.2608526,-0.104608873,174.753177,0.00076672624
8.0,20.446995,207.396571,-8.50840005,-8.50840005,-0.184789839,-0.184789839,-0.0830338345,-0.0830338345,-0.0658507425,-255.380229,-255.380229,0.0017725029,0.0017725029,0.00536091666,0.00536091666,0.46879497,86.37707,34.5304887,-0.00342856328,0.00084551434,0.0,207.396571,86.2607945,-0.0658507425,152.1722,0.00042261249
