time_s,ice_torque_nm,em1_speed_rpm,em1_torque_nm,em1_torque_ist_nm,em1_power_kw,em1_power_ist_kw,em1_elpower_kw,em1_elpower_ist_kw,em2_speed_rpm,em2_torque_nm,em2_torque_ist_nm,em2_power_kw,em2_power_ist_kw,em2_elpower_kw,em2_elpower_ist_kw,soc_1,ice_speed_soll_rpm,brake_perc,car_speed_kmph,car_acc_mpsh2,grade_perc,sun_speed_rpm,carrier_speed_rpm,ring_speed_rpm,brake_trq_nm,brake_pwr_kw
0.0,208.95055,870.3327,-14.742138,-14.742138,-1.343668,-1.343668,-1.0610464,-1.0610464,0.23384959,-57.516396,-57.516396,-0.0014085001,-0.0014085001,-0.00046599243,-0.00046599243,0.9067527,1332.6364,0.0,0.012175536,0.08210051,0.0,870.3327,362.2884,0.23384959,0.0,0.0
0.5,208.95055,2675.92793,-69.1533149,-69.1533149,-20.25592075,-20.25592075,-18.53010747,-18.53010747,2.81042089,-57.516396,-57.516396,-0.01692745346,-0.01692745346,-0.00566250986,-0.00566250986,0.906800783,1332.6364,0.0,0.1463264512,0.146425238,0.0,2675.92793,1115.114314,2.81042089,0.0,0.0
1.0,208.95055,3176.9431,-86.5942755,-86.5942755,-28.8093102,-28.8093102,-26.4155401,-26.4155401,7.77990018,-57.516396,-57.516396,-0.046859139,-0.046859139,-0.0158982964,-0.0158982964,0.906952191,1332.6364,0.0,0.405065745,0.1335965,0.0,3176.9431,1326.49213,7.77990018,0.0,0.0
1.5,208.95055,3180.85844,-86.9752544,-86.9752544,-28.971344,-28.971344,-26.5610142,-26.5610142,12.33897815,-57.516396,-57.516396,-0.0743189362,-0.0743189362,-0.0255759696,-0.0255759696,0.907116152,1332.6364,0.0,0.64243722,0.13178007,0.0,3180.85844,1330.7833,12.33897815,0.0,0.0
2.0,208.95055,3174.67048,-86.9823635,-86.9823635,-28.9173494,-28.9173494,-26.5072633,-26.5072633,16.8950732,-57.516396,-57.516396,-0.1017607645,-0.1017607645,-0.0355190436,-0.0355190436,0.907280108,1332.6364,0.0,0.879653372,0.131786701,0.0,3174.67048,1330.86875,16.8950732,0.0,0.0
2.5,208.95055,3168.2947,-86.982567,-86.982567,-28.8593414,-28.8593414,-26.449828,-26.449828,21.4522241,-57.3009494,-57.3009494,-0.128678467,-0.128678467,-0.0455412695,-0.0455412695,0.907443851,1332.6364,0.0,1.11692451,0.132475011,0.0,3168.2947,1330.8766,21.4522241,0.0,0.0
3.0,208.95055,3161.11213,-86.994716,-86.994716,-28.7979362,-28.7979362,-26.3885806,-26.3885806,26.6244692,-43.2751617,-43.2751617,-0.1194883555,-0.1194883555,-0.0424869529,-0.0424869529,0.907607311,1332.6364,0.0,1.38622091,0.177849817,0.0,3161.11213,1330.90792,26.6244692,0.0,0.0
3.5,208.217193,3149.62824,-86.891618,-86.891618,-28.6595211,-28.6595211,-26.255666,-26.255666,34.0006268,-21.3901121,-21.3901121,-0.0745664398,-0.0745664398,-0.0255145263,-0.0255145263,0.907770317,1332.6364,0.0,1.77026556,0.247605778,0.0,3149.62824,1330.4363,34.0006268,0.0,0.0
4.0,161.290458,3047.32123,-68.0783172,-68.0783172,-21.7532184,-21.7532184,-20.0737106,-20.0737106,42.4207859,-5.33144623,-5.33144623,-0.02287934895,-0.02287934895,-0.00706849803,-0.00706849803,0.907920239,1332.6364,0.0,2.20866686,0.212159076,0.0,3047.32123,1292.78204,42.4207859,0.0,0.0
4.5,88.701468,3010.81683,-36.7848954,-36.7848954,-11.59844165,-11.59844165,-10.80782343,-10.80782343,48.033502,7.32839593,7.32839593,0.0372850252,0.0372850252,0.1127835942,0.1127835942,0.908020286,1332.6364,0.0,2.50089667,0.1140717291,0.0,3010.81683,1280.86954,48.033502,0.0,0.0
5.0,62.304115,3096.04751,-25.0471375,-25.0471375,-8.12258499,-8.12258499,-7.56220929,-7.56220929,51.2868983,17.1185663,17.1185663,0.0921696609,0.0921696609,0.271600743,0.271600743,0.908076352,1332.6364,0.0,2.67028692,0.094529058,0.0,3096.04751,1318.23428,51.2868983,0.0,0.0
5.5,62.304115,3120.58014,-25.9329712,-25.9329712,-8.47453965,-8.47453965,-7.89696812,-7.89696812,55.0474633,25.1769767,25.1769767,0.145415125,0.145415125,0.408668323,0.408668323,0.908127869,1332.6364,0.0,2.86608324,0.122125735,0.0,3120.58014,1330.63822,55.0474633,0.0,0.0
6.0,62.304115,3115.01232,-25.9615334,-25.9615334,-8.46873865,-8.46873865,-7.89101449,-7.89101449,59.5064801,28.121101,28.121101,0.175236755,0.175236755,0.481959258,0.481959258,0.908179234,1332.6364,0.0,3.09824499,0.13168387,0.0,3115.01232,1330.92501,59.5064801,0.0,0.0
6.5,62.304115,3108.64501,-25.9617964,-25.9617964,-8.4515135,-8.4515135,-7.87420327,-7.87420327,64.0586125,28.121101,28.121101,0.188642033,0.188642033,0.515253596,0.515253596,0.908230205,1332.6364,0.0,3.33525487,0.131660054,0.0,3108.64501,1330.93349,64.0586125,0.0,0.0
7.0,62.304115,3102.27327,-25.9617914,-25.9617914,-8.4341889,-8.4341889,-7.85730102,-7.85730102,68.6098783,28.121101,28.121101,0.202044762,0.202044762,0.548085863,0.548085863,0.908280855,1332.6364,0.0,3.57221954,0.131633987,0.0,3102.27327,1330.93965,68.6098783,0.0,0.0
7.5,62.304115,3094.3658,-26.2176576,-26.2176576,-8.49515465,-8.49515465,-7.91428579,-7.91428579,73.1610744,28.121101,28.121101,0.215447277,0.215447277,0.58047119,0.58047119,0.908331206,1331.05065,0.0,3.80918062,0.132050637,0.0,3094.3658,1330.30668,73.1610744,0.0,0.0
8.0,62.304115,2854.04258,-29.7337175,-29.7337175,-8.88770975,-8.88770975,-8.26268336,-8.26268336,77.8415288,28.121101,28.121101,0.229230449,0.229230449,0.613318502,0.613318502,0.908383875,1229.90683,0.0,4.05287163,0.138136439,0.0,2854.04258,1233.0393,77.8415288,0.0,0.0
8.5,61.991998,2458.18179,-29.2034587,-29.2034587,-7.52300374,-7.52300374,-6.93425462,-6.93425462,82.6070415,28.121101,28.121101,0.243264092,0.243264092,0.646299442,0.646299442,0.908432227,1073.444947,0.0,4.30099116,0.136819184,0.0,2458.18179,1071.101195,82.6070415,0.0,0.0
9.0,42.0552788,2268.0995,-17.6765755,-17.6765755,-4.20007811,-4.20007811,-3.79309442,-3.79309442,86.7445895,28.121101,28.121101,0.255448491,0.255448491,0.674570893,0.674570893,0.908466103,1016.5456,0.0,4.5164155,0.0935166501,0.0,2268.0995,994.422504,86.7445895,0.0,0.0
9.5,11.2160412149,2263.73605,-4.59824849799,-4.59824849799,-1.08994579408,-1.08994579408,-0.876165880104,-0.876165880104,88.950716,27.9233672,27.9233672,0.260094818,0.260094818,0.685738688,0.685738688,0.908477678,1016.5456,0.0,4.631279,0.0341738874,0.0,2263.73605,993.894928,88.950716,0.0,0.0
10.0,0.0,2302.00276,0.392128769,0.392128769,0.0941712406,0.0941712406,0.128450124,0.128450124,89.0467415,15.0740861,15.0740861,0.1407401123,0.1407401123,0.405431025,0.405431025,0.908474303,1016.5456,0.0,4.63627852,-0.029148812285,0.0,2302.00276,1009.874071,89.0467415,0.0,0.0
10.5,0.0,2317.64106,0.0373206903,0.0373206903,0.0090569956,0.0090569956,0.0123355164,0.0123355164,86.9233701,-4.8547586864,-4.8547586864,-0.043657874535,-0.043657874535,0.000485299106,0.000485299106,0.908472698,1016.5456,0.0,4.52572375,-0.0937167925,0.0,2317.64106,1015.141471,86.9233701,0.0,0.0
11.0,0.0,2323.37389,0.033602298,0.033602298,0.0081754387,0.0081754387,0.0111307983,0.0111307983,83.0792945,-12.132264,-12.132264,-0.105551228,-0.105551228,-0.0348940842,-0.0348940842,0.908472846,1016.5456,0.0,4.32557957,-0.118127712,0.0,2323.37389,1015.282418,83.0792945,0.0,0.0
11.5,0.0,2340.90311,1.997341735,1.997341735,0.51198278065,0.51198278065,0.56304002805,0.56304002805,78.9904,-11.9003084,-11.9003084,-0.098483472,-0.098483472,-0.032557562,-0.032557562,0.908472774,1028.731335,0.0,4.11268834,-0.1208707834,0.0,2340.90311,1020.188977,78.9904,0.0,0.0
12.0,0.0,4143.24115,28.9999592,28.9999592,12.52041026,12.52041026,13.2742865,13.2742865,74.5512047,3.21604013,3.21604013,0.0242639055,0.0242639055,0.10652694058,0.10652694058,0.908419676,1805.82304,0.0,3.88155868,-0.11883953,0.0,4143.24115,1767.56319,74.5512047,0.0,0.0
12.5,0.3913643798,7124.23309,23.6166059,23.6166059,17.1802645,17.1802645,18.1708985,18.1708985,71.8785394,26.6519457,26.6519457,0.200367301,0.200367301,0.541825414,0.541825414,0.908263442,2997.85267,0.0,3.74240465,-0.0315467347,0.0,7124.23309,3006.41537,71.8785394,0.0,0.0
13.0,25.390509,6802.637729999999,-35.9094746,-35.9094746,-25.2587944,-25.2587944,-24.1617844,-24.1617844,73.700825,35.205624,35.205624,0.271714628,0.271714628,0.696136233,0.696136233,0.908255812,2791.28322,0.0,3.83728318,0.1287931795,0.0,6802.637729999999,2873.66114,73.700825,0.0,0.0
13.5,64.0606251,4252.43165,-47.8409698,-47.8409698,-21.1584139,-21.1584139,-20.0119935,-20.0119935,79.3307646,35.037569,35.037569,0.29101884,0.29101884,0.737902221,0.737902221,0.908394953,1795.52342,0.0,4.13040964,0.194038912,0.0,4252.43165,1815.78888,79.3307646,0.0,0.0
14.0,78.12464,3265.135,-31.5488519,-31.5488519,-10.78779015,-10.78779015,-10.1020899,-10.1020899,85.5137779,24.1292254,24.1292254,0.215330372,0.215330372,0.585814783,0.585814783,0.908484229,1433.3733,0.0,4.45233246,0.146771588,0.0,3265.135,1408.57762,85.5137779,0.0,0.0
14.5,77.7334354,3312.17821,-32.4057456,-32.4057456,-11.23999005,-11.23999005,-10.5337788,-10.5337788,89.661312,7.21391883,7.21391883,0.0672822387,0.0672822387,0.2026698448,0.2026698448,0.908551877,1433.3733,0.0,4.66827663,0.0930469917,0.0,3312.17821,1430.57441,89.661312,0.0,0.0
15.0,52.7341342,3262.74587,-22.4310927,-22.4310927,-7.67153593,-7.67153593,-7.13197643,-7.13197643,91.7889031,1.0389011,1.0389011,0.00998603255,0.00998603255,0.030206782,0.030206782,0.908614785,1433.3733,0.0,4.77905097,0.02657328385,0.0,3262.74587,1411.2475,91.7889031,0.0,0.0
15.5,14.0636592593,3248.0251,-5.7561112729,-5.7561112729,-1.95725050792,-1.95725050792,-1.6737653514,-1.6737653514,91.4118756,1.0389011,1.0389011,0.009945015,0.009945015,0.0300827076,0.0300827076,0.908644928,1433.3733,0.0,4.75942101,-0.0474932237,0.0,3248.0251,1404.90194,91.4118756,0.0,0.0
16.0,0.0,3299.09114,0.5029402195,0.5029402195,0.1731615467,0.1731615467,0.2257379461,0.2257379461,89.0894029,1.0389011,1.0389011,0.009692345,0.009692345,0.0293184056,0.0293184056,0.908646583,1433.3733,0.0,4.63849984,-0.0747635367,0.0,3299.09114,1424.79486,89.0894029,0.0,0.0
16.5,0.0,3318.9405,0.0944363928,0.0944363928,0.0328522711,0.0328522711,0.0427877692,0.0427877692,86.5249409,1.0389011,1.0389011,0.0094133483,0.0094133483,0.0284744676,0.0284744676,0.908645804,1433.74379,0.0,4.50497936,-0.0740330525,0.0,3318.9405,1431.55692,86.5249409,0.0,0.0
17.0,0.0,3377.62711,0.903320954,0.903320954,0.319448591,0.319448591,0.415441848,0.415441848,83.939375,1.0389011,1.0389011,0.0091320555,0.0091320555,0.0276235835,0.0276235835,0.908643812,1457.40827,0.0,4.37036018,-0.075421102,0.0,3377.62711,1454.46715,83.939375,0.0,0.0
17.5,0.0,3464.9062,-0.428195851,-0.428195851,-0.151699715,-0.151699715,-0.027513792,-0.027513792,81.3378735,0.9370459859,0.9370459859,0.007993597153,0.007993597153,0.02417985678,0.02417985678,0.908640802,1486.46551,0.0,4.23491119,-0.0734185283,0.0,3464.9062,1489.26564,81.3378735,0.0,0.0
18.0,0.0,2387.35948,-18.0165338,-18.0165338,-4.52927305,-4.52927305,-4.11616318,-4.11616318,79.0988666,-5.69810245,-5.69810245,-0.04700001,-0.04700001,-0.01553769026,-0.01553769026,0.908659145,1017.445695,0.0,4.11833575,-0.0642833364,0.0,2387.35948,1039.583117,79.0988666,0.0,0.0
18.5,0.0,535.2584934,-15.67578557,-15.67578557,-0.977222997,-0.977222997,-0.729929741,-0.729929741,76.2395144,-15.9897978,-15.9897978,-0.1273623374,-0.1273623374,-0.0434266511,-0.0434266511,0.908676024,271.352521532,0.0,3.96946161,-0.1026160645,0.0,535.2584934,267.240693832,76.2395144,0.0,0.0
19.0,0.0,-154.13577,1.154145617,1.154145617,-0.02015804697,-0.02015804697,-0.00705150346,-0.00705150346,71.8009996,-19.747856,-19.747856,-0.148483797,-0.148483797,-0.0517748061,-0.0517748061,0.908677428,0.0,0.0,3.73836739,-0.145734245,0.0,-154.13577,-22.2129589,71.8009996,0.0,0.0
19.5,0.0,-95.087101,0.0972721056,0.0972721056,-0.000989072502,-0.000989072502,-0.000345988282,-0.000345988282,66.8025841,-19.747856,-19.747856,-0.138147118,-0.138147118,-0.0479965459,-0.0479965459,0.908677808,0.0,0.0,3.47812154,-0.143791042,0.0,-95.087101,-0.56090981283,66.8025841,0.0,0.0
20.0,0.0,-86.5978459,0.0410249573,0.0410249573,-0.000372249926,-0.000372249926,-0.000130217059,-0.000130217059,61.8346624,-19.747856,-19.747856,-0.1278735046,-0.1278735046,-0.0442671712,-0.0442671712,0.908678146,0.0,0.0,3.21946335,-0.143661531,0.0,-86.5978459,0.0708002206,61.8346624,0.0,0.0
20.5,0.0,-79.6164649,0.0399448977,0.0399448977,-0.000333041547,-0.000333041547,-0.000116501545,-0.000116501545,56.8685367,-19.747856,-19.747856,-0.1176036057,-0.1176036057,-0.0405648551,-0.0405648551,0.908678456,0.0,0.0,2.96089877,-0.143634137,0.0,-79.6164649,0.0761206728,56.8685367,0.0,0.0
21.0,0.0,-72.664565,0.0399186633,0.0399186633,-0.000303758146,-0.000303758146,-0.000106257888,-0.000106257888,51.903273,-19.747856,-19.747856,-0.1073354832,-0.1073354832,-0.0368888771,-0.0368888771,0.908678724,0.0,0.0,2.70237886,-0.14361078,0.0,-72.664565,0.0696753819,51.903273,0.0,0.0
21.5,0.0,-65.7142658,0.0399124119,0.0399124119,-0.000274660861,-0.000274660861,-9.6079344e-05,-9.6079344e-05,46.9387769,-19.747856,-19.747856,-0.0970689539,-0.0970689539,-0.0332391593,-0.0332391593,0.908678994,0.0,0.0,2.44389906,-0.1435896,0.0,-65.7142658,0.0630146922,46.9387769,0.0,0.0
22.0,0.0,-58.7649466,0.0399071087,0.0399071087,-0.000245582697,-0.000245582697,-8.5907488e-05,-8.5907488e-05,41.9749773,-19.747856,-19.747856,-0.086803862,-0.086803862,-0.0296156336,-0.0296156336,0.90867922,0.0,0.0,2.18545546,-0.143570543,0.0,-58.7649466,0.0563509632,41.9749773,0.0,0.0
22.5,0.0,-39.7044375,2.0509737587,2.0509737587,0.015090795298,0.015090795298,0.036875827964,0.036875827964,37.0058742,-19.5486533,-19.5486533,-0.0758035444,-0.0758035444,-0.0257520802,-0.0257520802,0.908679431,12.477746793,0.0,1.92673576,-0.146520875,0.0,-39.7044375,5.0861468071,37.0058742,0.0,0.0
23.0,0.0,1808.848347,29.7321228,29.7321228,5.56685325,5.56685325,6.18580904,6.18580904,31.5624819,-6.56736475,-6.56736475,-0.02263810751,-0.02263810751,-0.00491520238,-0.00491520238,0.908661722,808.983012,0.0,1.64332186,-0.152922417,0.0,1808.848347,771.104242,31.5624819,0.0,0.0
23.5,0.0,4875.39786,25.95102864,25.95102864,12.97969785,12.97969785,13.76087799,13.76087799,27.5298691,13.55938075,13.55938075,0.0386245352,0.0386245352,0.1155039408,0.1155039408,0.908574435,2041.11673,0.0,1.43336119,-0.0786500497,0.0,4875.39786,2044.76354,27.5298691,0.0,0.0
