time_s,ice_speed_rpm,ice_torque_nm,ice_power_kw,fuel_soll_mg,vtg_1,p_amb_bar,t_amb_k,no_eo_gps,no2_eo_gps,co_eo_gps,nh3_eo_gps,co2_eo_gps,propylene_eo_gps2,diesel_vap_eo_gps,diesel_vap_ads_eo_gps,o2_eo_gps,n2_eo_gps,no_tp_gps,no2_tp_gps,co_tp_gps,nh3_tp_gps,co2_tp_gps,propylene_tp_gps,diesel_vap_tp_gps,diesel_vap_ads_tp_gps,t_wall_scr1_k,t_gas_eo_k,t_wall_doc_k,t_avg_doc_k,t_wall_dpf_k,t_sub_dpf_k,t_wall_scr2_k,t_avg_scr2_k,t_wall_scr3_k,t_avg_scr3_k,t_gas_tp_k,ice_bsfc_bar,ice_imep_720_bar,ice_bmep_bar,cyl_pmax_bar,cyl_tmax_k,cyl_10_90_ca,mfb50_ca,cyl_lambda_1,combeff_perc,turb_speed_rpm,turb_power_kw,turb_torque_nm,turb_brake_power_kw,fuel_mf_c1_gps,fuel_mf_c2_gps,fuel_mf_c3_gps,fuel_mf_c4_gps,thc_tp_gps,thc_eo_gps,nox_eo_gps,nox_tp_gps,fuel_tot_gps
0.0,1880.5292,-28.043707,-5.522607,7.169173,0.58,0.80038357,287.16733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7725507,0.0,0.0,0.0,9.2e-11,0.0,0.0,0.0,0.0,287.1673,289.00424,287.1673,288.4833,287.1673,287.16766,287.1673,287.3237,287.1673,287.27658,287.1593,-292.83386,-0.8261643,-1.7902843,36.484646,732.5881,0.0,0.0,5.2953863,0.0,13034.095,0.053314902,0.040456392,0.15482657,0.11234865,0.11234865,0.11234865,0.11234865,0.0,0.0,0.0,0.0,0.4493946
0.5,1880.5292,6.984205142857,1.3753896,7.169173,0.496901682857,0.80038357,287.16733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.097524714286,0.0,0.0,0.0,1.64e-10,0.0,0.0,0.0,6e-12,288.248024285714,305.793842857143,287.144827142857,286.041634285714,287.1673,287.167572857143,287.169825714286,287.151782857143,287.168922857143,287.156037142857,287.117695714286,199.46585,1.337954952857,0.4458652,34.098916,1091.105942857143,8.362814,11.437575142857,4.229012614286,194.835117142857,17485.668857142857,0.079521250286,0.045352943429,-0.013103017,0.11234865,0.11234865,0.11234865,0.11234865,6e-12,0.0,0.0,0.0,0.4493946
1.0,1880.5292,20.516952625,4.0403738625,7.169173,0.23690678375,0.80038357,287.16733,0.002149923518,0.000173422248,0.010720104944,0.0,0.0,0.007688512068,0.016985776513,0.016985776513,2.3311481525,20.436128375,3.433966e-06,2.52748e-07,0.004590235188,1.2e-09,1.938346e-06,0.003127925162,0.00691062255,0.00138013915,294.2137525,321.6908125,286.9364375,283.862235,287.1673,287.16503,287.16765125,287.16720875,287.1674875,287.16856375,287.14406125,400.88409875,2.188467775,1.30978325,33.519724,1243.9047,12.81473775,14.23364,3.85744595,99.96532975,37390.8565,0.1664257625,0.042185853125,-0.031586320213,0.11234865,0.11234865,0.11234865,0.11234865,0.011418686863,0.041660065092,0.002323345766,3.686714e-06,0.4493946
1.5,1880.5292,18.348961875,3.6134345625,7.169173,0.23,0.80038357,287.16733,0.008896536,0.000717633514,0.02848522,0.0,0.0,0.01226604275,0.02709864475,0.02709864475,4.5690053375,21.05395025,0.001749774971,4.8868737e-05,0.020520999375,1.367e-09,2.076803e-06,0.014004846312,0.030938360125,0.006670671875,299.16366625,321.16117125,286.53618875,282.06184875,287.1673,287.15869375,287.1678125,287.165225,287.168195,287.16942,287.1368275,448.59287625,2.103250425,1.17138075,43.721848625,1069.0135125,26.746058875,7.2399639,4.310805825,99.7745575,45141.915875,0.2356713975,0.0498227985,0.27291265125,0.11234865,0.11234865,0.11234865,0.11234865,0.051613878312,0.06646333225,0.009614169514,0.001798643708,0.4493946
2.0,1880.5292,19.856279875,3.910268525,7.169173,0.23,0.80038357,287.16733,0.005283102025,0.000426158132,0.03316637025,0.0,0.0,0.008722713188,0.019270576125,0.019270576125,3.7801730625,18.46023875,0.007135396325,3.5623644e-05,0.035647140625,1.206e-09,3.70264e-07,0.008701148375,0.019223428125,0.004146851237,302.74642875,320.466955,286.22434125,283.2560775,287.1673,287.15219125,287.16661,287.15992875,287.1692525,287.16675625,287.14730625,414.14716125,2.2022350875,1.2676065375,44.11814775,1083.4049,26.191728875,7.788771025,3.6049897375,99.919446875,40464.630125,0.14972735125,0.035114968625,0.2152414125,0.11234865,0.11234865,0.11234865,0.11234865,0.032071427738,0.047263865438,0.005709260157,0.007171019969,0.4493946
2.5,1880.5292,20.779992,4.092174,7.169173,0.23,0.80038357,287.16733,0.0056586269,0.000456449616,0.021743910875,0.0,0.0,0.010099757875,0.02231279975,0.02231279975,3.1776481125,16.977223,0.004841668475,3.2296145e-05,0.024004787875,1.076e-09,6.6084e-07,0.0091644705,0.02024639675,0.0038609467,305.75138375,322.8791025,286.09887125,284.28520875,287.1673,287.1489225,287.16570125,287.16220375,287.1702475,287.1706225,287.15299875,395.371645,2.2575976125,1.3265754875,43.323461375,1127.574575,22.309970375,8.75704825,3.113839575,99.9409045,35743.997625,0.1244964655,0.03329718325,0.14805051625,0.11234865,0.11234865,0.11234865,0.11234865,0.03327181395,0.054725357375,0.006115076516,0.00487396462,0.4493946
3.0,1880.5292,20.71865775,4.0800953875,7.169173,0.23,0.80038357,287.16733,0.00577396,0.00046575289,0.0214580045,0.0,0.0,0.01082067475,0.0239054785,0.0239054785,3.2848754625,17.494737375,0.005350144912,3.0515421e-05,0.02156526675,1.112e-09,7.82288e-07,0.01084325225,0.02395507325,0.004958226512,308.90682875,325.61455125,285.97564875,284.28107125,287.1673,287.14546,287.16491875,287.15955625,287.17120125,287.1705025,287.1529275,396.7666125,2.2526781,1.322659925,43.183105125,1132.05605,22.133422875,8.711656625,3.1728788875,99.9423725,34668.698000000004,0.126134843,0.034740949875,0.12913109175,0.11234865,0.11234865,0.11234865,0.11234865,0.039756552012,0.05863163175,0.00623971289,0.005380660334,0.4493946
3.5,1880.5292,20.734352857143,4.083186257143,7.169173,0.23,0.80038357,287.16733,0.0057284564,0.000462082386,0.021211699,0.0,0.0,0.010701493786,0.023642179143,0.023642179143,3.260559028571,17.386688428571,0.0055342982,2.7911909e-05,0.021030348857,1.105e-09,8.17498e-07,0.010722177571,0.023687644714,0.005256436071,311.754141428571,327.920924285714,285.867012857143,284.45356,287.1673,287.142001428571,287.163997142857,287.158971428571,287.171995714286,287.171574285714,287.154575714286,399.670844285714,2.2531865,1.323661942857,43.044994571429,1135.707271428572,21.620740571429,8.802986142857,3.122438442857,99.320292,34433.85228571429,0.126339808857,0.035027800571,0.124608336429,0.112348651429,0.112348651429,0.112348651429,0.112348651429,0.039666258357,0.057985852071,0.006190538786,0.005562210109,0.449394605714
4.0,1877.008325,21.56758975,4.2391693375,7.169173,0.23,0.80038357,287.16733,0.005533230462,0.0004463346,0.021585303125,0.0,0.0,0.011038025625,0.024385658625,0.024385658625,3.2533770625,17.62499125,0.005563773612,2.8294893e-05,0.021557074625,1.118e-09,8.38216e-07,0.010921306875,0.024127611875,0.005792239725,314.530825,330.20178375,285.77086625,284.5078425,287.1673,287.13835625,287.16297875,287.156855,287.17277,287.171515,287.155995,382.88532125,2.267458325,1.3768550125,42.6483035,1145.3804,18.224997375,9.202525125,3.041280475,99.300472,34729.227249999996,0.1295915525,0.035620130625,0.12579995,0.11213828125,0.11213828125,0.11213828125,0.11213828125,0.040841158475,0.059809342875,0.005979565062,0.005592068506,0.448553125
4.5,1859.1385625,20.927781625,4.0746985125,7.169173,0.23,0.80038357,287.16733,0.004333679988,0.000349573602,0.024757795375,0.0,0.0,0.012608366125,0.027854919875,0.027854919875,3.8029739,20.152549125,0.0060436585,3.9851536e-05,0.025490138625,1.271e-09,1.02814e-06,0.01261814625,0.02787624125,0.008004883912,317.64993125,334.7866275,285.66215125,283.9553725,287.167285,287.13354625,287.16210875,287.15617,287.1738075,287.1746375,287.1591825,392.9609525,2.1969944875,1.3360102,42.771003625,1138.738575,20.246935625,8.788664,3.2617829875,99.861751375,38160.013625,0.19387529125,0.048359748375,0.133609021375,0.111070667375,0.111070667375,0.111070667375,0.111070667375,0.048499271412,0.068318205875,0.00468325359,0.006083510036,0.4442826695
