time_s,ice_speed_rpm,ice_torque_nm,ice_power_kw,fuel_soll_mg,vtg_1,p_amb_bar,t_amb_k,no_eo_gps,no2_eo_gps,co_eo_gps,nh3_eo_gps,co2_eo_gps,propylene_eo_gps2,diesel_vap_eo_gps,diesel_vap_ads_eo_gps,o2_eo_gps,n2_eo_gps,no_tp_gps,no2_tp_gps,co_tp_gps,nh3_tp_gps,co2_tp_gps,propylene_tp_gps,diesel_vap_tp_gps,diesel_vap_ads_tp_gps,t_wall_scr1_k,t_gas_eo_k,t_wall_doc_k,t_avg_doc_k,t_wall_dpf_k,t_sub_dpf_k,t_wall_scr2_k,t_avg_scr2_k,t_wall_scr3_k,t_avg_scr3_k,t_gas_tp_k,ice_bsfc_bar,ice_imep_720_bar,ice_bmep_bar,cyl_pmax_bar,cyl_tmax_k,cyl_10_90_ca,mfb50_ca,cyl_lambda_1,combeff_perc,turb_speed_rpm,turb_power_kw,turb_torque_nm,turb_brake_power_kw,fuel_mf_c1_gps,fuel_mf_c2_gps,fuel_mf_c3_gps,fuel_mf_c4_gps,thc_tp_gps,thc_eo_gps,nox_eo_gps,nox_tp_gps,fuel_tot_gps
0.0,1226.5735,-20.912397,-2.6861236,2.0,0.58,1.005,289.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717598,0.0,0.0,0.0,1.76e-10,0.0,0.0,0.0,0.0,289.15,289.46988,289.15,289.64102,289.15,289.15024,289.15,289.20804,289.15,289.2042,289.13016,-109.55581,-0.6714155,-1.335028,36.946667,747.8934,0.0,0.0,18.851208,0.0,15587.836,0.03395448,0.020724462,-0.0008478442,0.02044289,0.02044289,0.02044289,0.02044289,0.0,0.0,0.0,0.0,0.08177156
0.5,1000.0072625,-0.6975145,-0.0730208,2.0,0.578384125,1.005,289.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,1.84e-10,0.0,0.0,0.0,1e-12,289.0807075,288.8147525,289.1323875,288.44223,289.15,289.1502975,289.151865,289.1452975,289.1517025,289.1469225,289.105975,-178.9878615,-0.1942979,-0.044528675,43.85794,807.523255,6.26139625,3.0500075,20.1549805,323.68372,20373.572,0.034220907,0.0161188655,-0.006092622875,0.016666668,0.016666668,0.016666668,0.016666668,1e-12,0.0,0.0,0.0,0.066666672
1.0,1000.0,-6.341277775,-0.6640570325,2.0,0.5712534925,1.005,289.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4918485,0.0,0.0,0.0,5.64e-10,0.0,0.0,0.0,9.15e-10,289.26524,290.828805,289.0543,288.22029,289.15,289.14989,289.15075,289.147935,289.150765,289.1487675,289.11564,-361.42503,0.2373129475,-0.404821295,46.18327475,831.7373275,12.4085465,3.36776,21.6385195,99.946805,23530.419,0.03801915225,0.015448033,0.0364425295,0.016666668,0.016666668,0.016666668,0.016666668,9.15e-10,0.0,0.0,0.0,0.066666672
1.5,1000.0,-6.24800325,-0.654289395,2.0,0.5631552675,1.005,289.15,0.001009728175,8.1449094e-05,0.03578476525,0.0,0.0,0.006988114625,0.01543842975,0.01543842975,3.096773175,15.67184,1.813922e-06,1.39898e-07,0.0146065205,1.252e-09,1.583734e-06,0.002848191025,0.0062926845,0.000828162568,289.55126,290.898305,288.98835,288.223585,289.15,289.1493525,289.1501675,289.146675,289.15045,289.14812,289.1174275,-366.82432,0.24567781,-0.3988667525,46.42649475,830.7556925,12.40716525,3.284606175,21.80741675,99.977551,23180.93025,0.03527111925,0.014542316875,0.0402203675,0.016666668,0.016666668,0.016666668,0.016666668,0.009969038093,0.037864974125,0.001091177269,1.95382e-06,0.066666672
2.0,1000.0,-6.10684715,-0.639507535,2.0,0.5569233175,1.005,289.15,0.001261820875,0.000101783994,0.04459297225,0.0,0.0,0.0087377645,0.01930382725,0.01930382725,3.872615275,13.471671,0.00038667346,1.9351685e-05,0.04559376525,1.159e-09,1.486117e-06,0.008920698,0.01970713,0.002226270925,289.7689125,290.9580175,288.9337525,288.33174,289.15,289.1489025,289.1495375,289.145585,289.150135,289.1474525,289.12027,-376.180445,0.25491935,-0.38985547,46.4664915,830.855265,12.40291525,3.280842975,21.39424375,99.876694,22137.225,0.028664889,0.012365082,0.03790147725,0.016666668,0.016666668,0.016666668,0.016666668,0.030854098925,0.047345419,0.001363604868,0.000406025145,0.066666672
2.5,1000.0,-5.91318075,-0.619226865,2.0,0.5528004975,1.005,289.15,0.000982783012,7.9275579e-05,0.040073239,0.0,0.0,0.00777112775,0.0171682945,0.0171682945,3.4235876,11.9961345,0.0010597577,3.4354335e-05,0.039745466,1.031e-09,1.335211e-06,0.0077775391,0.01718209,0.0017827521,289.9485075,290.9693,288.8970725,288.499195,289.15,289.14859,289.1488575,289.1444925,289.15,289.146995,289.12386,-387.9182075,0.266856185,-0.3774919875,46.3585145,830.05779,12.42451575,3.513955,18.94067,99.80282125,20505.11675,0.021048206,0.00979234,0.03256349625,0.016666668,0.016666668,0.016666668,0.016666668,0.0267423812,0.04210771675,0.001062058592,0.001094112035,0.066666672
3.0,1000.0,-5.7198371,-0.598979925,2.0,0.55105344,1.005,289.15,0.000688734092,5.5556306e-05,0.0347745,0.0,0.0,0.006785721425,0.0149912945,0.0149912945,2.932843225,10.382234,0.000910810925,2.6376136e-05,0.03473593825,8.91e-10,1.537611e-06,0.0067535653,0.01491982625,0.001353307,290.0961325,290.9498425,288.8772825,288.660345,289.15,289.1484275,289.14813,289.143475,289.149875,289.146675,289.123275,-400.8308325,0.2787192525,-0.3651491025,46.2689545,829.223595,12.410657,3.703235025,16.5909705,99.9263375,18464.911,0.014790380375,0.0076370924,0.0267140855,0.016666668,0.016666668,0.016666668,0.016666668,0.02302669855,0.036768310425,0.000744290399,0.000937187061,0.066666672
3.5,1000.0,-5.56584318,-0.58285376,2.0,0.552526188,1.005,289.15,0.000507544794,4.0940785e-05,0.029076669,0.0,0.0,0.00574226206,0.012686041,0.012686041,2.4351947,8.7392898,0.000644745488,1.9054295e-05,0.029300203,7.47e-10,1.838848e-06,0.0057181082,0.0126321688,0.000976497034,290.228708,290.926222,288.86588,288.755834,289.15,289.148388,289.147326,289.143114,289.14966,289.146454,289.113952,-411.822306,0.288025832,-0.355318288,46.1557408,827.689772,12.352521,4.0830493,14.2263462,99.962665,16024.9006,0.010202876,0.0060667425,0.0203376088,0.016666668,0.016666668,0.016666668,0.016666668,0.019326774034,0.03111434406,0.000548485579,0.000663799783,0.066666672
4.0,1000.0,-5.480057575,-0.57387031,2.0,0.5545467875,1.005,289.15,0.000406884508,3.2821085e-05,0.02518993325,0.0,0.0,0.005184364025,0.0114535095,0.0114535095,2.1558286,7.856749125,0.000485995992,1.5141661e-05,0.02582225025,6.68e-10,2.146263e-06,0.0051559873,0.0113902285,0.00081585143,290.3411125,290.9846075,288.85885,288.8115375,289.15,289.148455,289.14674,289.1434975,289.149275,289.144775,289.10808,-418.232765,0.2925438675,-0.3498418175,45.94182175,824.9383875,12.430730125,4.468797675,12.36093625,99.97224725,13934.285249999995,0.00825522275,0.005662481075,0.014137428875,0.016666668,0.016666668,0.016666668,0.016666668,0.01736206723,0.028091383025,0.000439705593,0.000501137654,0.066666672
4.5,1000.0,-5.4763514,-0.57348218,2.0,0.552138885,1.005,289.15,0.000384921355,3.104944e-05,0.02406315275,0.0,0.0,0.0052291252,0.011552397625,0.011552397625,2.14445695,7.889448575,0.000439733918,1.4768782e-05,0.024873182,6.69e-10,2.547732e-06,0.00519800255,0.01148293875,0.000882675385,290.44578,291.12603,288.8540925,288.8228675,289.15,289.148485,289.146315,289.1431225,289.1487275,289.1438525,289.1084125,-418.5029175,0.2916430975,-0.349605205,45.6963805,824.002025,12.47904,4.747124725,11.574142,99.9758925,12940.91075,0.0078704094,0.00581440735,0.01027861925,0.016666668,0.016666668,0.016666668,0.016666668,0.017563616685,0.02833392045,0.000415970795,0.000454502699,0.066666672
5.0,1000.0,-5.4892311,-0.5748309475,2.0,0.54748635,1.005,289.15,0.000379828445,3.0638624e-05,0.0233258995,0.0,0.0,0.005259287575,0.011619034125,0.011619034125,2.141277925,7.907263175,0.000402321698,1.4639244e-05,0.02359395225,6.7e-10,2.946097e-06,0.005246427125,0.011589811125,0.000962624,290.5574925,291.2530425,288.84895,288.82435,289.15,289.1485,289.1458675,289.1427225,289.148225,289.1436425,289.1093275,-417.516735,0.2903508525,-0.35042743,45.60073875,824.56428,12.478332375,4.7483025,11.30280525,99.97682375,12533.99325,0.007720099575,0.005889345375,0.00854705875,0.016666668,0.016666668,0.016666668,0.016666668,0.01779886225,0.028497355825,0.000410467069,0.000416960942,0.066666672
5.5,1000.0,-5.489636525,-0.57487341,2.0,0.5420797975,1.005,289.15,0.000375528478,3.0291771e-05,0.02335907425,0.0,0.0,0.005259916225,0.011620422625,0.011620422625,2.13829115,7.90804115,0.000380504308,1.4549803e-05,0.02333070875,6.7e-10,3.084859e-06,0.005257300325,0.011613812875,0.001038644375,290.67059,291.3711575,288.84378,288.8225,289.15,289.148485,289.145435,289.14234,289.14775,289.143345,289.1101,-417.4846125,0.2901400925,-0.3504533175,45.57840125,824.973635,12.4764815,4.745743425,11.1955425,99.9771875,12413.26175,0.007721505525,0.005947949875,0.0078885895,0.016666668,0.016666668,0.016666668,0.016666668,0.017909757575,0.028500761475,0.000405820248,0.00039505411,0.066666672
6.0,1000.0,-5.482279975,-0.5741030175,2.0,0.5367554875,1.005,289.15,0.00037363281,3.0138859e-05,0.02338564975,0.0,0.0,0.005253950475,0.011607242875,0.011607242875,2.1346564,7.89947365,0.000371425748,1.4490848e-05,0.023345741,6.69e-10,3.137321e-06,0.005253056625,0.011604432,0.001113869475,290.78306,291.480075,288.83866,288.81953,289.15,289.1484625,289.1450125,289.1420275,289.1473175,289.14313,289.110445,-418.043915,0.290702625,-0.3499836775,45.61236025,825.308395,12.472839875,4.73944425,11.1513455,99.97762125,12386.19025,0.00776195875,0.0059922444,0.00782487125,0.016666668,0.016666668,0.016666668,0.016666668,0.0179713581,0.028468436225,0.000403771669,0.000385916595,0.066666672
