#{"t_start": 1773404533.0231888, "env_id": "EmissionControlEnv"}
r,l,t
-5921.3769542557875,3600,38.14824938774109
-6149.3145309079855,3600,46.363606214523315
-2518.3238174127355,3600,65.19933891296387
-5349.43460445628,3600,111.29276299476624
-2127.163873303145,3600,157.48737287521362
-3133.673159745442,3600,203.81969571113586
-3963.7318661303257,3600,250.17820143699646
-3628.5101476493537,3600,296.50289702415466
-3603.1406225637897,3600,342.9225981235504
-6073.31944847727,3600,389.16082215309143
-4634.274676324162,3600,435.7170684337616
-1357.673535578422,3600,482.07311820983887
-2345.063302194532,3600,528.4135925769806
-1081.929232540337,3600,574.9618535041809
-1022.0883189499976,3600,621.2530097961426
-3352.5101349900197,3600,667.5970206260681
-5210.133891339803,3600,713.9421410560608
-3497.2516824019535,3600,760.2602882385254
-2776.031940215286,3600,806.6792757511139
-5227.386274827617,3600,853.0641341209412
-4632.335512490133,3600,899.58447098732
-5859.306043630811,3600,946.0545716285706
-661.854596550716,3600,992.4824261665344
-2302.2799263994175,3600,1038.9935920238495
-4593.803484478864,3600,1085.4224996566772
-3481.1078429190047,3600,1131.8808529376984
-5898.676423453238,3600,1178.310287475586
-2923.974395528638,3600,1225.4457476139069
-521.7495581259499,3600,1271.841777563095
-4683.685623871597,3600,1318.1957426071167
-5150.201032158006,3600,1364.730186700821
-342.07827364223726,3600,1411.22239112854
-4628.099376673555,3600,1457.6626250743866
-5494.451158585351,3600,1504.45370554924
-3432.00230375427,3600,1550.94744515419
-1944.7511184609336,3600,1597.4119832515717
-4708.866089896761,3600,1643.9419434070587
-1268.0010175540303,3600,1690.3539037704468
-505.4292588024797,3600,1736.8954799175262
-2535.35182312483,3600,1783.370599269867
-4417.329986533886,3600,1830.0824139118195
-4181.178796837695,3600,1876.5594055652618
-372.3237395077268,3600,1923.1745553016663
-5441.61691490713,3600,1969.7196950912476
-2867.8884791320675,3600,2016.3014824390411
-4217.270970782267,3600,2062.903873205185
-408.64309987694,3600,2109.5156490802765
-3016.9421103528666,3600,2156.0330357551575
-2579.0140783381657,3600,2202.6994495391846
-3748.2923734538804,3600,2249.2455201148987
-439.3975937883858,3600,2296.2853248119354
-4263.052967230809,3600,2343.000348329544
-721.1850514190519,3600,2389.6337745189667
