#{"t_start": 1776366688.9219258, "env_id": "None"}
r,l,t
-515.656326,3599,52.814838
-482.200788,3599,103.785479
-464.225525,3599,156.585679
-431.697633,3599,206.042438
1319.96294,3599,248.390184
508.587531,3599,293.912716
-364.969151,3599,358.950224
541.65239,3599,405.449957
-188.019257,3599,448.508944
-326.056491,3599,492.423605
-272.772886,3599,537.394822
-261.108752,3599,581.889999
597.224443,3599,625.912772
133.029709,3599,691.471284
-226.318936,3599,737.449683
-95.860436,3599,783.821303
-222.116015,3599,829.970673
353.376739,3599,877.840654
329.918714,3599,922.362514
-75.40844,3599,967.238939
197.375363,3599,1028.000118
-167.150993,3599,1073.301539
-171.434697,3599,1117.156733
-98.320614,3599,1160.913771
-102.766207,3599,1202.218603
-172.864292,3599,1245.571814
-155.673731,3599,1290.379785
