Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, -1.86, 0.90, True, True
2, -2.16, 1.02, True, True
3, -0.74, 0.60, True, True
4, -0.60, 0.69, True, True
5, -0.95, 2.15, True, True
6, -0.23, 1.19, True, True
7, -0.12, 0.99, True, True
8, -0.06, 0.72, True, True
9, -0.05, 0.70, True, True
10, -0.03, 0.52, True, True
11, -0.03, 0.54, True, True
12, -0.07, 1.33, True, True
13, -0.05, 0.87, True, True
14, -0.06, 0.82, True, True
15, -0.06, 0.67, True, True
16, -0.05, 0.53, True, True
17, -0.05, 0.50, True, True
18, -0.06, 0.49, True, True
19, -0.06, 0.49, True, True
20, -0.08, 0.63, True, True
21, -0.24, 1.54, True, True
22, -0.12, 0.70, True, True
23, -0.11, 0.59, True, True
24, -0.11, 0.56, True, True
25, -0.12, 0.55, True, True
26, -0.12, 0.55, True, True
27, -0.13, 0.56, True, True
28, -0.17, 0.67, True, True
