Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.81, True
2, -1.32, True
3, -0.89, True
4, -0.57, True
5, -0.45, True
6, -0.37, True
7, -0.32, True
8, -0.26, True
9, -0.22, True
10, -0.17, True
11, -0.12, True
12, -0.08, True
13, -0.07, True
14, -0.05, True
15, -0.04, True
16, -0.03, True
17, -0.03, True
18, -0.03, True
19, -0.02, True
20, -0.03, True
21, -0.03, True
22, -0.03, True
23, -0.03, True
24, -0.03, True
25, -0.04, True
26, -0.04, True
27, -0.04, True
28, -0.05, True
29, -0.05, True
30, -0.06, True
31, -0.06, True
32, -0.07, True
33, -0.07, True
34, -0.08, True
35, -0.08, True
36, -0.09, True
37, -0.10, True
38, -0.11, True
39, -0.11, True
40, -0.12, True
41, -0.13, True
42, -0.13, True
Partial (0.83 km), -0.14, True
