#{"t_start": 1772471578.5214138, "env_id": "None"}
r,l,t
-4383.487946,3600,5.688801
-4342.864282,3600,9.959402
-4304.503373,3600,14.256872
-4264.990792,3600,18.497515
-4238.537092,3600,22.557268
-4180.376357,3600,26.858467
-4118.235133,3600,31.085711
-4133.071564,3600,35.31168
-4067.353372,3600,39.446094
-3995.144792,3600,43.689259
-3978.285007,3600,48.168437
-3921.780578,3600,52.360334
-3886.71094,3600,56.491417
-3908.664316,3600,60.740117
-3708.850567,3600,64.97582
-3573.297522,3600,69.253508
-3485.509473,3600,73.374239
-3461.065808,3600,77.561203
-3702.161183,3600,81.789421
-3445.466887,3600,85.965821
-3272.408494,3600,90.142252
-3415.276579,3600,94.338567
-3419.43276,3600,98.563652
-3182.404441,3600,102.876205
-3158.035608,3600,106.988144
-3319.536698,3600,111.22126
-3685.555765,3600,115.407211
-3913.452113,3600,119.862143
-4578.91045,3600,124.036904
-4438.004597,3600,128.227422
-4150.991236,3600,132.597971
-3933.751392,3600,136.812736
-3810.432857,3600,141.171035
-3709.109258,3600,145.348795
-3475.952946,3600,149.497431
-4171.827762,3600,153.841431
-5861.204781,3600,157.999902
-4292.712302,3600,162.219018
-4140.874154,3600,166.468214
-3477.308885,3600,170.672626
-3573.209607,3600,174.93949
-3985.537885,3600,179.007375
-3967.0173,3600,183.308692
-3930.970095,3600,187.701317
-3412.875507,3600,191.916696
-3412.428073,3600,196.108472
-3261.276782,3600,200.444343
-3054.653989,3600,204.650028
-3209.991395,3600,208.830434
-2979.17065,3600,213.004461
-2906.808505,3600,217.265008
-3118.713658,3600,221.518701
-2831.594049,3600,225.749949
-2776.072424,3600,229.969563
-2761.949855,3600,234.204721
-2898.743356,3600,238.421167
-2915.321235,3600,242.742573
-2676.312703,3600,246.702187
-2676.695714,3600,250.750649
-2663.810887,3600,255.003509
-2675.303317,3600,259.064056
-2710.516049,3600,263.069065
-3101.809782,3600,267.144357
-3096.901741,3600,271.260218
-3019.777095,3600,275.48445
-3047.806397,3600,279.840054
-3152.337141,3600,284.105921
-3084.298495,3600,288.235605
-3709.483325,3600,292.539391
-3619.805019,3600,296.732027
-3133.042396,3600,300.909934
-3121.135535,3600,305.207775
-3772.398894,3600,309.426475
-3471.454856,3600,313.69322
-3363.737143,3600,317.823727
-3428.527502,3600,322.119473
-3634.360322,3600,326.291284
-3735.935578,3600,330.700578
-3737.088332,3600,334.954737
-3477.397859,3600,339.196431
-3451.374746,3600,343.493268
-3080.889209,3600,347.73287
-3021.742795,3600,351.918562
-3443.225094,3600,356.14533
-3006.615036,3600,360.414452
-3106.97369,3600,364.597594
-3167.365167,3600,368.819731
-3198.224142,3600,373.233665
-3237.374048,3600,377.495657
-3327.72168,3600,381.922694
-3586.207709,3600,386.104916
-3751.438733,3600,390.377103
-3318.695665,3600,394.479003
-3512.026341,3600,398.76428
-3519.33364,3600,402.84793
-3586.293314,3600,407.274083
-3467.611494,3600,411.69308
-3681.825443,3600,416.073435
-3774.048637,3600,420.29454
-3912.538186,3600,425.166011
-3753.828144,3600,430.1901
-3704.327968,3600,435.180634
-3215.14732,3600,439.358323
-3285.154822,3600,443.744862
-3323.6176,3600,449.252901
-3218.349283,3600,453.494228
-3383.116299,3600,459.313859
-3136.715194,3600,463.810549
-3078.578712,3600,467.918515
-2961.474335,3600,473.326147
-2882.567707,3600,477.530135
