Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 42.888157
Total NOx (mg): 4399.079
Overall NOx (mg/km): 102.571
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.332975,-6.397,-0.685,True
medium,433,15.278410,4048.744,264.998,False
high,455,14.198242,373.786,26.326,True
extra_high,323,4.078531,-17.054,-4.181,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.62, True
2, -1.49, True
3, -1.12, True
4, -0.77, True
5, -0.42, True
6, -0.33, True
7, -0.26, True
8, -0.20, True
9, -0.16, True
10, -0.12, True
11, 866.68, False
12, 2217.18, False
13, 627.03, False
14, 38.97, True
15, 33.99, True
16, 25.21, True
17, 21.54, True
18, 22.52, True
19, 25.32, True
20, 47.74, True
21, 32.46, True
22, 22.32, True
23, 24.53, True
24, 29.81, True
25, 34.27, True
26, 37.02, True
27, 37.52, True
28, 35.97, True
29, 32.94, True
30, 29.04, True
31, 24.76, True
32, 16.15, True
33, 26.37, True
34, 33.31, True
35, 23.70, True
36, 19.30, True
37, 16.37, True
38, 14.30, True
39, 12.72, True
40, 3.98, True
41, -4.34, True
42, -15.91, True
Partial (0.55 km), -13.08, True
