Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 43.259400
Total NOx (mg): 11516.292
Overall NOx (mg/km): 266.215
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.301425,-6.397,-0.621,True
medium,433,14.954970,8649.920,578.398,False
high,455,14.054636,2970.986,211.388,False
extra_high,323,3.948370,-98.217,-24.875,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.36, True
2, -1.31, True
3, -1.07, True
4, -0.82, True
5, -0.55, True
6, -0.37, True
7, -0.30, True
8, -0.24, True
9, -0.19, True
10, -0.15, True
11, 1013.71, False
12, 1107.27, False
13, 358.01, False
14, 126.59, False
15, 118.01, False
16, 359.07, False
17, 408.36, False
18, 293.80, False
19, 213.13, False
20, 157.10, False
21, 1284.67, False
22, 771.96, False
23, 842.02, False
24, 821.76, False
25, 732.85, False
26, 632.57, False
27, 532.02, False
28, 459.24, False
29, 398.38, False
30, 347.15, False
31, 304.47, False
32, 269.63, False
33, 125.55, False
34, -0.41, True
35, -9.39, True
36, -10.95, True
37, -11.50, True
38, -11.76, True
39, -12.02, True
40, -17.73, True
41, -26.51, True
42, -27.46, True
Partial (0.98 km), -27.61, True
