Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 42.482975
Total NOx (mg): 140770.131
Overall NOx (mg/km): 3313.566
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.006679,55267.119,5523.023,False
medium,433,14.794868,48542.946,3281.067,False
high,455,14.090290,8745.367,620.666,False
extra_high,323,3.591138,28214.700,7856.759,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 8010.96, False
2, 11070.16, False
3, 11470.14, False
4, 11693.41, False
5, 8161.40, False
6, 3151.74, False
7, 20.01, True
8, 0.78, True
9, -1.53, True
10, 1995.39, False
11, 5864.03, False
12, 5427.43, False
13, 5286.44, False
14, 5059.08, False
15, 4807.37, False
16, 4559.65, False
17, 4260.35, False
18, 3282.46, False
19, 1757.10, False
20, 2244.58, False
21, 1319.00, False
22, 1180.60, False
23, 1196.80, False
24, 1202.22, False
25, 1197.12, False
26, 1188.01, False
27, 1178.19, False
28, 1169.41, False
29, 1162.41, False
30, 1157.27, False
31, 1153.72, False
32, 1151.40, False
33, 293.44, False
34, -14.41, True
35, -21.82, True
36, -22.24, True
37, -21.89, True
38, -21.12, True
39, -20.57, True
40, 10246.48, False
41, 16169.45, False
42, 1811.03, False
Partial (0.24 km), -21.90, True
