#{"t_start": 1775210997.274035, "env_id": "None"}
r,l,t
-913.621966,3599,21.154238
-884.761837,3599,41.72156
-795.566745,3599,63.054622
-650.047561,3599,84.261293
-551.254147,3599,104.057553
-496.572598,3599,124.992782
-411.307789,3599,145.856324
-356.178699,3599,166.752173
-312.208874,3599,186.590703
-268.627654,3599,207.415148
180.260321,3599,228.663583
-176.67521,3599,249.440644
-266.571836,3599,270.796679
-143.327323,3599,291.669858
338.326333,3599,311.954579
333.074812,3599,331.915541
233.257802,3599,350.778594
-123.137864,3599,370.204574
-91.93753,3599,389.616943
-121.189319,3599,408.996566
-112.227068,3599,427.853548
-96.558997,3599,447.409163
103.984255,3599,466.697662
442.162951,3599,486.052979
-55.617672,3599,504.895197
423.86268,3599,524.274004
-21.165432,3599,544.81979
574.490163,3599,565.205951
669.890002,3599,585.133118
1154.841832,3599,604.616107
744.116086,3599,625.413508
1804.204387,3599,645.91267
2018.772796,3599,669.011565
844.684774,3599,693.143185
2483.402318,3599,715.712163
2542.564964,3599,741.910025
2797.554623,3599,768.242444
2401.272572,3599,793.261477
2823.724367,3599,818.369813
3030.546888,3599,842.782188
2907.000916,3599,866.560012
3007.279761,3599,887.650928
2446.176663,3599,908.915969
2682.599132,3599,930.005833
2765.379863,3599,951.651434
2744.040088,3599,973.875324
1795.740848,3599,998.321326
2938.763934,3599,1024.481106
2897.301136,3599,1051.004119
2649.960248,3599,1074.641596
3106.280401,3599,1100.554159
2834.301751,3599,1127.077831
2953.947401,3599,1152.789649
3049.840225,3599,1176.859109
3003.440156,3599,1202.330048
2815.632665,3599,1229.117718
2980.73388,3599,1254.972119
3067.81618,3599,1277.433306
3036.026213,3599,1297.12717
3110.179878,3599,1316.538543
3177.148619,3599,1335.954971
3242.505439,3599,1354.73887
3199.680818,3599,1374.294825
2924.367989,3599,1393.510161
3036.667952,3599,1413.006945
2995.446939,3599,1431.676557
3232.184282,3599,1453.478629
3076.208509,3599,1473.319518
3148.968105,3599,1492.978482
3287.781162,3599,1512.402976
3083.171074,3599,1531.22631
3094.48138,3599,1550.836453
3110.559291,3599,1570.164645
3318.24423,3599,1589.721943
3244.668111,3599,1608.577237
3139.125124,3599,1628.233409
3040.105145,3599,1647.765555
3032.052706,3599,1667.327571
3010.297619,3599,1686.186639
3045.854562,3599,1706.068077
3092.245104,3599,1725.428306
3056.239381,3599,1745.124647
3046.256188,3599,1764.089464
3004.707217,3599,1783.475606
2970.112961,3599,1803.102819
3119.110631,3599,1822.686824
3162.078941,3599,1841.130704
2811.758996,3599,1860.308441
2969.769208,3599,1879.816947
3002.029818,3599,1899.301827
3111.728015,3599,1918.192809
2925.568046,3599,1937.634439
2880.852048,3599,1956.87291
2421.154933,3599,1976.366854
2867.739031,3599,1994.869425
2891.433609,3599,2014.1649
3147.36844,3599,2033.485075
2972.992888,3599,2052.789854
2992.90681,3599,2071.627833
3196.507661,3599,2091.07482
3213.226889,3599,2110.510689
3300.608276,3599,2129.949928
3205.795548,3599,2149.295707
3067.291451,3599,2167.991982
3195.931439,3599,2187.454012
3240.851856,3599,2206.598646
3144.3508,3599,2225.997245
3208.653172,3599,2245.001769
3131.018766,3599,2264.256325
3139.272515,3599,2283.634779
3183.174872,3599,2303.329742
