Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.916879
Total NOx (mg): 169702.732
Overall NOx (mg/km): 4048.554
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.256085,-6.397,-0.624,True
medium,433,14.142223,80252.282,5674.658,False
high,455,13.612383,17796.740,1307.393,False
extra_high,323,3.906188,71660.107,18345.279,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.38, True
2, -1.33, True
3, -1.07, True
4, -0.81, True
5, -0.54, True
6, -0.37, True
7, -0.30, True
8, -0.24, True
9, -0.19, True
10, -0.15, True
11, 1821.34, False
12, 1604.33, False
13, 2080.54, False
14, 6368.72, False
15, 7637.64, False
16, 8094.59, False
17, 8092.42, False
18, 8127.75, False
19, 8133.44, False
20, 7470.42, False
21, 5948.16, False
22, 5690.65, False
23, 4752.78, False
24, 3719.76, False
25, 3151.30, False
26, 2596.05, False
27, 2049.01, False
28, 1697.22, False
29, 1530.16, False
30, 1459.35, False
31, 1437.60, False
32, 1675.91, False
33, 688.93, False
34, 718.23, False
35, 549.07, False
36, 407.39, False
37, 337.72, False
38, 310.51, False
39, 13045.00, False
40, 22476.13, False
41, 23153.70, False
Partial (0.56 km), 22960.71, False
