Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 37.488605
Total NOx (mg): -8.540
Overall NOx (mg/km): -0.228
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.655822,-6.397,-0.662,True
medium,433,12.754269,-0.506,-0.040,True
high,455,11.578258,-0.642,-0.055,True
extra_high,323,3.500255,-0.995,-0.284,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.49, True
2, -1.41, True
3, -1.10, True
4, -0.82, True
5, -0.47, True
6, -0.36, True
7, -0.28, True
8, -0.22, True
9, -0.17, True
10, -0.13, True
11, -0.08, True
12, -0.06, True
13, -0.05, True
14, -0.04, True
15, -0.04, True
16, -0.03, True
17, -0.03, True
18, -0.03, True
19, -0.02, True
20, -0.02, True
21, -0.02, True
22, -0.02, True
23, -0.03, True
24, -0.03, True
25, -0.03, True
26, -0.03, True
27, -0.04, True
28, -0.05, True
29, -0.06, True
30, -0.07, True
31, -0.07, True
32, -0.08, True
33, -0.09, True
34, -0.10, True
35, -0.21, True
36, -0.30, True
37, -0.35, True
Partial (0.29 km), -0.39, True
