Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.175296
Total NOx (mg): 4762.100
Overall NOx (mg/km): 115.654
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.918321,3513.645,354.258,False
medium,433,14.285994,451.629,31.613,True
high,455,13.331479,1076.533,80.751,False
extra_high,323,3.639502,-279.706,-76.853,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1399.85, False
2, 464.38, False
3, 502.40, False
4, 473.02, False
5, 342.20, False
6, 107.93, False
7, 106.62, False
8, 58.86, True
9, 34.82, True
10, 26.47, True
11, 260.43, False
12, -15.76, True
13, 7.71, True
14, 18.60, True
15, 18.18, True
16, 15.78, True
17, 14.04, True
18, 13.07, True
19, 12.55, True
20, 244.98, False
21, -43.58, True
22, -51.74, True
23, -30.82, True
24, -14.31, True
25, -1.65, True
26, 11.20, True
27, 24.70, True
28, 37.69, True
29, 49.13, True
30, 58.56, True
31, 65.99, True
32, -7.13, True
33, 404.32, False
34, 148.21, False
35, 138.52, False
36, 87.52, False
37, 48.41, True
38, 13.26, True
39, -96.58, True
40, -97.79, True
Partial (0.92 km), -95.61, True
