#{"t_start": 1774026224.5040224, "env_id": "EmissionControlEnv"}
r,l,t
-5882.307142692889,3600,19.970465660095215
-4456.737788465433,3600,34.777729511260986
-5629.113411718666,3600,94.51003956794739
-4625.009009002243,3600,309.3626835346222
-4137.909464831558,3600,528.7540621757507
-6550.466406557776,3600,746.4481635093689
-543.7350223766025,3600,964.4267141819
-3110.8571068435494,3600,1182.9947438240051
-3008.2025258390886,3600,1398.878172159195
-3728.8902954596488,3600,1616.2269477844238
-4211.558271537782,3600,1835.516833305359
-4503.360824506286,3600,2052.1324660778046
-2442.6633071707474,3600,2268.64271402359
-2746.9344680707904,3600,2486.423314332962
-3480.2856395184713,3600,2700.9067628383636
-3970.6268573670905,3600,2917.384951353073
-4011.58516064511,3600,3137.998195171356
-4652.637636449652,3600,3355.2003269195557
-4001.2914436566543,3600,3575.846125125885
-3340.7973186004356,3600,3789.4581441879272
-810.3210360030492,3600,4006.7620956897736
-4180.075865946756,3600,4223.882228374481
-3981.423887080734,3600,4438.030148744583
-375.93680037027997,3600,4658.598438262939
-5480.896695187258,3600,4881.458159446716
-1182.50383446007,3600,5101.058967113495
-4114.63250681586,3600,5318.665866136551
-4220.607292573872,3600,5537.982128381729
-4128.7021673714125,3600,5752.86477804184
-2897.7680146868006,3600,5968.874593496323
-3091.821789167823,3600,6185.338123321533
-239.47903176892495,3600,6404.2301552295685
-2559.8493879509147,3600,6622.186212301254
-2999.0233329052903,3600,6839.638144016266
-3581.8812937935804,3600,7056.115005493164
-2900.4913853629623,3600,7273.218106269836
-4723.96346528353,3600,7494.994692564011
-5081.648488836449,3600,7712.318090677261
-3073.7855340238257,3600,7929.21134352684
-3931.7632043587837,3600,8147.470640659332
-4019.925229506472,3600,8368.61472249031
-208.8963825788538,3600,8586.789574861526
-2833.6979831433423,3600,8806.50331068039
-3135.667968929487,3600,9024.5821018219
-2332.208712520645,3600,9244.704895496368
-3468.5878984379597,3600,9460.8021402359
-1600.0021145361604,3600,9678.382815361023
-3242.2051143789695,3600,9899.09190917015
-3110.181679834706,3600,10116.768273115158
-3971.930081765435,3600,10337.394108772278
-2749.0311564143444,3600,10557.962879180908
-3901.900945105344,3600,10776.779368400574
-2704.9181272918217,3600,10993.914501905441
-4177.312936681739,3600,11213.326126813889
-3563.2295810833766,3600,11432.074107408524
-1828.5658191116056,3600,11646.951199769974
-3789.1008553935008,3600,11866.043449401855
-471.93105306144486,3600,12084.308051347733
-3879.666240639704,3600,12299.034529447556
-4446.57947875177,3600,12518.700040340424
-3842.7076949950697,3600,12735.350845813751
-4009.3231195695357,3600,12952.278814792633
-4436.849059948477,3600,13169.00662446022
-2811.245796855267,3600,13388.791195631027
-3743.496670856272,3600,13604.662385225296
-4112.2320976734545,3600,13821.378901481628
-4035.105296402728,3600,14040.122153997421
