#{"t_start": 1772275616.621247, "env_id": "None"}
r,l,t
-3453.515651,3600,5.108795
-3397.879734,3600,9.07865
-3375.076739,3600,12.838614
-3320.316449,3600,16.808116
-3293.049099,3600,20.519866
-3231.105657,3600,24.342609
-3166.847399,3600,28.185035
-3120.585694,3600,31.973151
-3097.335887,3600,35.877016
-3023.710797,3600,39.688538
-2997.241928,3600,43.524311
-2996.617348,3600,47.456894
-2957.114984,3600,51.197934
-2927.668217,3600,55.033778
-2905.240631,3600,58.841948
-2882.37947,3600,62.658236
-2899.255414,3600,66.418761
-2897.482202,3600,70.229348
-2895.223206,3600,74.071293
-2864.396848,3600,78.17214
-2819.351322,3600,81.857296
-2790.909332,3600,85.830918
-2767.936368,3600,89.593702
-2758.030466,3600,93.529563
-2695.296464,3600,97.254672
-2654.992038,3600,101.100099
-2635.249847,3600,104.94055
-2619.026442,3600,108.936083
-2631.486593,3600,112.737101
-2622.472777,3600,116.588434
-2610.496165,3600,120.392305
-2627.381078,3600,124.24788
-2595.478739,3600,128.115657
-2582.685634,3600,132.01149
-2591.148331,3600,136.027882
-2548.307758,3600,139.963308
-2491.285058,3600,143.910881
-2468.726911,3600,147.73075
-2432.440082,3600,151.692392
-2421.305397,3600,155.704415
-2330.97568,3600,159.834522
-2293.358871,3600,163.715378
-2328.731564,3600,167.72638
-2565.332116,3600,171.638528
-2610.984099,3600,175.489878
-2841.652078,3600,179.290872
-2434.486779,3600,183.193176
-2653.591522,3600,187.059157
-2708.732134,3600,190.963257
-2289.170903,3600,194.731401
-2268.7295,3600,198.857394
-1971.849462,3600,202.855115
-1873.921549,3600,206.812976
-1590.76491,3600,210.669878
-1813.81463,3600,214.600062
-1827.146928,3600,218.722469
-1690.449204,3600,222.700935
-1604.773093,3600,226.672817
-1485.528922,3600,230.609598
-1394.49879,3600,234.534874
-1425.257346,3600,238.488688
-1441.293097,3600,242.408919
-1258.550823,3600,246.349763
-1247.569019,3600,250.312706
-1276.273777,3600,254.273724
-1386.27087,3600,258.356055
-1357.785637,3600,262.235191
-1239.426266,3600,266.180404
-1161.881218,3600,270.165227
-1092.675681,3600,274.127522
-1189.60878,3600,278.049555
-1106.028509,3600,282.09999
-1170.838521,3600,286.18291
-1295.437775,3600,290.204857
-1268.528814,3600,294.123394
-1280.223248,3600,298.107737
-1247.878296,3600,302.090022
-1187.11737,3600,306.058917
-1169.298696,3600,309.955649
-1276.663902,3600,313.928073
-1359.396174,3600,318.023878
-1265.223394,3600,322.026141
-1211.322667,3600,325.915402
-1124.132074,3600,329.893059
-1120.658134,3600,333.833241
-1048.801793,3600,337.818523
-1006.945469,3600,341.7649
-955.818912,3600,345.7481
-927.386989,3600,349.9156
-876.628367,3600,353.855712
-849.406436,3600,357.748453
-905.856195,3600,361.756742
-782.380193,3600,365.7271
-774.833573,3600,369.732985
-740.417737,3600,373.578924
-732.605702,3600,377.697029
-702.77043,3600,381.732509
-722.838914,3600,385.722385
-697.490351,3600,389.7676
-661.805286,3600,393.635519
-644.538608,3600,397.659089
-674.639436,3600,401.668983
-654.688385,3600,405.631211
-676.045983,3600,409.670451
-637.556453,3600,413.793793
-661.425295,3600,417.824656
-691.048607,3600,421.865304
-645.478924,3600,425.777162
-622.373468,3600,429.772224
-634.899693,3600,433.755531
-611.951665,3600,437.908381
