Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1476.67, False
2, -42.56, True
3, -51.73, True
4, -57.52, True
5, -40.65, True
6, -48.35, True
7, -37.05, True
8, 1621.78, False
9, 278.97, False
10, 365.30, False
11, 620.06, False
12, 1974.22, False
13, 527.32, False
14, 614.96, False
15, 347.00, False
16, 39.23, True
17, 28.69, True
18, 22.68, True
19, 27.20, True
20, 286.38, False
21, 895.26, False
22, 1408.60, False
23, 57.14, True
24, 21.92, True
25, 5.35, True
26, 5.24, True
27, 25.10, True
28, 22.01, True
29, 11.64, True
30, 66.17, True
