#{"t_start": 1774285231.032594, "env_id": "None"}
r,l,t
-2977.831106,3600,5.596351
-2919.689003,3600,9.997178
-3542.296507,3600,20.754797
-2343.450442,2144,41.745391
-1833.797754,3600,76.277064
-2632.436015,3600,112.250035
-169.446655,3600,146.702424
-3247.77303,3600,179.610074
-533.437147,3600,211.570188
-2199.208619,3600,244.484172
-336.892294,3600,278.813674
-3082.989434,3600,314.11878
-694.449185,3600,350.275206
-265.565467,909,359.040449
-1496.661182,3600,394.691946
-1665.995382,3600,434.119112
-1171.488555,3600,472.64632
-2308.506075,3600,510.898826
-251.126188,859,519.828425
-152.117823,163,521.545065
-551.224059,3600,557.042157
-4680.263377,3600,592.541283
-1078.241743,3600,627.844157
-695.611828,3600,664.098495
-1741.33382,2203,685.858733
-1306.180673,3600,718.630861
-113.020757,156,720.095749
-3352.570792,3600,754.954581
-100.33583,2,755.009237
-148.425833,262,757.925554
-957.409286,3600,796.769519
-429.688605,3600,835.710553
-1708.507145,3600,874.871751
-100.170444,1,874.904546
-2795.607407,3600,911.982889
-1150.880819,1278,924.910999
-1408.661687,3600,958.350756
-313.247159,1104,968.168471
-1080.454276,3600,1000.550958
-1721.71369,3600,1033.283075
-1050.979198,2255,1053.930225
-943.490082,1308,1065.847731
-970.889598,3600,1099.654671
-1162.874068,3600,1133.216091
-1829.125323,3600,1163.699585
-212.267461,3600,1194.933614
-1297.703095,3600,1225.401839
-2177.248688,3600,1256.325968
-727.85487,1314,1267.480356
-1918.30368,3600,1298.474711
-1955.778417,3600,1331.166449
-862.612534,2759,1356.210275
-622.945768,1889,1373.25536
-459.693013,3600,1405.460365
-1522.245753,2975,1431.819251
-608.444555,3600,1464.145365
-261.361877,3600,1497.395003
-244.297604,3600,1530.49807
-2398.267873,3600,1563.048726
-835.290297,3600,1594.743613
-208.397702,1857,1611.033253
-336.577375,3600,1642.764759
-691.225637,3600,1674.88756
-100.772175,1,1674.911008
-228.683507,3600,1706.610615
-1284.647752,3600,1738.036956
-1217.879625,3600,1767.962711
-1051.948222,3600,1797.805353
-1732.719029,3600,1829.17411
-1737.405814,2298,1848.684793
-207.167338,3600,1879.44964
-667.201781,3600,1910.268771
-384.319495,3600,1941.412565
-999.306041,3600,1973.559937
-584.079421,3600,2005.851212
-118.746716,144,2007.155213
-2006.46013,3600,2039.531727
-969.198929,3600,2072.273699
-100.12108,1,2072.300361
-115.372748,129,2073.565245
-1739.382029,3600,2106.003809
-1109.087354,3600,2138.863224
-1131.863853,3600,2171.406786
-624.68418,3600,2200.517256
-1343.625214,3600,2229.415689
-278.757884,3600,2258.100796
-944.390692,3600,2286.992336
-2083.049429,3600,2316.960406
-278.198757,3600,2346.910955
-562.94862,3600,2376.825739
-1432.709221,3600,2407.004485
-1707.195753,3600,2437.337424
-314.760498,935,2445.229672
-2319.421565,3600,2475.854487
-2382.356838,3600,2506.456461
-713.634012,2337,2526.230749
-2890.292668,3600,2556.81898
-875.812968,3600,2587.178239
-264.242088,3600,2617.462876
-100.044693,1,2617.491434
-877.625456,3600,2647.922817
-384.655125,1608,2661.562263
-403.287327,3600,2691.777154
-2753.532112,4799,2731.230578
-1281.791885,3600,2760.344193
-332.043055,3600,2789.079663
-133.500685,105,2789.956387
-1672.576393,3600,2819.786025
-3087.116319,3600,2849.989432
-2478.514721,3600,2880.275108
-2320.519871,3600,2910.60252
-1141.683578,3600,2940.393124
-1727.40264,3600,2969.54936
-1243.062077,3600,2994.75594
-1781.641441,3600,3020.136194
-2339.281679,3600,3045.695439
-1818.156592,3600,3071.411479
-433.614542,3600,3097.514743
-2082.704602,3600,3123.653815
-931.486755,3600,3149.946245
-551.5492,2286,3165.452771
-1171.050621,3600,3190.070837
-1662.389266,3600,3215.205702
-2001.714955,3600,3241.959056
-508.417761,3600,3268.816176
-1236.157868,3600,3295.717762
-1181.114612,3600,3323.674938
-147.119071,3600,3351.340357
-266.667098,3600,3379.147257
-945.667026,3600,3406.949934
