Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 18.956375
Total NOx (mg): -32.781
Overall NOx (mg/km): -1.729
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,0.001040,7.687,7389.321,False
medium,433,7.944264,-17.031,-2.144,True
high,455,9.079673,-14.109,-1.554,True
extra_high,323,1.931398,-9.328,-4.830,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 3.82, True
2, -2.27, True
3, -2.17, True
4, -2.09, True
5, -2.01, True
6, -1.71, True
7, -1.55, True
8, -1.51, True
9, -1.48, True
10, -1.45, True
11, -1.42, True
12, -1.41, True
13, -1.75, True
14, -1.70, True
15, -1.66, True
16, -1.61, True
17, -1.57, True
18, -4.42, True
Partial (0.86 km), -5.56, True
