Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 37.347324
Total NOx (mg): 19.434
Overall NOx (mg/km): 0.520
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.034800,-6.397,-0.637,True
medium,433,12.462092,-0.506,-0.041,True
high,455,11.413671,-0.642,-0.056,True
extra_high,323,3.436760,26.978,7.850,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.53, True
2, -1.34, True
3, -1.06, True
4, -0.80, True
5, -0.49, True
6, -0.35, True
7, -0.28, True
8, -0.23, True
9, -0.18, True
10, -0.14, True
11, -0.10, True
12, -0.07, True
13, -0.05, True
14, -0.04, True
15, -0.04, True
16, -0.03, True
17, -0.03, True
18, -0.03, True
19, -0.03, True
20, -0.02, True
21, -0.03, True
22, -0.03, True
23, -0.03, True
24, -0.03, True
25, -0.03, True
26, -0.04, True
27, -0.04, True
28, -0.05, True
29, -0.06, True
30, -0.07, True
31, -0.07, True
32, -0.08, True
33, -0.09, True
34, -0.10, True
35, 33.91, True
36, -3.24, True
37, -3.21, True
Partial (0.14 km), -3.16, True
