#{"t_start": 1775131941.674603, "env_id": "None"}
r,l,t
-996.467662,3599,30.779855
-540.212667,3599,65.209428
-453.248956,3599,99.898048
-242.34871,3599,135.014608
-5125.838535,2933,163.603536
-5067.51305,1116,174.369231
-628.896581,3599,209.175828
-37.932912,3599,243.883627
-284.690436,3599,278.773603
-556.278558,3599,313.720676
187.718899,3599,351.643976
-242.591754,3599,389.024533
-303.416326,3599,426.913262
16.250837,3599,464.570915
-5196.109479,1285,478.025298
-170.470484,3599,515.612506
-130.620238,3599,553.340425
-204.942479,3599,591.04004
-237.55363,3599,628.561699
701.403466,3599,665.050588
-495.207118,3599,701.414851
-4210.946775,1097,712.638364
20.672169,3599,749.443001
-322.887751,3599,786.470547
-5016.304302,48,786.974289
184.390772,3599,823.850466
476.814631,3599,860.379918
-217.832056,3599,896.802317
-698.586575,3599,933.15223
-5071.011475,2647,959.92513
-5000.786164,2,959.962061
-136.08921,3599,996.711548
-451.27177,3599,1033.835243
-204.351343,3599,1071.435636
-272.445226,3599,1108.769805
327.446492,3599,1146.023265
-137.587553,3599,1183.266159
-4925.765007,3289,1217.208529
201.140817,3599,1254.388198
-208.167281,3599,1291.749113
-116.91754,3599,1329.268436
967.514867,3599,1366.591036
-68.583327,3599,1403.946391
186.877133,3599,1441.441338
426.999313,3599,1478.580272
-63.907098,3599,1515.139461
-86.609456,3599,1551.151435
-369.889986,3599,1587.643199
-389.315319,3599,1624.43444
281.291034,3599,1660.958488
-512.878636,3599,1698.97503
-5000.5,1,1699.000358
-255.277795,3599,1737.420944
281.223307,3599,1775.911509
773.958925,3599,1814.720219
396.530938,3599,1852.489799
-149.664715,3599,1889.119368
1099.922642,3599,1925.340419
280.90572,3599,1961.701008
251.336396,3599,1998.255766
-235.275498,3599,2035.13999
-287.196182,3599,2072.577437
368.81852,3599,2108.692706
921.244542,3599,2145.39885
208.574095,3599,2181.644113
968.68984,3599,2216.999225
-234.547666,3599,2253.244924
311.006097,3599,2290.0802
-69.171669,3599,2326.414275
-191.236649,3599,2362.316098
-126.590759,3599,2397.745504
-168.281888,3599,2433.175913
-424.57599,3599,2468.368029
-300.063464,3599,2503.938874
145.676846,3599,2539.780991
-5000.757798,3,2539.824978
126.933619,3599,2576.283662
-87.246683,3599,2612.113087
-3674.82109,3455,2646.199655
530.096729,3599,2681.808851
732.180854,3599,2717.679807
165.821161,3599,2752.854289
-190.258472,3599,2787.604963
-36.045012,3599,2822.643289
-209.522446,3599,2857.574745
-5000.000977,2,2857.610065
418.975166,3599,2892.862413
-219.962728,3599,2928.081281
-254.130809,3599,2963.703478
641.705722,3599,2999.013327
-10.76233,3599,3034.200576
628.710656,3599,3069.485133
298.505605,3599,3104.739227
-219.670118,3599,3139.899342
898.944676,3599,3175.064656
833.091596,3599,3210.667482
459.513465,3599,3245.961935
800.979135,3599,3281.326359
-117.039142,3599,3316.258692
313.589385,3599,3351.194812
-287.100772,3599,3386.03026
939.882761,3599,3420.787362
683.750264,3599,3455.602201
-225.183442,3599,3490.036885
-5000.533691,1,3490.062563
782.954598,3599,3524.444848
-339.165846,3599,3559.029798
328.341497,3599,3593.345223
-162.073184,3599,3627.7849
1261.388111,3599,3662.829224
-5022.95901,371,3666.545706
1057.214333,3599,3701.545343
1205.08532,3599,3736.84203
724.760765,3599,3771.041493
199.225493,3599,3805.156382
2862.903061,3599,3839.340689
981.102817,3599,3874.098118
329.597475,3599,3908.106952
982.664734,3599,3943.053681
1056.72547,3599,3977.41232
2582.868935,3599,4012.133394
445.676313,3599,4047.193263
-347.668572,3599,4082.260374
322.454106,3599,4117.469273
964.1271,3599,4152.505988
1425.915938,3599,4187.528814
1140.186033,3599,4221.578338
418.528409,3599,4255.923783
-271.148201,3599,4290.431322
424.345879,3599,4324.493593
-3709.259605,1868,4342.248515
2066.023123,3599,4376.632766
1876.92587,3599,4411.17434
978.993645,3599,4446.340793
2105.172465,3599,4481.275598
1319.492202,3599,4516.458106
431.771946,3599,4551.361933
1899.510837,3599,4585.930725
438.613699,3599,4620.7083
951.121301,3599,4655.407247
1464.092848,3599,4690.584022
233.222273,3599,4725.514767
247.275235,3599,4760.476537
902.191727,3599,4795.410214
2476.580981,3599,4830.51575
2096.073544,3599,4865.352892
552.286373,3599,4900.257654
781.597467,3599,4938.442991
674.582612,3599,4974.228035
1556.377433,3599,5010.062486
395.664811,3599,5048.275665
466.657952,3599,5086.421936
353.723337,3599,5124.875555
2626.269143,3599,5162.356146
376.857434,3599,5200.304497
1888.899308,3599,5236.823864
818.682134,3599,5274.686844
2108.282748,3599,5313.345275
367.032545,3599,5353.320303
1907.339492,3599,5395.259563
987.844777,3599,5439.258509
357.003435,3599,5478.192019
1588.665365,3599,5515.123451
433.586885,3599,5553.975577
-206.169788,3599,5595.418794
1635.367713,3599,5637.831658
-3581.635055,2360,5666.239014
2084.624781,3599,5706.994964
-119.575688,3599,5751.616553
561.974028,3599,5797.243208
-260.354896,3599,5840.744273
-201.180135,3599,5884.790135
-130.467643,3599,5929.790687
1521.77106,3599,5975.559862
-400.15702,3599,6020.99337
833.782976,3599,6062.535809
1588.713556,3599,6105.971496
-109.381943,3599,6150.753338
-159.921186,3599,6197.325759
280.814957,3599,6243.198784
-224.373063,3599,6288.395948
-3691.740791,2098,6313.89143
467.4212,3599,6354.429745
-104.679128,3599,6392.130231
933.356296,3599,6431.912094
-88.27133,3599,6470.7256
-251.715024,3599,6513.045566
-5000.002441,2,6513.099923
-62.645677,3599,6554.706082
-114.235094,3599,6589.973814
-152.491995,3599,6624.502394
-287.589915,3599,6658.85323
-110.734529,3599,6694.105668
-5000.012695,1,6694.132414
-678.456384,3599,6733.530788
-308.32926,3599,6773.687321
535.844315,3599,6815.901604
-815.409305,3599,6856.323537
354.318038,3599,6895.42374
-230.65033,3599,6935.180729
-363.709013,3599,6973.712853
159.275028,3599,7011.059026
-1334.102575,3599,7046.88466
-122.727392,3599,7083.622056
-4969.995002,2923,7115.263416
527.696927,3599,7153.267535
-289.186279,3599,7189.892757
291.533412,3599,7225.997295
-3691.32489,3379,7258.930083
445.476628,3599,7294.487173
-5013.508247,1441,7308.9501
-5000.5,1,7308.972318
1090.8028,3599,7344.528984
178.67501,3599,7379.564503
344.564624,3599,7415.023299
1080.202835,3599,7451.450664
-83.615219,3599,7488.040189
1044.776654,3599,7525.972539
-3803.806157,2652,7555.562375
