speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc
2.5107036,50.0,0.70042914,-2.091657,-2.7066024e-05,0.0,False,0.0,408.47742,0.49760938
2.4596517,50.0,0.69987005,-5.4526563,5.55813e-05,0.0,False,0.0,-278.2564,0.9278804
2.815571,50.0,0.6986727,0.4613319,6.876449e-06,0.0,False,0.0,-401.58777,71.810356
3.1367905,50.0,0.69875896,0.024770748,0.0007139913,3.050431966781616,True,910.5996704101562,-283.68854,0.5322367
3.0723069,50.0,0.69801134,-18.35814,0.00702921,6.263994216918945,True,2997.475341796875,-224.52711,28.54113
2.331093,50.0,0.6981467,-9.071789,0.019008245,17.37862777709961,True,3998.482177734375,-345.3971,19.485003
1.3962379,50.0,0.69848955,5.1684165,0.021673128,9.486793518066406,True,3976.1767578125,-292.94556,40.844807
0.5135952,50.0,0.6988995,67.03614,0.012906335,4.421290397644043,True,1492.052978515625,-389.6568,39.635338
-0.016287623,50.0,0.6993002,1.1541171,0.007843999,3.3536155223846436,True,938.5546875,-408.55603,4.432547
-0.20548423,50.0,0.6996446,6.794057,0.0041136956,0.0,False,0.0,-381.401,42.598938
-0.34741545,50.0,0.6999165,-0.22012717,0.0025014682,0.0,False,0.0,-381.00497,16.56287
-0.43563744,50.0,0.7000731,1.3534719,0.0010527364,0.0,False,0.0,-366.23108,19.913536
-0.49891898,50.0,0.7001637,1.6792498,0.00093889516,0.0,False,0.0,-364.07272,19.72084
-0.54954135,50.0,0.70019627,0.7637233,0.00017315059,0.0,False,0.0,-368.90555,18.600035
-0.59307903,50.0,0.70019585,0.3189016,0.00027211948,0.0,False,0.0,-376.05832,18.519152
-0.6403825,50.0,0.700172,-0.3447881,7.138314e-05,0.0,False,0.0,-379.61322,17.271692
-0.69474995,50.0,0.7001336,-0.4321848,0.00013727912,0.0,False,0.0,-383.17487,16.297935
-0.7573143,50.0,0.70008874,-0.47502953,6.3926986e-05,0.0,False,0.0,-386.43427,15.512601
-0.8292119,50.0,0.7000404,-0.35675672,4.5266625e-05,0.0,False,0.0,-389.81216,14.659527
-0.91053617,50.0,0.69999,-0.2767395,-4.1978324e-06,0.0,False,0.0,-393.04745,13.8727455
-1.0057944,50.0,0.69993407,-0.19611649,-1.8730329e-05,0.0,False,0.0,-396.01416,12.575173
-1.1194558,50.0,0.69987243,-0.15284954,-3.398245e-05,0.0,False,0.0,-399.06906,11.243934
-1.2590244,50.0,0.6998039,-0.118540704,-3.7180802e-05,0.0,False,0.0,-402.27298,9.799088
-1.4343702,50.0,0.69972587,-0.09763232,-3.9959366e-05,0.0,False,0.0,-404.41174,8.282098
-1.6603175,50.0,0.6996361,-0.08063393,-3.955957e-05,0.0,False,0.0,-406.21725,6.6595197
-1.9598739,50.0,0.69953156,-0.06818803,-3.9339684e-05,0.0,False,0.0,-408.3108,4.996771
-2.363031,50.0,0.6994109,-0.057522736,-3.8700015e-05,0.0,False,0.0,-411.19067,3.7295103
-2.906602,50.0,0.69926894,-0.048619695,-3.838018e-05,0.0,False,0.0,-412.3593,2.9660673
-3.6468976,50.0,0.69909483,-0.040781345,-3.8100326e-05,0.0,False,0.0,-409.11774,2.1063833
-4.668655,50.0,0.69887674,-0.03387919,-3.7980386e-05,0.0,False,0.0,-397.86295,0.98900795
-6.0547953,50.0,0.6986116,-0.027766382,-3.790043e-05,0.0,False,0.0,-382.6025,0.5616158
-7.8586183,50.0,0.6982939,-0.022259345,-3.786045e-05,0.0,False,0.0,-366.78378,0.49207807
-9.553042,50.0,0.69783455,-0.017284654,-3.7740512e-05,0.0,False,0.0,-122.308044,1.4467686
-11.266888,50.0,0.69757664,-0.012695457,-3.7600585e-05,0.0,False,0.0,-285.81714,2.705452
-13.002427,50.0,0.6973499,-0.008528466,-3.7340717e-05,0.0,False,0.0,-337.88455,3.5902529
-14.791036,50.0,0.69708556,-0.0046184706,-3.7080852e-05,0.0,False,0.0,-360.33704,2.382201
