Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.424929
Total NOx (mg): 7083.310
Overall NOx (mg/km): 175.221
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.697732,843.350,86.964,False
medium,433,14.109311,2971.230,210.586,False
high,455,13.186814,3213.846,243.717,False
extra_high,323,3.431072,54.885,15.997,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 840.80, False
2, -28.01, True
3, -29.37, True
4, -26.94, True
5, 219.03, False
6, -30.00, True
7, -30.07, True
8, -28.38, True
9, -26.81, True
10, 118.06, False
11, 637.27, False
12, 82.46, False
13, -0.09, True
14, -31.31, True
15, -34.87, True
16, -26.72, True
17, -17.28, True
18, -11.22, True
19, 46.20, True
20, 596.24, False
21, 294.35, False
22, 473.72, False
23, 521.39, False
24, 509.27, False
25, 488.24, False
26, 470.91, False
27, 458.96, False
28, 451.42, False
29, 446.97, False
30, 444.40, False
31, 221.86, False
32, 17.13, True
33, 4.37, True
34, 2.35, True
35, 1.81, True
36, 1.48, True
37, 1.22, True
38, 57.00, True
39, -1.25, True
40, -1.20, True
