Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 12.984904
Total NOx (mg): -8.299
Overall NOx (mg/km): -0.639
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.742970,-6.397,-0.657,True
medium,433,0.294478,0.060,0.204,True
high,455,0.014368,-0.840,-58.445,True
extra_high,323,2.933088,-1.123,-0.383,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.53, True
2, -1.38, True
3, -1.07, True
4, -0.81, True
5, -0.48, True
6, -0.36, True
7, -0.28, True
8, -0.22, True
9, -0.18, True
10, 0.63, True
11, -1.89, True
12, -0.36, True
Partial (0.94 km), -0.40, True
