Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 22.165794
Total NOx (mg): -8.540
Overall NOx (mg/km): -0.385
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.950071,-6.397,-0.643,True
medium,433,9.098369,-0.506,-0.056,True
high,455,0.007805,-0.642,-82.247,True
extra_high,323,3.109548,-0.995,-0.320,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.41, True
2, -1.36, True
3, -1.08, True
4, -0.82, True
5, -0.52, True
6, -0.37, True
7, -0.29, True
8, -0.23, True
9, -0.18, True
10, -0.14, True
11, -0.10, True
12, -0.07, True
13, -0.05, True
14, -0.04, True
15, -0.04, True
16, -0.03, True
17, -0.03, True
18, -0.03, True
19, -0.81, True
20, -0.26, True
21, -0.30, True
22, -0.34, True
