Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -3.13, True
2, -1.28, True
3, -0.91, True
4, -1.19, True
5, -0.20, True
6, -0.07, True
7, -0.04, True
8, 100.28, False
9, 593.05, False
10, 512.49, False
11, 388.58, False
12, -7.51, True
13, -19.71, True
14, -19.16, True
15, -8.84, True
16, 68.61, True
17, 173.66, False
18, 117.49, False
19, 51.09, True
20, 29.57, True
21, 66.91, True
22, 151.66, False
23, 51.77, True
24, 72.38, True
25, 87.29, False
26, 45.23, True
Partial (0.37 km), 67.17, True
