#{"t_start": 1772967959.75532, "env_id": "None"}
r,l,t
-3038.656525,3600,12.068792
-4904.447399,3600,18.590626
-5162.342902,3600,32.908189
-3997.866386,3600,47.387371
-4295.587398,3600,61.837204
-4803.898391,3600,76.415393
-1827.902096,3600,91.068876
-641.427163,3600,105.601624
-4472.300884,3600,120.190026
-3642.559632,3600,134.735557
-1498.204367,3600,149.573498
-4450.482411,3600,164.276272
-2859.999328,3600,178.831574
-4844.015427,3600,193.42259
-2847.166403,3600,208.022977
-5119.612918,3600,222.624288
-584.768936,3600,237.25931
-3421.069137,3600,251.843406
-438.324753,3600,266.562139
-3861.580152,3600,281.211399
-5332.029198,3600,296.065248
-4435.422745,3600,310.949302
-4738.251029,3600,325.613558
-1617.516189,3600,340.367519
-4469.821774,3600,355.066318
-3529.335499,3600,369.781684
-4176.686051,3600,384.479728
-5162.904225,3600,399.25162
-5105.54594,3600,413.940975
-4982.309871,3600,428.725362
-4413.897639,3600,443.579993
-3864.818721,3600,458.322872
-4117.993788,3600,473.011375
-5026.037573,3600,487.709224
-4566.08242,3600,502.370571
-3491.084059,3600,517.111351
-3512.304639,3600,531.833124
-3472.000578,3600,546.552618
-2605.197286,3600,561.577266
-4438.271489,3600,576.265541
-3801.990941,3600,591.090734
-4640.401855,3600,605.873809
-4314.65847,3600,620.591513
-4797.524411,3600,635.450475
-3982.899708,3600,650.13239
-290.175294,3600,665.013198
-4440.085992,3600,679.810695
-718.738715,3600,694.535393
-3094.967669,3600,709.273164
-4547.020722,3600,723.987377
-3394.894807,3600,738.893603
-4636.941868,3600,753.675295
-3864.907491,3600,768.396562
-3394.462145,3600,783.202718
-2207.359983,3600,798.120426
-293.140911,3600,813.038065
-2657.211402,3600,827.810852
-3693.417442,3600,842.523063
-3210.006602,3600,857.272598
-1274.648609,3600,872.005485
-2740.826448,3600,886.962292
-753.633399,3600,901.737643
-3500.841535,3600,916.481815
-2372.5769,3600,931.210518
-2349.302656,3600,945.968089
-1943.864375,3600,960.763409
-2920.833281,3600,975.559541
-2457.543187,3600,990.35074
-996.346207,3600,1005.148475
-1767.997477,3600,1019.842667
-502.76681,3600,1034.745954
-3817.307625,3600,1049.813038
-631.503921,3600,1064.558721
-3878.634772,3600,1079.379848
-2720.712287,3600,1094.108324
-547.738934,3600,1108.919995
-3160.465642,3600,1123.758715
-3291.438911,3600,1138.525978
-2327.261799,3600,1153.303842
-2152.331472,3600,1168.050742
-1592.481956,3600,1182.920909
-5216.414719,3600,1197.68017
-3313.517609,3600,1212.429771
-1823.880736,3600,1227.278455
-4901.485948,3600,1241.970854
-3100.085777,3600,1256.790136
-3381.15501,3600,1271.543397
-4888.378911,3600,1286.315413
-3124.159791,3600,1301.339151
-4844.931146,3600,1316.093221
-4370.643181,3600,1331.06921
-1365.299368,3600,1345.901314
-4362.726459,3600,1360.602139
-3145.816241,3600,1375.393754
-1401.283539,3600,1390.047407
-2925.121447,3600,1404.873873
-4600.518546,3600,1419.698493
-3427.926036,3600,1434.411444
-2072.12364,3600,1449.15806
-4388.411807,3600,1463.848709
-2544.620959,3600,1478.772556
-5053.3893,3600,1493.527618
-3437.418886,3600,1508.237687
-4045.457618,3600,1523.293494
-4777.999605,3600,1537.965812
-1103.001885,3600,1552.794556
-545.594058,3600,1567.547544
-1562.365624,3600,1582.249298
-3310.586783,3600,1597.031644
-4110.688625,3600,1611.81882
-2691.989608,3600,1626.745044
-4186.860938,3600,1641.693956
-3980.504782,3600,1656.451841
-3118.051369,3600,1671.258
-3740.09007,3600,1686.040511
-4805.102732,3600,1700.854799
-350.850764,3600,1715.631512
-3501.671839,3600,1730.291674
-660.589281,3600,1745.016974
-4330.92265,3600,1759.680497
-911.638299,3600,1774.546354
-4571.708077,3600,1789.562626
-1967.314545,3600,1804.282322
-579.561624,3600,1819.095695
-860.241877,3600,1833.810937
-3901.703785,3600,1848.601433
-2368.342574,3600,1863.369511
-4795.248604,3600,1878.176873
-873.960583,3600,1893.008716
-4635.655735,3600,1907.790154
-2301.293778,3600,1922.665092
-1311.883344,3600,1937.459559
-3858.499481,3600,1952.210037
-3957.810711,3600,1967.02798
-2723.562011,3600,1981.770658
-3982.881137,3600,1996.539369
-4542.960047,3600,2011.358565
-3851.528435,3600,2026.067894
-3592.728187,3600,2040.966389
-643.555516,3600,2055.879416
-2442.169909,3600,2070.779673
-2665.13659,3600,2085.572811
-3946.009965,3600,2100.281319
-4554.288584,3600,2115.106133
-4236.223793,3600,2129.890028
-3119.933386,3600,2144.725991
-545.497093,3600,2159.503118
-1390.005949,3600,2174.212041
-4653.431233,3600,2189.052751
-4251.881556,3600,2203.833536
-4179.136356,3600,2218.74731
-2878.985631,3600,2233.523489
-3483.507994,3600,2248.279716
-2312.584464,3600,2263.049313
-615.722061,3600,2277.746981
-3685.574146,3600,2292.506051
-4382.430679,3600,2307.72483
-3551.544072,3600,2322.520696
-4684.512073,3600,2337.339304
-1732.684556,3600,2352.089419
-2891.535804,3600,2367.108122
-5639.498983,3600,2381.975797
-5685.969531,3600,2396.71068
-2599.972528,3600,2411.514853
-5013.352603,3600,2426.254904
-5851.501135,3600,2441.067479
-2165.027384,3600,2455.950703
-5564.237945,3600,2470.773473
-2911.404003,3600,2485.487804
-3426.892209,3600,2500.211654
-4018.764901,3600,2515.155713
-1277.764282,3600,2529.997678
-3777.024577,3600,2545.010799
-463.518563,3600,2559.848712
-3913.605904,3600,2574.596651
-237.55347,3600,2589.471121
-272.921542,3600,2604.334178
-3286.039201,3600,2619.056423
-4373.072061,3600,2633.927743
-4060.998031,3600,2648.756788
-958.403179,3600,2663.690908
-3688.424158,3600,2678.467474
-4198.946696,3600,2693.103739
-3144.607797,3600,2707.898364
-4714.99088,3600,2722.625083
-3468.747208,3600,2737.42786
-2844.72976,3600,2752.240084
-848.193023,3600,2766.961241
-4017.271217,3600,2781.767672
-764.113239,3600,2796.650796
-1132.004058,3600,2811.531516
-3678.406508,3600,2826.366876
-4589.34772,3600,2841.139525
-3209.676337,3600,2855.897294
-4543.248938,3600,2870.633979
-3736.897218,3600,2885.507963
-3857.445486,3600,2900.342046
-3313.819474,3600,2915.170642
-4040.283171,3600,2930.027575
-721.302992,3600,2944.797054
-3370.109118,3600,2959.813333
-2871.704342,3600,2974.604612
-2550.156779,3600,2989.358089
-1081.86644,3600,3004.21615
-1588.902916,3600,3018.938879
-3469.40278,3600,3033.949196
-404.193028,3600,3048.848327
-1919.004032,3600,3063.599983
-1414.206741,3600,3078.383212
-2913.685772,3600,3093.116874
-2260.529688,3600,3108.091433
-2994.928806,3600,3122.929345
-2954.304071,3600,3137.668031
-4557.243113,3600,3152.442836
-3376.277344,3600,3167.203868
-3673.775339,3600,3182.006135
-3882.071399,3600,3196.802077
-979.881811,3600,3211.627528
-2712.291949,3600,3226.484604
-797.650084,3600,3241.195998
-2303.841301,3600,3256.15013
-4605.308884,3600,3271.153231
-3711.60609,3600,3285.957697
-3751.174859,3600,3300.7883
-4362.54433,3600,3315.570783
-1430.458009,3600,3330.431305
-3588.951059,3600,3345.287432
-1837.372353,3600,3360.092685
-1226.500994,3600,3375.053993
-3630.329424,3600,3389.777441
-315.623723,3600,3404.640465
-4194.534134,3600,3419.411577
-4134.256026,3600,3434.126112
-4257.57996,3600,3448.950086
-3769.36008,3600,3463.662088
-617.351499,3600,3478.507737
-3069.486507,3600,3493.297236
-508.129952,3600,3508.268813
-3858.589437,3600,3523.107065
-3296.117346,3600,3537.88923
-3464.594532,3600,3552.75409
-440.358003,3600,3567.544725
-3521.039509,3600,3582.334699
-1457.123765,3600,3597.098017
-3108.864831,3600,3611.80372
-435.702002,3600,3626.612594
-456.463125,3600,3641.37888
-4514.246821,3600,3656.094756
-3626.438506,3600,3670.855502
-3384.883676,3600,3685.6014
-478.426607,3600,3700.666644
-435.904602,3600,3715.443257
-1568.072477,3600,3730.175926
-4697.837338,3600,3744.92533
-3508.901805,3600,3759.665912
-786.768587,3600,3774.765476
-5129.907099,3600,3789.56681
-1399.586082,3600,3804.310335
-5408.982844,3600,3819.129357
-5883.018526,3600,3833.874205
-2400.965953,3600,3848.73303
-4719.462218,3600,3863.565465
