Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 26.314533
Total NOx (mg): 5.463
Overall NOx (mg/km): 0.208
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,17.106658,-6.365,-0.372,True
medium,433,9.250978,17.641,1.907,True
high,455,-0.027033,-3.159,NaN,False
extra_high,323,-0.016071,-2.654,NaN,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, -1.08, True
2, -0.73, True
3, -0.66, True
4, -0.57, True
5, -0.51, True
6, -0.45, True
7, -0.39, True
8, -0.34, True
9, -0.30, True
10, -0.26, True
11, -0.23, True
12, -0.20, True
13, -0.17, True
14, -0.15, True
15, -0.13, True
16, -0.11, True
17, -0.10, True
18, -0.08, True
19, -0.07, True
20, -0.06, True
21, -0.05, True
22, -0.05, True
23, -0.04, True
24, -0.04, True
25, -0.03, True
26, 0.46, True
Partial (0.12 km), 100.77, False
