#{"t_start": 1775306460.999681, "env_id": "None"}
r,l,t
-975.622998,3599,26.553548
82.918428,3599,55.617425
190.507453,3599,84.482901
390.255074,3599,113.211067
-37.266021,3599,142.063862
420.198869,3599,171.014318
533.239079,3599,200.095507
1074.624703,3599,228.632863
155.182562,3599,257.609376
-36.999964,3599,286.186005
502.901201,3599,314.945903
1629.859768,3599,343.737067
-17.813056,3599,372.610019
184.743178,3599,401.433019
938.590242,3599,430.140708
453.465444,3599,458.852785
1031.556213,3599,487.511209
1143.616713,3599,516.218413
1703.606844,3599,544.979683
-36.121199,3599,573.508541
1040.655715,3599,602.122701
2553.093724,3599,630.837658
2192.48506,3599,664.222388
-36.033865,3599,693.255069
-37.640946,3599,721.905122
-34.991835,3599,750.491925
537.882411,3599,779.622989
115.528209,3599,808.53718
-36.327294,3599,837.436389
1383.096698,3599,866.175219
1178.713739,3599,895.098987
917.938621,3599,923.796078
262.211309,3599,952.447996
1503.648851,3599,981.335305
1908.987176,3599,1009.928965
1463.977791,3599,1038.597371
1579.403444,3599,1067.118149
563.852809,3599,1095.927118
2432.740895,3599,1126.955851
1653.970947,3599,1156.029846
2224.316009,3599,1184.986422
-49.268083,3599,1214.32913
1469.793241,3599,1243.287203
798.854166,3599,1272.406854
999.687544,3599,1301.102596
1044.742045,3599,1329.898724
1531.684927,3599,1359.243578
1663.145502,3599,1388.514861
1077.012669,3599,1417.70628
2048.575906,3599,1447.150715
2048.461131,3599,1477.859367
508.825783,3599,1508.543365
1096.14288,3599,1539.568419
2454.069204,3599,1570.136568
93.366758,3599,1600.515173
-9.31853,3599,1631.509381
1301.497592,3599,1661.982437
442.896231,3599,1692.541402
-35.214125,3599,1723.019267
420.248787,3599,1753.511663
2670.964152,3599,1784.001185
-57.988985,3599,1814.325491
-42.003981,3599,1844.752889
489.566091,3599,1875.332042
117.736125,3599,1905.879046
732.343702,3599,1936.371598
968.486225,3599,1966.768877
1540.973561,3599,1997.234108
-42.056747,3599,2027.913473
803.285502,3599,2058.553504
73.167535,3599,2089.387863
499.105026,3599,2120.070859
2288.69939,3599,2150.636297
1088.63429,3599,2181.266115
-37.301527,3599,2211.844866
1693.977231,3599,2242.627704
-39.775388,3599,2273.43893
272.375003,3599,2304.206088
351.150792,3599,2334.8868
374.042572,3599,2365.682215
405.548764,3599,2396.559621
-36.202173,3599,2427.353725
407.098441,3599,2458.375391
1683.493401,3599,2489.059094
995.258778,3599,2520.096331
-37.116419,3599,2551.48233
-35.33214,3599,2581.623053
380.089425,3599,2611.345805
-47.321751,3599,2641.200008
2085.575324,3599,2671.006551
386.833042,3599,2700.850816
67.043399,3599,2730.303951
-177.310703,3599,2760.527259
975.720805,3599,2790.584192
898.03013,3599,2820.651934
1487.329906,3599,2850.403822
-42.711698,3599,2880.166206
2741.527791,3599,2909.771979
425.109032,3599,2939.816318
1511.507143,3599,2968.750582
1509.032671,3599,2998.325456
207.145731,3599,3027.866845
-64.577017,3599,3057.437746
290.885348,3599,3086.649633
454.686555,3599,3116.239637
-34.47246,3599,3145.558106
1469.740992,3599,3174.857807
1669.032734,3599,3204.380728
370.46522,3599,3233.76343
493.278866,3599,3262.293914
472.570455,3599,3290.98324
