#{"t_start": 1776338379.775801, "env_id": "None"}
r,l,t
7.446708,3599,464.150118
-163.847187,3599,938.90631
-242.145232,3599,1406.643291
515.319712,3599,1884.036457
336.493677,3599,2350.763821
-159.569079,3599,2825.891067
-115.213349,3599,3346.061439
-94.056238,3599,3823.044233
770.010358,3599,4293.633487
1092.156129,3599,4767.96166
-57.015023,3599,5242.509394
467.65054,3599,5726.892502
1310.130847,3599,6202.205324
1098.45721,3599,6747.794216
1004.449694,3599,7221.732822
1162.924359,3599,7699.710068
2482.911916,3599,8173.463486
2615.349133,3599,8655.006269
2856.881263,3599,9125.683961
3088.941294,3599,9608.974802
3191.926296,3599,10139.128605
3249.797664,3599,10623.179316
3225.037715,3599,11095.295888
3225.916223,3599,11576.693133
3272.006425,3599,12054.627889
3221.994189,3599,12540.048517
3287.061276,3599,13013.687044
3223.046225,3599,13558.174869
3263.78315,3599,14029.866022
3237.073476,3599,14518.810888
3307.988649,3599,14991.169466
3340.343108,3599,15483.563846
3456.274718,3599,15960.832268
3313.364547,3599,16455.007346
3341.748556,3599,17000.193215
3494.117385,3599,17473.80665
3423.662079,3599,17956.509319
3339.504756,3599,18422.814843
3456.374399,3599,18909.810643
3427.553985,3599,19387.078479
3397.964538,3599,19867.338836
3416.898295,3599,20394.794464
3418.905562,3599,20875.347207
3479.471955,3599,21346.02862
3470.226205,3599,21821.868341
3508.880983,3599,22299.104357
3418.635157,3599,22780.470369
3485.448117,3599,23248.079191
3469.114665,3599,23787.519508
3509.727791,3599,24255.888739
3400.061292,3599,24731.874589
