Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.630677
Total NOx (mg): 30466.545
Overall NOx (mg/km): 749.841
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.796598,19053.007,1944.859,False
medium,433,14.090974,11078.459,786.210,False
high,455,13.203691,335.079,25.378,True
extra_high,323,3.539414,-0.000,-0.000,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 2004.43, False
2, 308.81, False
3, 1988.99, False
4, 3611.48, False
5, 3204.21, False
6, 2381.04, False
7, 2516.29, False
8, 2141.84, False
9, 578.59, False
10, 378.76, False
11, 1609.72, False
12, 670.61, False
13, 839.03, False
14, 847.67, False
15, 850.84, False
16, 864.85, False
17, 884.13, False
18, 905.83, False
19, 928.18, False
20, 1508.77, False
21, 296.68, False
22, 342.48, False
23, 307.66, False
24, 211.71, False
25, 127.94, False
26, 74.39, True
27, 42.40, True
28, 23.16, True
29, 11.29, True
30, 3.75, True
31, 1.04, True
32, 0.00, True
33, 0.00, True
34, 0.00, True
35, 0.00, True
36, 0.00, True
37, 0.00, True
38, 0.00, True
39, 0.00, True
40, 0.00, True
Partial (0.27 km), -0.00, True
