Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.394366
Total NOx (mg): 39566.714
Overall NOx (mg/km): 955.848
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.063259,27731.088,2755.677,False
medium,433,14.130883,4141.251,293.064,False
high,455,13.298303,837.518,62.979,True
extra_high,323,3.901921,6856.857,1757.303,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 3119.65, False
2, 5063.30, False
3, 6432.54, False
4, 5527.77, False
5, 3561.85, False
6, 2084.32, False
7, 1067.08, False
8, 533.62, False
9, 248.40, False
10, 91.38, False
11, 831.04, False
12, 190.66, False
13, 311.40, False
14, 283.61, False
15, 243.15, False
16, 219.19, False
17, 207.86, False
18, 203.73, False
19, 203.31, False
20, 876.67, False
21, 134.94, False
22, 181.86, False
23, 157.82, False
24, 98.60, False
25, 52.78, True
26, 25.60, True
27, 10.35, True
28, 1.83, True
29, 0.00, True
30, 0.00, True
31, 75.73, True
32, 97.27, False
33, 13.26, True
34, 76.94, True
35, 127.31, False
36, 157.20, False
37, 173.42, False
38, 881.50, False
39, 1661.77, False
40, 2090.30, False
41, 2173.57, False
