#{"t_start": 1777024565.7419538, "env_id": "None"}
r,l,t
99.023873,3599,426.367885
-411.418526,3599,869.775581
161.133027,3599,1300.863771
-375.972538,3599,1743.324984
-138.506269,3599,2164.641055
-230.922603,3599,2620.788116
367.877433,3599,3068.854878
398.006876,3599,3512.861953
-119.249435,3599,3933.466255
48.223126,3599,4373.904229
-96.103212,3599,4797.682016
502.202291,3599,5231.142517
181.401731,3599,5633.765718
79.042424,3599,6049.076792
383.442929,3599,6468.955201
398.227026,3599,6892.890979
320.370973,3599,7290.004085
-22.360342,3599,7718.379913
1018.992221,3599,8343.409012
865.613499,3599,8973.083503
357.165108,3599,9591.968673
1452.061651,3599,10229.699313
893.366006,3599,10861.979232
1224.442996,3599,11492.98189
2285.950885,3599,12083.236715
975.517506,3599,12697.876616
-1.294377,3599,13328.671091
2135.088297,3599,13944.144396
61.755084,3599,14549.406361
-10.141478,3599,15174.067553
874.891251,3599,15816.177293
1044.870261,3599,16408.649112
1089.771885,3599,17024.668396
177.553258,3599,17659.861448
1695.528575,3599,18288.890595
2535.783716,3599,18913.123301
2089.495825,3599,19515.659406
2507.984987,3599,20112.348483
2262.90739,3599,20727.71648
2568.666168,3599,21361.95359
2529.061554,3599,22007.892506
2677.183792,3599,22591.25719
3032.393913,3599,23198.930671
3331.02163,3599,23803.22533
3309.139261,3599,24420.165322
3391.258091,3599,25016.785511
3318.628441,3599,25638.218463
3383.95898,3599,26259.641039
3347.930616,3599,26862.312173
3341.392889,3599,27457.238765
3306.523394,3599,28058.956506
3402.495278,3599,28684.922174
3334.390529,3599,29298.046621
3269.679669,3599,29818.293189
3398.648398,3599,30313.103853
