Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.073379
Total NOx (mg): 118904.264
Overall NOx (mg/km): 2894.923
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.890253,60551.765,6122.367,False
medium,433,14.236270,33214.064,2333.059,False
high,455,13.403026,25138.435,1875.579,False
extra_high,323,3.543830,-0.000,-0.000,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 5444.18, False
2, 15759.97, False
3, 17988.19, False
4, 18296.33, False
5, 3022.98, False
6, 17.42, True
7, 6.21, True
8, 5.65, True
9, 5.89, True
10, 5.94, True
11, 5675.91, False
12, 122.50, False
13, 15.81, True
14, 7.28, True
15, 4.89, True
16, 4.01, True
17, 3.46, True
18, 2.97, True
19, 2.49, True
20, 3362.77, False
21, 5807.42, False
22, 6366.37, False
23, 6589.85, False
24, 5594.54, False
25, 4393.78, False
26, 4144.94, False
27, 3797.71, False
28, 3489.94, False
29, 3186.09, False
30, 2904.82, False
31, 2686.68, False
32, 182.22, False
33, 5.07, True
34, 0.00, True
35, 0.00, True
36, 0.00, True
37, 0.00, True
38, 0.00, True
39, 0.00, True
40, 0.00, True
Partial (0.82 km), -0.00, True
