#{"t_start": 1776433489.1280067, "env_id": "None"}
r,l,t
-509.83162,3599,107.197709
-512.269458,3599,222.599891
-154.536546,3599,338.942882
111.125069,3599,453.886302
-446.000177,3599,568.437208
-437.792278,3599,683.098657
230.846636,3599,798.870078
167.153949,3599,915.3601
-366.314641,3599,1020.840007
-303.59767,3599,1135.502902
-357.455369,3599,1250.286805
112.259912,3599,1366.324944
-276.404675,3599,1482.598733
258.350868,3599,1598.322932
-292.151804,3599,1713.899229
183.762227,3599,1829.242879
615.425905,3599,1934.974774
312.00694,3599,2115.278914
-228.896498,3599,2231.752098
401.905266,3599,2345.326514
551.713238,3599,2460.068819
-183.626144,3599,2576.076492
-176.427824,3599,2690.741332
-180.570569,3599,2806.655328
834.146356,3599,2913.550872
-115.524002,3599,3029.952263
197.997416,3599,3147.254583
-148.169419,3599,3263.110473
273.923542,3599,3377.991088
-138.207648,3599,3492.577507
-133.285659,3599,3606.994883
219.253528,3599,3721.510851
470.451903,3599,3827.41231
-123.630186,3599,3943.146843
447.206466,3599,4121.111883
-107.178641,3599,4236.34942
296.70641,3599,4350.998914
985.511856,3599,4465.742952
-98.953839,3599,4580.866831
67.854118,3599,4696.317335
327.68078,3599,4810.81781
483.199731,3599,4916.042761
-91.426418,3599,5030.803025
-98.040361,3599,5145.079118
631.800279,3599,5261.286906
-81.672397,3599,5376.669362
-80.290986,3599,5492.44671
208.531407,3599,5608.201485
139.592312,3599,5723.762803
-79.117259,3599,5830.376449
341.01643,3599,5947.126997
924.623253,3599,6062.508024
604.397233,3599,6242.13095
229.25476,3599,6357.502854
412.945108,3599,6472.540982
668.416884,3599,6588.79101
522.146431,3599,6704.010893
934.464558,3599,6808.842765
1161.721347,3599,6926.067436
1109.281352,3599,7042.255324
393.154829,3599,7157.584054
1670.199698,3599,7274.246254
2327.502034,3599,7390.69278
936.215145,3599,7507.053133
898.783255,3599,7623.276333
2872.453599,3599,7728.301662
1417.180309,3599,7845.494675
1827.846497,3599,7962.285045
2940.970247,3599,8076.966815
