Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.520884
Total NOx (mg): 26443.744
Overall NOx (mg/km): 652.595
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.785365,762.157,77.887,True
medium,433,14.022240,7053.144,502.997,False
high,455,13.169115,13058.946,991.634,False
extra_high,323,3.544163,5569.497,1571.456,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 646.33, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 115.82, False
6, 0.00, True
7, 0.00, True
8, 0.00, True
9, 0.00, True
10, 29.70, True
11, 546.81, False
12, 183.09, False
13, 186.12, False
14, 193.00, False
15, 184.26, False
16, 172.62, False
17, 178.43, False
18, 232.56, False
19, 208.31, False
20, 1011.06, False
21, 913.06, False
22, 1061.74, False
23, 1123.91, False
24, 1182.38, False
25, 1244.03, False
26, 1109.47, False
27, 1407.95, False
28, 1192.02, False
29, 1474.33, False
30, 1266.75, False
31, 824.71, False
32, 465.19, False
33, 498.87, False
34, 614.40, False
35, 671.70, False
36, 744.58, False
37, 1984.32, False
38, 1413.20, False
39, 1342.18, False
40, 1696.21, False
Partial (0.23 km), 1392.48, False
