#{"t_start": 1777158006.0819173, "env_id": "None"}
r,l,t
715.159033,3599,662.499004
841.797429,3599,1365.550795
1171.665363,3599,2015.876397
790.677372,3599,2662.191991
273.268033,3599,3259.255412
468.105945,3599,3831.811075
730.224689,3599,4380.334995
1482.584688,3599,4933.335705
936.269833,3599,5494.194989
1759.846053,3599,6048.146999
2292.323115,3599,6598.55104
462.677242,3599,7146.14107
1559.819237,3599,7702.267883
1724.922673,3599,8254.225496
-23.983892,3599,8803.019135
1145.561317,3599,9358.800549
931.679608,3599,9919.788043
2313.933111,3599,10463.88318
588.697802,3599,11016.879009
822.12627,3599,11568.103044
-2.588217,3599,12120.007365
565.492048,3599,12668.519537
551.346322,3599,13219.042979
1125.496317,3599,13775.331433
2225.963003,3599,14329.302977
1471.156744,3599,14876.82395
2242.177557,3599,15428.237422
2189.942847,3599,15978.958981
2976.730967,3599,16536.694298
2510.163606,3599,17089.147306
1275.265484,3599,17627.97893
803.473249,3599,18183.984765
1732.593905,3599,18738.352222
1199.590936,3599,19289.840748
2274.181,3599,19846.218261
3261.787812,3599,20407.040995
3274.010242,3599,20966.061391
3258.440499,3599,21484.774708
3260.086572,3599,22005.027031
2791.529562,3599,22526.806933
3145.487478,3599,23038.75096
3133.564392,3599,23554.96701
3406.749747,3599,24064.289666
3346.089832,3599,24555.751014
2966.284696,3599,25046.843605
3434.360734,3599,25538.447042
3019.229032,3599,26029.775472
3412.77265,3599,26516.550847
3437.872304,3599,27000.193883
3406.300517,3599,27485.590447
3345.344703,3599,27970.212901
3442.599287,3599,28459.591974
3430.615651,3599,28946.663151
2830.952416,3599,29442.485553
3390.949538,3599,29933.306754
