number,value,state,learning_rate,batch_size,tau,gamma,train_freq,gradient_steps,learning_starts,policy_delay,target_policy_noise,target_noise_clip,action_noise_sigma,net_arch
0,23.14396095275879,TrialState.COMPLETE,7.860660639463633e-05,512,0.0012510320498445554,0.976944962583745,8,4,10000,2,0.21718451949735645,0.6555996425113344,0.0842884303440543,deep
1,35.571388244628906,TrialState.COMPLETE,0.000587359935270501,256,0.013092655950448367,0.9937329416148406,8,1,10000,4,0.13190157401364416,0.44429515853702106,0.06717702697212911,small
2,3.2128567695617676,TrialState.COMPLETE,0.0004228431691165528,1024,0.013089425772397453,0.9676922250666244,1,8,20000,1,0.11219447373634098,0.5942589753034961,0.08784097586169519,deep
3,,TrialState.RUNNING,1.7352394029959193e-05,128,0.015476847256867526,0.991957935547156,1,4,1000,1,0.20750230357389332,0.6536705348832961,0.18347657401017065,large
4,13.008645057678223,TrialState.COMPLETE,2.046959966022385e-05,256,0.005001938204344992,0.9655344864653842,4,1,1000,1,0.18105137794672949,0.6259313203199506,0.20266378258261786,deep
5,,TrialState.RUNNING,0.00016651598878056958,256,0.014371861339541929,0.9662732930457503,1,8,5000,4,0.39634232500669475,0.6907715752285079,0.16868513864435175,large
6,278.35009765625,TrialState.COMPLETE,1.738596827765404e-05,1024,0.015548136993087828,0.9522365034953132,8,1,5000,2,0.23176614709794932,0.6880916276328157,0.05713972582097372,medium
7,,TrialState.RUNNING,9.522077948028299e-05,1024,0.005126184127974489,0.9586757872848399,1,8,1000,1,0.1253116817617776,0.6690570377454852,0.2353339276744852,small
8,,TrialState.RUNNING,1.3443379169561068e-05,128,0.003557585380483778,0.9833466666741923,1,4,20000,4,0.3871562196853596,0.4166165556862955,0.09557043596534305,small
9,176.77040100097656,TrialState.COMPLETE,7.7953065221918e-05,512,0.0015786860293367172,0.9516555085269419,8,4,5000,4,0.2692065929605004,0.36604465264940345,0.06954707015398416,medium
10,,TrialState.RUNNING,0.0006971711539566952,128,0.004010138916490777,0.9682676412443906,1,4,5000,2,0.29347988077332565,0.4256577102856268,0.06804053366583389,medium
11,,TrialState.RUNNING,0.000713866263863196,1024,0.01662511691493433,0.9563673515683598,1,8,5000,2,0.28738074002383573,0.32104265721738406,0.28641976497627636,small
12,4.957903861999512,TrialState.COMPLETE,0.00035645124010330614,1024,0.00237960510599472,0.9762041070206406,8,1,20000,1,0.3063364442156633,0.622813384863447,0.1050957529473014,small
13,176.80331420898438,TrialState.PRUNED,2.4640495473799025e-05,256,0.01547922668696776,0.9548860944517794,8,4,1000,2,0.2699507031952274,0.3437569909428678,0.1911260260429012,small
14,4.474812984466553,TrialState.COMPLETE,0.00021323827342364154,256,0.0023272646211276995,0.9819092991139752,4,8,10000,1,0.24656780750306037,0.5326193776092047,0.11792572998928776,deep
15,15.009481430053711,TrialState.COMPLETE,1.4187495182917164e-05,256,0.003234032221066746,0.9731630537565786,4,8,10000,2,0.3686333608527099,0.46077388421148235,0.2699103297131819,large
16,9.666853904724121,TrialState.COMPLETE,2.2602671383425324e-05,512,0.011048799944114396,0.9556562280735906,1,8,20000,2,0.28664870383147134,0.4743224709392837,0.20944416442879982,medium
17,3.2862284183502197,TrialState.COMPLETE,0.000538429815820989,1024,0.013377337526226087,0.9838321576751057,4,1,10000,2,0.3010597951938636,0.6851821309253303,0.07337558038786034,medium
18,3.763607978820801,TrialState.COMPLETE,3.234344215680609e-05,1024,0.012787918839806709,0.9754279371012389,4,8,10000,4,0.35349175262740706,0.5462988738071829,0.10072172000732645,large
19,35.57136917114258,TrialState.PRUNED,0.0007560016524007317,256,0.005312312476059489,0.9728999856600421,4,4,1000,2,0.23769754974562587,0.5101027236542806,0.15561519579301447,large
20,3.3887429237365723,TrialState.COMPLETE,0.00031421436777452876,1024,0.011319628205153694,0.971753739820634,4,8,1000,4,0.3456989390565741,0.30172842088945556,0.2191914152769764,deep
21,21.60572624206543,TrialState.PRUNED,8.575771626112378e-05,128,0.01664390083221907,0.9822640737142518,1,1,10000,4,0.23701813443210754,0.6338274070639657,0.28700896181715285,large
22,15.529279708862305,TrialState.COMPLETE,0.0005361835773165955,512,0.010600131063467844,0.9844624660589243,4,4,1000,4,0.18120201717544254,0.45011611700368714,0.064423803901718,medium
23,3.3680150508880615,TrialState.COMPLETE,0.00048825571872265197,1024,0.006592733345985545,0.9720702932119941,4,4,1000,1,0.30735502834757034,0.5738949332012373,0.10056382641391566,small
24,35.57136917114258,TrialState.PRUNED,1.0347434423528781e-05,128,0.0020749294206725243,0.976785033780371,8,4,1000,1,0.36820629662665727,0.5778059995467342,0.12063118711481254,large
25,185.5220489501953,TrialState.COMPLETE,2.190482715538821e-05,1024,0.010521207055859749,0.9823865948991113,4,4,1000,4,0.17508293363161231,0.6417657710158715,0.08737893557786568,deep
