Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.800003
Total NOx (mg): 64550.871
Overall NOx (mg/km): 1582.129
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.781733,1860.823,190.235,False
medium,433,14.109691,43792.118,3103.691,False
high,455,13.379160,18724.772,1399.548,False
extra_high,323,3.529419,173.157,49.061,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 665.87, False
2, 252.55, False
3, 221.92, False
4, 205.67, False
5, 338.79, False
6, 86.07, False
7, 32.96, True
8, 21.03, True
9, 20.19, True
10, 42.74, True
11, 1177.69, False
12, 2600.00, False
13, 2834.01, False
14, 2888.96, False
15, 2900.47, False
16, 2885.24, False
17, 2873.17, False
18, 2867.31, False
19, 2895.67, False
20, 4640.99, False
21, 5351.57, False
22, 4078.52, False
23, 3474.92, False
24, 3060.46, False
25, 2758.28, False
26, 2549.17, False
27, 2421.57, False
28, 2345.55, False
29, 2299.50, False
30, 2270.47, False
31, 2283.71, False
32, 227.97, False
33, 300.53, False
34, 260.29, False
35, 141.79, False
36, 62.57, True
37, 37.75, True
38, 48.94, True
39, 0.00, True
40, 56.07, True
Partial (0.58 km), 120.84, False
