#{"t_start": 1777069193.5593581, "env_id": "None"}
r,l,t
198.462944,3599,1178.525356
2573.645839,3599,2480.748928
2886.891762,3599,3805.727226
3408.643663,3599,5146.870522
3398.53258,3599,6468.081263
3264.007985,3599,7781.72174
3372.697525,3599,9095.010897
3302.167495,3599,10408.141029
3461.217401,3599,11685.862425
3355.655076,3599,12964.453404
3215.853041,3599,14252.26165
3095.175036,3599,15535.60989
3213.111513,3599,16834.316636
3323.386281,3599,18133.252461
3419.842184,3599,19354.370459
3280.255922,3599,20451.397328
3366.039424,3599,21544.887399
3291.156255,3599,22646.142205
3455.143557,3599,23747.078582
3343.118867,3599,24855.57469
3419.112051,3599,25953.229115
3366.633576,3599,27063.853283
3442.038608,3599,28170.220535
3304.389174,3599,29276.112712
3454.799123,3599,30399.445233
3506.282877,3599,31505.749673
3434.742104,3599,32614.773204
3433.141852,3599,33711.581112
3462.647128,3599,34822.901078
3470.298518,3599,35923.430102
3453.422411,3599,37033.48102
3466.835673,3599,38146.349274
3158.054054,3599,39263.109504
3383.643139,3599,40376.317078
3377.898667,3599,41507.358092
3461.29811,3599,42616.436892
3166.90602,3599,43737.053214
3452.381327,3599,44860.433106
3500.790214,3599,45967.165085
3483.182295,3599,47089.613211
3358.94918,3599,48205.669087
3249.406203,3599,49324.525089
3482.185563,3599,50449.497051
3469.604094,3599,51573.425163
3457.936979,3599,52701.757819
3432.423344,3599,53826.365219
3470.903874,3599,54947.181219
3470.367896,3599,56067.065266
3221.252137,3599,57188.537322
3514.675597,3599,58316.453239
3511.33702,3599,59445.865259
3456.900417,3599,60561.60924
3389.78742,3599,61693.817161
3223.115649,3599,62824.121068
3426.962674,3599,63941.789123
