number,value,state,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,net_arch
0,6.743223190307617,TrialState.PRUNED,2.5594707477196397e-05,2048,128,9,0.9971602983423646,0.9261367929736763,0.18913933432883445,medium
1,3.6082727909088135,TrialState.COMPLETE,0.0003446131520230422,1024,256,10,0.9525334814107363,0.9475728718566986,0.2288231067053679,small
2,178.74502563476562,TrialState.PRUNED,0.00021481271709952377,1024,128,14,0.9642793160124159,0.9677139174949653,0.1899052129684095,deep
3,3.112246513366699,TrialState.COMPLETE,1.0485030974116303e-05,4096,256,14,0.954494087908896,0.9085753206316122,0.25292816001759233,deep
4,3.2574243545532227,TrialState.COMPLETE,0.00013979062558454363,1024,512,3,0.9969273166613384,0.9537583759326584,0.12553645509871092,large
5,3.8242411613464355,TrialState.COMPLETE,2.2352240342765057e-05,1024,512,7,0.9695061460696159,0.9666948012590302,0.1730523462008319,small
6,14.196399688720703,TrialState.PRUNED,0.0008692201373567013,1024,512,6,0.983920938484289,0.9789130485414423,0.21755731143263896,small
7,14.339414596557617,TrialState.COMPLETE,2.8920023649143442e-05,4096,64,8,0.9673797803410518,0.917762489830658,0.14384612780293118,deep
8,22.997146606445312,TrialState.COMPLETE,4.185234054356377e-05,4096,512,5,0.9617458051229211,0.9616509649516705,0.13966605618862477,small
9,3.4041898250579834,TrialState.COMPLETE,0.00013982164918498869,4096,128,5,0.9682149669474227,0.9196725486123193,0.2574028730995697,deep
10,3.3977584838867188,TrialState.COMPLETE,1.4962479813780553e-05,4096,512,14,0.9707004953561812,0.9039705510178688,0.29936329293102804,medium
11,88.21531677246094,TrialState.PRUNED,0.00040741060022717984,4096,256,11,0.9933835461166709,0.9979033059513387,0.19617412121874717,medium
12,88.05147552490234,TrialState.PRUNED,0.00011972119036523286,4096,128,6,0.9914125642034055,0.968367372055384,0.13276771257107794,medium
13,88.11467742919922,TrialState.PRUNED,1.6487727002152797e-05,4096,512,6,0.9634785509404814,0.9504635641494594,0.18726295874147922,small
14,22.649316787719727,TrialState.PRUNED,7.694775327384706e-05,1024,512,10,0.9546312975554797,0.9329603073992611,0.2586026895402358,deep
15,18.77088165283203,TrialState.PRUNED,0.00014799100767599456,4096,64,4,0.992252076156454,0.9281766072229138,0.16099752045614762,large
16,21.255016326904297,TrialState.PRUNED,1.1679693614257624e-05,4096,64,8,0.9600590490096523,0.9821889944933015,0.2630695908700804,large
17,8.942277908325195,TrialState.PRUNED,0.0003908709409749342,2048,64,14,0.9856681690577165,0.9017425546096265,0.1588715357807307,deep
18,88.41963958740234,TrialState.PRUNED,0.0005245316800748883,2048,64,9,0.9961834086712856,0.9755523207282045,0.14879314002406657,large
19,3.269876003265381,TrialState.COMPLETE,1.0072035291389546e-05,2048,256,15,0.9503641815244634,0.9029760619653453,0.2973267265155919,large
20,3.3293654918670654,TrialState.COMPLETE,6.885754901207332e-05,2048,256,3,0.9802264110914639,0.9006119161376842,0.2899770270476459,large
21,35.57136535644531,TrialState.PRUNED,1.1291585831733666e-05,2048,256,3,0.9802878420126669,0.9023799125549409,0.2954270971818268,large
22,35.60511779785156,TrialState.PRUNED,5.917739916369641e-05,2048,256,3,0.9793829027268097,0.9400986597868103,0.10060758162512337,large
