Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 34.465337
Total NOx (mg): 0.877
Overall NOx (mg/km): 0.025
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.491994,0.877,0.084,True
medium,433,12.024606,0.000,0.000,True
high,455,11.069072,0.000,0.000,True
extra_high,323,0.879665,0.000,0.000,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 0.88, True
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 0.00, True
6, 0.00, True
7, 0.00, True
8, 0.00, True
9, 0.00, True
10, 0.00, True
11, 0.00, True
12, 0.00, True
13, 0.00, True
14, 0.00, True
15, 0.00, True
16, 0.00, True
17, 0.00, True
18, 0.00, True
19, 0.00, True
20, 0.00, True
21, 0.00, True
22, 0.00, True
23, 0.00, True
24, 0.00, True
25, 0.00, True
26, 0.00, True
27, 0.00, True
28, 0.00, True
29, 0.00, True
30, 0.00, True
31, 0.00, True
32, 0.00, True
33, 0.00, True
34, 0.00, True
Partial (0.24 km), 0.00, True
