number,value,state,learning_rate,batch_size,tau,gamma,train_freq,gradient_steps,learning_starts,ent_coef,use_sde,net_arch
0,88.35269165039062,TrialState.PRUNED,3.372021624801683e-05,256,0.016869646594713628,0.9824188234537853,4,8,10000,0.1,False,deep
1,4.2336745262146,TrialState.COMPLETE,0.00013005256996759685,128,0.004133727108255795,0.9925637698700167,8,4,5000,auto,False,medium
2,7.328551292419434,TrialState.PRUNED,0.000202982685534978,1024,0.005764594443126867,0.9962943265430781,1,4,5000,0.1,True,deep
3,3.4226391315460205,TrialState.COMPLETE,5.6127778979274904e-05,512,0.01439865376037612,0.9508732423492245,4,4,20000,auto,False,deep
4,3.420846939086914,TrialState.COMPLETE,0.00015411567601595342,512,0.0013882267400076892,0.971681265046147,8,8,20000,0.01,True,medium
5,,TrialState.RUNNING,0.00013216154138664143,128,0.017941084005003154,0.9683702529447341,1,4,1000,0.05,True,small
6,88.2347183227539,TrialState.COMPLETE,0.000168575404447244,1024,0.0073698957892117285,0.9755031975402596,8,4,5000,0.1,False,small
7,88.2265625,TrialState.PRUNED,5.136954550525229e-05,128,0.0034718616689751883,0.9680951862132591,8,8,5000,0.2,True,large
8,3.57535457611084,TrialState.COMPLETE,0.0005795394787512639,512,0.0175935863702157,0.9827798134430474,8,4,20000,0.05,False,medium
9,,TrialState.RUNNING,6.853560529223667e-05,128,0.005702886422181732,0.9930331599391858,1,8,5000,0.05,True,medium
10,3.920726776123047,TrialState.COMPLETE,6.851911073415473e-05,512,0.019904954067158177,0.9891632275133686,4,4,1000,0.05,True,large
11,,TrialState.RUNNING,6.896542111905151e-05,128,0.0011945257598583259,0.9790711306113655,1,4,10000,auto,True,small
12,88.23228454589844,TrialState.COMPLETE,5.862131620945131e-05,128,0.010443960697539043,0.9558499497379763,8,1,10000,0.1,True,small
13,58.425533294677734,TrialState.PRUNED,1.405360050199387e-05,256,0.010821613297712786,0.9854304753045942,8,8,5000,0.01,True,medium
14,4.769768238067627,TrialState.PRUNED,0.00017392666847156388,256,0.003999324498912814,0.9648172991070336,8,4,5000,0.01,True,medium
15,88.22987365722656,TrialState.PRUNED,0.0001544653815489839,1024,0.006137607846062523,0.954126452918012,8,1,10000,0.1,True,small
16,,TrialState.RUNNING,1.3279640837246103e-05,512,0.016033594717702708,0.9956506509811764,8,8,1000,0.05,True,medium
17,88.34993743896484,TrialState.PRUNED,7.758305794676355e-05,128,0.019856720485405068,0.9749327738972098,8,1,5000,0.2,False,medium
18,,TrialState.RUNNING,2.7520381168847876e-05,1024,0.016462545355723557,0.9803263711453339,1,8,5000,0.2,True,medium
19,88.21884155273438,TrialState.PRUNED,1.0335943687231135e-05,512,0.013145601842008189,0.964073622183175,4,1,20000,auto,False,deep
20,,TrialState.RUNNING,1.2909158361852856e-05,512,0.012646900714313748,0.9619407974518199,4,8,20000,0.01,False,medium
21,,TrialState.RUNNING,2.195574005855547e-05,512,0.013302629786075536,0.9633276590386965,4,8,20000,0.01,True,deep
22,,TrialState.RUNNING,1.5407479932238587e-05,512,0.013385536545801536,0.9605574922494755,4,8,20000,0.01,False,deep
23,,TrialState.RUNNING,0.0005357628773286115,512,0.012032683901483847,0.95023371530782,1,8,20000,0.01,True,deep
24,,TrialState.RUNNING,0.00043284440055612586,512,0.0145342713738331,0.9591795755333852,1,8,20000,auto,False,deep
25,3.331544876098633,TrialState.COMPLETE,0.00038486959267648914,512,0.00100616958941766,0.9603177902269954,1,8,20000,auto,False,deep
26,4.604593753814697,TrialState.COMPLETE,0.0003534592390820965,512,0.001296649494874224,0.9501265577133657,1,8,20000,auto,False,deep
27,3.3570337295532227,TrialState.COMPLETE,0.0004611105725163886,512,0.0138830379157543,0.9511596705531473,1,8,20000,auto,False,deep
28,,TrialState.RUNNING,0.0004538232854068644,512,0.0011979092269567835,0.9506732589720781,1,8,20000,auto,False,deep
29,3.352989435195923,TrialState.COMPLETE,0.00045508230732810496,512,0.0012792908331631938,0.951764013690183,1,8,20000,auto,False,deep
30,3.705962896347046,TrialState.PRUNED,0.0003823552706705749,512,0.001146946786864847,0.9512038265913001,1,8,20000,auto,False,deep
31,3.926438808441162,TrialState.COMPLETE,0.0003968177931860697,512,0.0010164497321378872,0.9500213432485053,1,8,20000,auto,False,deep
32,3.380254030227661,TrialState.COMPLETE,0.000496563367126328,512,0.014129291485872148,0.9590132491037556,1,8,20000,auto,False,deep
33,3.37261700630188,TrialState.COMPLETE,0.0004124813643531482,512,0.001054505134749726,0.9515562843279909,1,8,20000,auto,False,deep
34,3.386770725250244,TrialState.COMPLETE,0.00038843331258841835,512,0.0012846052934920344,0.950710946630174,1,8,20000,auto,False,deep
35,3.240521192550659,TrialState.COMPLETE,2.4547244731181708e-05,512,0.013399328229183854,0.9588605780395941,4,8,20000,0.01,False,deep
36,3.525233030319214,TrialState.COMPLETE,2.730911589345713e-05,512,0.013823378061466314,0.9596160298963761,4,8,20000,0.01,True,large
37,5.500186443328857,TrialState.PRUNED,2.634451483658649e-05,512,0.013865282058030916,0.96195816844271,4,4,1000,0.01,True,large
38,3.6904633045196533,TrialState.PRUNED,0.0007139083989004724,512,0.00869488838030071,0.960513937286861,1,8,1000,0.01,True,large
39,3.082653522491455,TrialState.COMPLETE,0.000920475365847247,512,0.007992889073407082,0.9600892743867138,1,8,1000,auto,False,deep
40,3.1227383613586426,TrialState.COMPLETE,0.0009888563967308636,512,0.0032187474577071466,0.956978619821844,1,8,1000,auto,False,deep
41,3.359858512878418,TrialState.COMPLETE,0.000984145123496132,512,0.009314358120591304,0.95937114851521,1,8,1000,auto,False,deep
42,,TrialState.RUNNING,0.0006875973209673409,512,0.008960455327153172,0.9579793398835622,1,8,1000,0.01,False,deep
43,3.7818522453308105,TrialState.PRUNED,0.0009762821398363276,512,0.008488058384442125,0.9581264968407217,4,8,1000,0.01,False,deep
