Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.330492
Total NOx (mg): 156258.926
Overall NOx (mg/km): 3874.461
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.891905,84981.902,8591.055,False
medium,433,13.996573,46885.841,3349.809,False
high,455,12.981288,24360.116,1876.556,False
extra_high,323,3.460726,31.065,8.977,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 6184.10, False
2, 12367.57, False
3, 15104.21, False
4, 16546.37, False
5, 10097.61, False
6, 6457.72, False
7, 4920.49, False
8, 4699.95, False
9, 4683.11, False
10, 4686.06, False
11, 4364.92, False
12, 3394.14, False
13, 3298.39, False
14, 3195.73, False
15, 3138.85, False
16, 3106.21, False
17, 3085.98, False
18, 3072.29, False
19, 3062.60, False
20, 3567.20, False
21, 3326.27, False
22, 3395.05, False
23, 3442.38, False
24, 3474.76, False
25, 3498.05, False
26, 3515.08, False
27, 3527.78, False
28, 3537.63, False
29, 3545.38, False
30, 3551.65, False
31, 2309.71, False
32, 36.08, True
33, 11.85, True
34, 7.22, True
35, 6.16, True
36, 5.60, True
37, 5.17, True
38, 9.36, True
39, 9.86, True
40, 9.02, True
Partial (0.17 km), 8.30, True
