Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 13.932347
Total NOx (mg): 0.877
Overall NOx (mg/km): 0.063
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.397801,0.877,0.093,True
medium,433,0.472583,0.000,0.000,True
high,455,1.140429,0.000,0.000,True
extra_high,323,2.921534,0.000,0.000,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 0.88, True
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 0.00, True
6, 0.00, True
7, 0.00, True
8, 0.00, True
9, 0.00, True
10, 0.00, True
11, 0.00, True
12, 0.00, True
13, 0.00, True
Partial (0.88 km), 0.00, True
