Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.376762
Total NOx (mg): 4673.338
Overall NOx (mg/km): 115.743
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.725138,2007.503,206.424,False
medium,433,14.011316,976.753,69.712,True
high,455,13.079535,964.729,73.759,True
extra_high,323,3.560773,724.353,203.426,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 690.98, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 821.10, False
6, 272.72, False
7, 77.06, True
8, 67.27, True
9, 49.13, True
10, 141.81, False
11, 70.46, True
12, 31.93, True
13, 48.54, True
14, 59.40, True
15, 65.39, True
16, 68.74, True
17, 70.43, True
18, 71.37, True
19, 127.14, False
20, 239.03, False
21, 0.00, True
22, 0.00, True
23, 2.93, True
24, 19.16, True
25, 32.88, True
26, 44.30, True
27, 54.69, True
28, 64.77, True
29, 74.79, True
30, 84.89, False
31, 104.10, False
32, 62.72, True
33, 89.25, False
34, 92.13, False
35, 93.94, False
36, 99.24, False
37, 101.35, False
38, 193.97, False
39, 173.98, False
40, 277.84, False
