Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 39.951747
Total NOx (mg): 374908.341
Overall NOx (mg/km): 9384.029
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.549670,104583.695,10951.551,False
medium,433,13.995924,99472.638,7107.258,False
high,455,13.068454,101387.137,7758.158,False
extra_high,323,3.337700,69464.870,20812.200,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 8183.75, False
2, 11021.96, False
3, 12141.17, False
4, 12941.88, False
5, 9754.61, False
6, 10666.45, False
7, 11230.11, False
8, 11315.02, False
9, 11394.24, False
10, 10817.99, False
11, 7498.78, False
12, 7563.85, False
13, 7630.12, False
14, 7663.79, False
15, 7681.89, False
16, 7693.16, False
17, 7700.90, False
18, 7706.46, False
19, 7587.03, False
20, 5926.40, False
21, 5869.76, False
22, 5827.86, False
23, 5794.55, False
24, 5773.20, False
25, 5759.63, False
26, 5750.67, False
27, 5744.48, False
28, 5740.01, False
29, 5736.63, False
30, 5733.96, False
31, 8832.72, False
32, 10179.24, False
33, 10193.96, False
34, 10194.15, False
35, 10192.93, False
36, 10192.17, False
37, 12003.13, False
38, 22909.75, False
39, 22615.83, False
Partial (0.71 km), 22303.25, False
