#{"t_start": 1777504009.8969097, "env_id": "None"}
r,l,t
126.466728,3599,292.809617
281.880911,3599,934.908352
1683.095615,3599,1584.359974
475.733528,3599,2252.358547
2688.414293,3599,2918.368092
1632.286309,3599,3587.308612
3029.695081,3599,4253.970517
3375.914926,3599,4921.198309
2828.485093,3599,5589.063269
3439.076127,3599,6253.071109
3407.799627,3599,6920.770532
2840.343731,3599,7589.072424
2862.157308,3599,8260.719885
3444.103736,3599,8927.39645
3405.044492,3599,9596.676854
2878.358798,3599,10263.830823
3458.200384,3599,10935.172744
2222.925476,3599,11695.175376
3444.821082,3599,12365.012437
2274.981561,3599,13030.050739
3421.068697,3599,13701.461885
3491.882201,3599,14370.347308
3481.988641,3599,15040.086711
3493.055634,3599,15705.924176
3438.526945,3599,16371.649477
3472.991003,3599,17038.099756
3466.431626,3599,17702.098119
3439.548508,3599,18368.942879
3489.6663,3599,19034.180584
3464.963033,3599,19748.293753
3480.805178,3599,20413.937785
3451.823109,3599,21077.323488
3428.419258,3599,21742.947641
3460.44624,3599,22409.792136
3473.864344,3599,23163.431457
3505.756587,3599,23831.901263
3461.410461,3599,24498.353961
3491.615679,3599,25166.753423
3477.204927,3599,25834.106422
3499.002068,3599,26503.299442
3225.963528,3599,27170.877409
3477.623372,3599,27841.232662
3488.332522,3599,28513.600643
3429.465317,3599,29186.223696
3492.901558,3599,29856.866356
3440.135254,3599,30528.008076
3447.717485,3599,31201.470002
3453.043342,3599,31875.371475
3471.038955,3599,32546.446196
3449.827283,3599,33220.057242
3472.284543,3599,33893.344966
3505.969395,3599,34567.758541
3461.458738,3599,35331.603537
3472.347555,3599,36010.15419
3500.066598,3599,36685.669138
3478.639021,3599,37360.877974
3509.861701,3599,38035.673234
3501.160758,3599,38710.112304
3485.215272,3599,39383.990428
3449.572691,3599,40056.100792
3467.791655,3599,40733.242041
3480.26722,3599,41412.475804
3487.316968,3599,42089.250636
3388.956631,3599,42768.338049
3486.175203,3599,43446.695407
3474.180074,3599,44125.082647
3092.976619,3599,44804.841647
3506.883941,3599,45486.126773
3480.798124,3599,46163.993742
3435.448547,3599,46932.185838
3433.74212,3599,47609.871636
3506.620941,3599,48290.003396
3489.510428,3599,48967.73823
3481.144885,3599,49644.581265
3465.442061,3599,50324.026307
3518.334151,3599,51003.278693
3475.085082,3599,51679.153384
3495.848374,3599,52361.738997
3499.557967,3599,53041.687818
3498.841015,3599,53722.044222
3455.396945,3599,54400.819854
3480.457767,3599,55082.594042
3505.387406,3599,55763.309154
3490.413336,3599,56445.325996
3415.5842,3599,57133.978482
3509.561589,3599,57818.707983
3497.734622,3599,58583.860753
3505.943157,3599,59392.522346
3480.42332,3599,60257.278613
3523.138269,3599,61116.906957
3523.577672,3599,61944.595217
3497.725703,3599,62716.06323
3492.571202,3599,63482.503412
3508.934435,3599,64254.044741
3483.641851,3599,65030.195027
3496.032511,3599,65800.98957
3483.449863,3599,66580.266944
3460.221497,3599,67348.991945
3499.615385,3599,68117.891094
3483.732267,3599,68888.855005
3455.634998,3599,69659.199798
3451.82193,3599,70432.17382
3518.172237,3599,71208.104555
3446.885641,3599,71980.413132
3484.171995,3599,72840.719742
3249.572508,3599,73615.06501
3473.922235,3599,74387.774833
3492.695948,3599,75160.81021
3507.002949,3599,75935.871622
3487.775769,3599,76710.472878
3441.758155,3599,77482.20078
3478.369019,3599,78261.695707
3510.403315,3599,79038.326276
3465.498659,3599,79813.346207
3505.081428,3599,80587.256621
3521.21036,3599,81368.036474
3531.79611,3599,82144.710735
3520.243111,3599,82923.313584
3477.358455,3599,83703.688599
3480.566949,3599,84479.643788
3466.753937,3599,85258.081933
3300.056549,3599,86132.445067
3514.233018,3599,86909.544663
3489.131339,3599,87689.846189
3510.144075,3599,88472.554577
3529.65797,3599,89251.868326
3473.990629,3599,90036.232056
3517.752526,3599,90790.695865
3425.914495,3599,91545.437992
3511.229658,3599,92300.605706
3516.321063,3599,93055.137449
3503.704669,3599,93807.771472
3494.455479,3599,94565.885038
3489.562357,3599,95320.993501
3501.646441,3599,96076.260815
3473.774137,3599,96835.250556
3448.233758,3599,97596.091308
3487.839649,3599,98358.048752
