Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.042699
Total NOx (mg): 9702.311
Overall NOx (mg/km): 242.299
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.534712,3783.433,396.806,False
medium,433,13.967141,893.579,63.977,True
high,455,13.082400,530.433,40.546,True
extra_high,323,3.458445,4494.866,1299.678,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1154.32, False
2, 502.27, False
3, 594.46, False
4, 810.02, False
5, 357.23, False
6, 134.90, False
7, 66.47, True
8, 64.55, True
9, 66.05, True
10, 381.93, False
11, 54.08, True
12, 38.08, True
13, 29.40, True
14, 22.55, True
15, 18.28, True
16, 16.00, True
17, 15.44, True
18, 18.31, True
19, 205.64, False
20, 60.88, True
21, 24.34, True
22, 17.97, True
23, 18.07, True
24, 16.43, True
25, 8.47, True
26, 3.59, True
27, 1.84, True
28, 1.06, True
29, 2.56, True
30, 13.07, True
31, 273.45, False
32, 110.52, False
33, 8.86, True
34, 7.78, True
35, 35.85, True
36, 43.24, True
37, 848.06, False
38, 1890.00, False
39, 1204.33, False
Partial (0.68 km), 822.66, False
