#{"t_start": 1777396543.1808684, "env_id": "None"}
r,l,t
-157.715956,3599,272.638915
-43.6865,3599,825.280754
-26.010922,3599,1375.269027
-27.933918,3599,1928.767347
942.011841,3599,2486.80055
-28.284848,3599,3044.819614
-26.39592,3599,3602.862226
287.603855,3599,4162.037399
295.405887,3599,4721.233582
166.99374,3599,5277.938298
115.61,3599,5842.911968
-37.628726,3599,6405.164937
0.75829,3599,6968.374562
-27.40844,3599,7526.279399
38.270673,3599,8089.22506
-29.233285,3599,8648.775098
161.249109,3599,9208.105207
-27.573862,3599,9848.972749
-26.847071,3599,10400.417517
420.311262,3599,10959.064301
-27.875657,3599,11512.753695
446.26469,3599,12064.610879
-27.883019,3599,12623.005044
473.525755,3599,13179.70396
-28.433717,3599,13734.96206
-27.074849,3599,14294.310449
870.511254,3599,14850.65683
520.540464,3599,15404.336174
18.559282,3599,15963.662281
-41.950705,3599,16515.067667
485.969744,3599,17072.948773
611.818769,3599,17630.487725
498.123481,3599,18187.893253
17.073284,3599,18740.902638
303.530149,3599,19382.495038
5.201846,3599,19942.290359
-46.944062,3599,20497.992685
376.894007,3599,21054.94647
-23.858938,3599,21611.579264
-192.005109,3599,22167.227545
87.54993,3599,22725.589029
-51.225654,3599,23285.529789
824.045029,3599,23843.264624
442.928965,3599,24401.068329
1166.288739,3599,24957.836197
1401.246286,3599,25515.863711
263.159507,3599,26078.774056
2242.075295,3599,26637.588853
3102.691607,3599,27201.089193
3269.080502,3599,27761.563399
3201.611433,3599,28323.927319
3308.407583,3599,28886.722583
3327.062369,3599,29535.183618
2281.904053,3599,30098.774796
3304.599322,3599,30661.224073
3251.604341,3599,31225.892962
3065.95166,3599,31787.668304
3257.727784,3599,32350.538708
3295.159733,3599,32912.399415
3346.720403,3599,33477.049136
3295.625997,3599,34039.508707
3245.18051,3599,34610.794153
3344.542976,3599,35169.792401
3124.701883,3599,35729.33674
3330.425557,3599,36294.792834
3300.22709,3599,36859.60009
3303.150452,3599,37424.214933
3281.283595,3599,37989.498955
3382.630733,3599,38557.203689
3329.583465,3599,39209.002732
3302.272332,3599,39769.196174
3326.644113,3599,40349.565519
3358.910269,3599,40930.908797
3377.040296,3599,41495.119984
3360.697964,3599,42055.9143
3393.585209,3599,42621.032301
3385.486067,3599,43191.081895
3339.104857,3599,43757.186331
3383.510061,3599,44321.547199
3360.624919,3599,44887.74382
2676.29235,3599,45456.352539
3385.967856,3599,46025.941061
3373.100053,3599,46591.957828
3455.328246,3599,47158.591759
3335.355081,3599,47722.899598
3361.872282,3599,48289.587516
3416.0463,3599,48946.590484
3387.943333,3599,49512.501196
3395.816705,3599,50081.068281
3380.756449,3599,50647.367741
3318.998226,3599,51214.347924
3377.867013,3599,51786.187485
3427.573626,3599,52352.011138
3370.077886,3599,52919.322649
3333.709381,3599,53492.009924
3401.398515,3599,54056.303479
3414.441745,3599,54628.002796
3351.024526,3599,55196.695943
3399.214845,3599,55766.214078
3373.015558,3599,56380.491231
3363.774111,3599,57104.141232
3320.632078,3599,57826.745554
3205.25753,3599,58550.041722
3314.571398,3599,59272.9319
3321.979825,3599,60102.247346
3291.027535,3599,60757.544
3374.206699,3599,61386.825427
3399.263544,3599,62015.312815
3385.036617,3599,62641.991474
3369.723217,3599,63270.757502
3380.261482,3599,63900.740407
3423.485459,3599,64528.720775
3321.356374,3599,65160.123061
3434.453468,3599,65787.867834
3284.27268,3599,66416.272907
3420.169607,3599,67049.458717
3315.448748,3599,67678.025519
3373.867985,3599,68305.313093
3368.531556,3599,68936.023264
3222.212459,3599,69566.819324
3276.682286,3599,70196.659386
3394.150962,3599,70914.394846
3396.09784,3599,71545.080223
3304.508376,3599,72171.31474
3374.824509,3599,72800.819815
3278.784024,3599,73432.885489
3279.279363,3599,74061.298014
3245.439911,3599,74692.578343
3386.132789,3599,75319.857099
3385.106362,3599,75949.812296
3256.196447,3599,76582.343449
3380.775725,3599,77210.511476
3335.567418,3599,77841.405622
3370.702849,3599,78472.223191
3406.150649,3599,79104.873396
3159.607359,3599,79732.072728
3401.510487,3599,80364.861456
3107.343805,3599,81003.090322
