Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.583808
Total NOx (mg): 47350.468
Overall NOx (mg/km): 1138.676
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.089298,19368.369,1919.694,False
medium,433,14.368957,19277.873,1341.633,False
high,455,13.409413,8704.226,649.113,False
extra_high,323,3.716139,0.000,0.000,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 2132.00, False
2, 1611.12, False
3, 2585.10, False
4, 2593.02, False
5, 2223.33, False
6, 1995.16, False
7, 2004.33, False
8, 1981.67, False
9, 1235.19, False
10, 963.69, False
11, 1504.72, False
12, 1390.80, False
13, 1382.33, False
14, 1357.48, False
15, 1352.28, False
16, 1346.52, False
17, 1341.28, False
18, 1336.95, False
19, 1333.55, False
20, 1580.99, False
21, 1239.91, False
22, 1237.95, False
23, 1239.54, False
24, 1239.74, False
25, 1239.75, False
26, 1239.78, False
27, 1239.84, False
28, 1239.94, False
29, 1240.04, False
30, 1240.16, False
31, 1240.29, False
32, 457.98, False
33, 4.00, True
34, 0.00, True
35, 0.00, True
36, 0.00, True
37, 0.00, True
38, 0.00, True
39, 0.00, True
40, 0.00, True
41, 0.00, True
Partial (0.43 km), 0.00, True
