Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.630178
Total NOx (mg): 5572.200
Overall NOx (mg/km): 137.144
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.771766,1963.919,200.979,False
medium,433,14.111884,2715.271,192.410,False
high,455,13.151529,211.155,16.056,True
extra_high,323,3.594999,681.856,189.668,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 930.97, False
2, 1.28, True
3, 0.00, True
4, 0.18, True
5, 453.43, False
6, 207.94, False
7, 147.03, False
8, 89.51, False
9, 75.52, True
10, 193.10, False
11, 1215.06, False
12, 280.33, False
13, 310.89, False
14, 201.77, False
15, 97.65, False
16, 39.97, True
17, 12.11, True
18, 0.57, True
19, 3.25, True
20, 314.52, False
21, 1.68, True
22, 34.72, True
23, 44.74, True
24, 32.70, True
25, 20.33, True
26, 12.27, True
27, 7.54, True
28, 4.82, True
29, 3.27, True
30, 2.37, True
31, 72.74, True
32, 0.00, True
33, 0.00, True
34, 0.00, True
35, 10.20, True
36, 35.37, True
37, 50.50, True
38, 448.52, False
39, 165.47, False
40, 42.51, True
Partial (0.25 km), 29.18, True
