#{"t_start": 1777968121.5023458, "env_id": "None"}
r,l,t
-494.324389,3599,441.260946
-445.678086,3599,922.445055
-420.03445,3599,1395.677757
-155.521904,3599,1871.496055
188.340996,3599,2324.2821
-97.86559,3599,2803.4394
-45.823317,3599,3271.389957
253.718202,3599,3748.942243
31.216063,3599,4179.05812
527.05184,3599,4645.737472
-157.483782,3599,5112.921716
49.2689,3599,5586.837561
-70.675187,3599,6029.669479
-100.246567,3599,6511.225136
429.076417,3599,6970.73394
582.471506,3599,7450.802007
434.449693,3599,7864.257554
943.799873,3599,8301.296065
448.438841,3599,8751.529851
478.404853,3599,9180.924984
1492.181172,3599,9587.040815
412.081311,3599,10036.55688
401.775679,3599,10465.521117
1288.810773,3599,10911.413829
772.624926,3599,11318.045154
1239.516908,3599,11762.355194
1018.623484,3599,12202.476546
1934.340112,3599,12641.676119
2296.369638,3599,13044.35367
1014.761676,3599,13493.993927
1855.58583,3599,13938.03787
1871.322736,3599,14391.692499
1305.824802,3599,14788.816379
2854.860847,3599,15236.501245
2929.280669,3599,15669.854115
2328.7029,3599,16112.925491
2823.943807,3599,16541.262048
3141.789705,3599,16937.980648
3146.791748,3599,17378.421922
3208.291699,3599,17812.147642
3097.015447,3599,18240.005388
3220.442143,3599,18642.217856
3302.737702,3599,19082.973349
3245.533085,3599,19527.64271
3310.624096,3599,19963.257529
3305.687359,3599,20381.179477
3304.316546,3599,20817.849936
3392.102149,3599,21261.477929
3392.872103,3599,21700.057619
3404.671623,3599,22096.196996
3400.511014,3599,22545.284829
3444.936866,3599,22990.480875
3444.783427,3599,23428.368472
3388.304793,3599,23832.334195
3447.298892,3599,24273.89093
