Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.405080
Total NOx (mg): 73486.151
Overall NOx (mg/km): 1774.810
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.012097,56022.716,5595.503,False
medium,433,14.163132,15477.036,1092.769,False
high,455,13.278007,1444.137,108.762,False
extra_high,323,3.951844,542.262,137.218,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 4858.04, False
2, 12323.92, False
3, 14060.39, False
4, 14710.69, False
5, 7472.50, False
6, 960.17, False
7, 776.16, False
8, 543.17, False
9, 217.61, False
10, 102.46, False
11, 1600.78, False
12, 1134.39, False
13, 1376.18, False
14, 1383.53, False
15, 1370.47, False
16, 1358.48, False
17, 1348.90, False
18, 1341.30, False
19, 1335.18, False
20, 2241.22, False
21, 355.86, False
22, 194.51, False
23, 237.32, False
24, 193.55, False
25, 125.75, False
26, 84.14, False
27, 59.84, True
28, 43.27, True
29, 31.23, True
30, 23.02, True
31, 21.42, True
32, 645.53, False
33, 0.00, True
34, 13.23, True
35, 89.98, False
36, 129.88, False
37, 145.33, False
38, 279.87, False
39, 205.85, False
40, 62.19, True
41, 25.31, True
Partial (0.17 km), 20.76, True
