#{"t_start": 1777470111.3698804, "env_id": "None"}
r,l,t
958.079054,3599,149.550407
110.546818,3599,293.03774
204.261586,3599,437.407418
-478.673842,3599,581.695921
-413.383511,3599,725.898777
-423.459434,3599,871.593116
203.843089,3599,1014.256
15.267924,3599,1157.973004
192.464165,3599,1292.624313
142.652048,3599,1433.113084
-106.725326,3599,1578.219982
-141.472237,3599,1721.349146
337.157978,3599,1865.479841
375.235612,3599,2008.573127
141.326512,3599,2150.601323
210.473232,3599,2293.156455
34.821747,3599,2426.181073
323.936743,3599,2653.120611
-112.345294,3599,2795.605076
-100.369161,3599,2940.912999
-77.846567,3599,3082.84229
1032.904684,3599,3225.037474
-86.234526,3599,3368.973074
337.141196,3599,3513.609087
36.02872,3599,3643.275631
-76.066956,3599,3787.496696
-63.240472,3599,3931.031884
998.813361,3599,4072.864971
335.308938,3599,4217.104949
579.017729,3599,4360.409071
976.505013,3599,4500.956486
1306.956944,3599,4641.305082
921.894332,3599,4775.017197
1705.962386,3599,4918.241153
2619.979929,3599,5153.232862
1849.342955,3599,5297.965197
2677.218826,3599,5442.729156
2443.274519,3599,5587.114335
2432.776642,3599,5732.501076
2935.65223,3599,5876.08972
2752.878609,3599,6021.349153
2894.73238,3599,6150.322159
3025.111804,3599,6298.894503
2974.007243,3599,6444.726415
3082.756656,3599,6585.197931
2927.124237,3599,6729.709227
3013.490339,3599,6874.890066
3164.772306,3599,7019.985084
3055.219471,3599,7164.697729
3096.503862,3599,7299.789573
3190.884082,3599,7443.491446
3094.853528,3599,7584.582772
3189.659741,3599,7815.456001
3248.048552,3599,7958.739886
3263.903794,3599,8104.436009
3291.625624,3599,8246.22108
3241.896724,3599,8392.573082
3247.941893,3599,8524.699886
3277.451262,3599,8665.361089
3284.644589,3599,8811.532992
3201.449024,3599,8955.298497
3242.773107,3599,9099.190717
3275.214166,3599,9241.549193
3207.67543,3599,9386.901057
3367.591945,3599,9534.75749
3296.960511,3599,9668.529038
3319.732615,3599,9814.037209
3348.389429,3599,9955.617057
3355.701899,3599,10104.573188
